FBpp0112952	FBgn0031518	drosophila_melanogaster
R151.1a.1	WBGene00020106	caenorhabditis_elegans
ENSCINP00000035628	ENSCING00000025112	ciona_intestinalis
ENSCSAVP00000006368	ENSCSAVG00000003810	ciona_savignyi
ENSCINP00000011853	ENSCING00000005741	ciona_intestinalis
ENSCINP00000029071	ENSCING00000016990	ciona_intestinalis
ENSCSAVP00000000339	ENSCSAVG00000000189	ciona_savignyi
ENSCINP00000025819	ENSCING00000014225	ciona_intestinalis
ENSCSAVP00000016705	ENSCSAVG00000009823	ciona_savignyi
ENSCMIP00000029670	ENSCMIG00000012809	callorhinchus_milii
ENSACIP00000009068	ENSACIG00000007100	amphilophus_citrinellus
