ENSCMIP00000015968	ENSCMIG00000007634	callorhinchus_milii
ENSLACP00000014824	ENSLACG00000013051	latimeria_chalumnae
ENSLACP00000013291	ENSLACG00000011703	latimeria_chalumnae
ENSLLEP00000039703	ENSLLEG00000024860	leptobrachium_leishanense
ENSSPUP00000002745	ENSSPUG00000002111	sphenodon_punctatus
ENSPMRP00000017972	ENSPMRG00000011820	podarcis_muralis
ENSSMRP00000007305	ENSSMRG00000005834	salvator_merianae
ENSLLTP00000024337	ENSLLTG00000017913	laticauda_laticaudata
ENSNSUP00000026262	ENSNSUG00000018867	notechis_scutatus
ENSNSUP00000026261	ENSNSUG00000018866	notechis_scutatus
ENSPTXP00000026716	ENSPTXG00000018459	pseudonaja_textilis
ENSNNAP00000014358	ENSNNAG00000009681	naja_naja
ENSVKKP00000012613	ENSVKKG00000008765	varanus_komodoensis
ENSACAP00000006222	ENSACAG00000006266	anolis_carolinensis
ENSPVIP00000022444	ENSPVIG00000016814	pogona_vitticeps
ENSCPRP00005024751	ENSCPRG00005017193	crocodylus_porosus
ENSPSIP00000005314	ENSPSIG00000004914	pelodiscus_sinensis
ENSGEVP00005027738	ENSGEVG00005019554	gopherus_evgoodei
ENSGAGP00000028655	ENSGAGG00000020769	gopherus_agassizii
ENSCABP00000019707	ENSCABG00000014550	chelonoidis_abingdonii
ENSTMTP00000030746	ENSTMTG00000022168	terrapene_carolina_triunguis
ENSCPBP00000014191	ENSCPBG00000010570	chrysemys_picta_bellii
ENSCSRP00000017019	ENSCSRG00000013083	chelydra_serpentina
ENSPCEP00000007306	ENSPCEG00000005856	pelusios_castaneus
ENSCJPP00005022267	ENSCJPG00005017782	coturnix_japonica
ENSGALP00000057639	ENSGALG00000039895	gallus_gallus
ENSMGAP00000004751	ENSMGAG00000004855	meleagris_gallopavo
ENSCPIP00010014271	ENSCPIG00010011298	chrysolophus_pictus
ENSPCLP00000022673	ENSPCLG00000019942	phasianus_colchicus
ENSPSTP00000007984	ENSPSTG00000005625	pavo_cristatus
ENSNMEP00000017588	ENSNMEG00000015288	numida_meleagris
ENSABRP00000011689	ENSABRG00000010477	anser_brachyrhynchus
ENSACDP00005026247	ENSACDG00005018995	anser_cygnoides
ENSAZOP00000028622	ENSAZOG00000017947	anas_zonorhyncha
