ENSPMAP00000000324	ENSPMAG00000000284	petromyzon_marinus
ENSPCEP00000023194	ENSPCEG00000017624	pelusios_castaneus
ENSPSIP00000017660	ENSPSIG00000015578	pelodiscus_sinensis
ENSCPBP00000038037	ENSCPBG00000026347	chrysemys_picta_bellii
ENSTMTP00000028184	ENSTMTG00000020483	terrapene_carolina_triunguis
ENSGAGP00000007381	ENSGAGG00000005927	gopherus_agassizii
ENSGEVP00005017513	ENSGEVG00005012376	gopherus_evgoodei
ENSCABP00000023916	ENSCABG00000017607	chelonoidis_abingdonii
ENSCSRP00000006011	ENSCSRG00000004493	chelydra_serpentina
ENSVKKP00000002362	ENSVKKG00000001905	varanus_komodoensis
ENSCPUP00000018228	ENSCPUG00000012552	calidris_pugnax
ENSSPUP00000001505	ENSSPUG00000001153	sphenodon_punctatus
ENSNNAP00000021118	ENSNNAG00000013997	naja_naja
ENSNSUP00000008577	ENSNSUG00000006627	notechis_scutatus
ENSPTXP00000012293	ENSPTXG00000008651	pseudonaja_textilis
ENSLLTP00000007013	ENSLLTG00000005356	laticauda_laticaudata
ENSACAP00000014799	ENSACAG00000014949	anolis_carolinensis
ENSPMRP00000031121	ENSPMRG00000020172	podarcis_muralis
ENSSMRP00000009542	ENSSMRG00000007603	salvator_merianae
ENSECRP00000001824	ENSECRG00000001249	erpetoichthys_calabaricus
ENSSFOP00015014091	ENSSFOG00015009061	scleropages_formosus
ENSPKIP00000002641	ENSPKIG00000020463	paramormyrops_kingsleyae
ENSPKIP00000027475	ENSPKIG00000009512	paramormyrops_kingsleyae
ENSSFOP00015037976	ENSSFOG00015024172	scleropages_formosus
ENSGMOP00000007845	ENSGMOG00000007339	gadus_morhua
ENSCGOP00000011015	ENSCGOG00000005507	cottoperca_gobio
ENSTRUP00000032763	ENSTRUG00000012924	takifugu_rubripes
ENSTNIP00000013205	ENSTNIG00000010301	tetraodon_nigroviridis
ENSMMOP00000022609	ENSMMOG00000017188	mola_mola
ENSORLP00020029151	ENSORLG00020013016	oryzias_latipes_hni
ENSORLP00000037973	ENSORLG00000023848	oryzias_latipes
ENSORLP00015017823	ENSORLG00015018877	oryzias_latipes_hsok
ENSOMEP00000019688	ENSOMEG00000021500	oryzias_melastigma
ENSOJAP00000012200	ENSOJAG00000006505	oryzias_javanicus
ENSXCOP00000005612	ENSXCOG00000004372	xiphophorus_couchianus
ENSXMAP00000013511	ENSXMAG00000013468	xiphophorus_maculatus
ENSGAFP00000032226	ENSGAFG00000021695	gambusia_affinis
ENSPREP00000026047	ENSPREG00000017606	poecilia_reticulata
ENSPMEP00000028709	ENSPMEG00000013992	poecilia_mexicana
ENSPFOP00000010630	ENSPFOG00000010467	poecilia_formosa
ENSPLAP00000023668	ENSPLAG00000009214	poecilia_latipinna
ENSFHEP00000029054	ENSFHEG00000013636	fundulus_heteroclitus
ENSCVAP00000031435	ENSCVAG00000020716	cyprinodon_variegatus
ENSNFUP00015010171	ENSNFUG00015005005	nothobranchius_furzeri
ENSKMAP00000019501	ENSKMAG00000014508	kryptolebias_marmoratus
ENSNBRP00000005708	ENSNBRG00000004429	neolamprologus_brichardi
ENSPNYP00000017900	ENSPNYG00000013517	pundamilia_nyererei
ENSHBUP00000007261	ENSHBUG00000008795	haplochromis_burtoni
ENSMZEP00005022010	ENSMZEG00005016495	maylandia_zebra
ENSACLP00000014054	ENSACLG00000009587	astatotilapia_calliptera
ENSONIP00000010839	ENSONIG00000008622	oreochromis_niloticus
ENSOABP00000013302	ENSOABG00000006708	oreochromis_aureus
ENSACIP00000001536	ENSACIG00000001254	amphilophus_citrinellus
ENSCSEP00000022397	ENSCSEG00000014262	cynoglossus_semilaevis
ENSSMAP00000021249	ENSSMAG00000013025	scophthalmus_maximus
ENSLCAP00010002377	ENSLCAG00010001325	lates_calcarifer
ENSSDUP00000009620	ENSSDUG00000007073	seriola_dumerili
ENSSLDP00000014502	ENSSLDG00000011591	seriola_lalandi_dorsalis
ENSATEP00000007944	ENSATEG00000005463	anabas_testudineus
ENSBSLP00000028193	ENSBSLG00000014067	betta_splendens
ENSGWIP00000020902	ENSGWIG00000011316	gouania_willdenowi
ENSENLP00000017806	ENSENLG00000008171	echeneis_naucrates
ENSLCRP00005005353	ENSLCRG00005002543	larimichthys_crocea
ENSSORP00005024896	ENSSORG00005011994	sphaeramia_orbicularis
ENSSORP00005024898	ENSSORG00005011996	sphaeramia_orbicularis
ENSPRNP00000019995	ENSPRNG00000010480	parambassis_ranga
