ENSCINP00000002277	ENSCING00000001197	ciona_intestinalis
ENSSFAP00005035137	ENSSFAG00005017822	salarias_fasciatus
ENSPMAP00000002765	ENSPMAG00000002533	petromyzon_marinus
ENSLSDP00000004933	ENSLSDG00000003865	lonchura_striata_domestica
ENSTGUP00000020862	ENSTGUG00000026926	taeniopygia_guttata
ENSTGUP00000037364	ENSTGUG00000023193	taeniopygia_guttata
ENSCUSP00005010607	ENSCUSG00005006798	catharus_ustulatus
ENSZLMP00000016614	ENSZLMG00000011540	zosterops_lateralis_melanops
ENSCPVP00000022320	ENSCPVG00000015622	camarhynchus_parvulus
ENSDNOP00000000776	ENSDNOG00000001011	dasypus_novemcinctus
ENSCHOP00000006351	ENSCHOG00000007146	choloepus_hoffmanni
ENSEEUP00000012612	ENSEEUG00000013790	erinaceus_europaeus
ENSTBEP00000000130	ENSTBEG00000000147	tupaia_belangeri
ENSJJAP00000020395	ENSJJAG00000021056	jaculus_jaculus
ENSPSMP00000035561	ENSPSMG00000024473	prolemur_simus
ENSPCOP00000027625	ENSPCOG00000026346	propithecus_coquereli
ENSMICP00000013087	ENSMICG00000014325	microcebus_murinus
ENSOGAP00000001341	ENSOGAG00000001507	otolemur_garnettii
ENSTSYP00000006208	ENSTSYG00000006754	carlito_syrichta
ENSCJAP00000022152	ENSCJAG00000011936	callithrix_jacchus
ENSCCAP00000033036	ENSCCAG00000034488	cebus_capucinus
ENSSBOP00000035192	ENSSBOG00000033752	saimiri_boliviensis_boliviensis
ENSANAP00000015882	ENSANAG00000025783	aotus_nancymaae
ENSMNEP00000011558	ENSMNEG00000030064	macaca_nemestrina
ENSMFAP00000042975	ENSMFAG00000040171	macaca_fascicularis
ENSMMUP00000050150	ENSMMUG00000020758	macaca_mulatta
ENSPANP00000036932	ENSPANG00000016193	papio_anubis
ENSTGEP00000015927	ENSTGEG00000012855	theropithecus_gelada
ENSMLEP00000015465	ENSMLEG00000031798	mandrillus_leucophaeus
ENSCATP00000010580	ENSCATG00000029468	cercocebus_atys
ENSCSAP00000001571	ENSCSAG00000005259	chlorocebus_sabaeus
ENSCANP00000007620	ENSCANG00000024600	colobus_angolensis_palliatus
ENSPTEP00000007007	ENSPTEG00000007988	piliocolobus_tephrosceles
ENSRROP00000010976	ENSRROG00000029845	rhinopithecus_roxellana
ENSRBIP00000027949	ENSRBIG00000037848	rhinopithecus_bieti
ENSPPYP00000005288	ENSPPYG00000004643	pongo_abelii
ENSP00000267101	ENSG00000065361	homo_sapiens
ENSGGOP00000037530	ENSGGOG00000037412	gorilla_gorilla
ENSPTRP00000008639	ENSPTRG00000005076	pan_troglodytes
ENSPPAP00000024596	ENSPPAG00000035409	pan_paniscus
ENSNLEP00000047229	ENSNLEG00000017554	nomascus_leucogenys
ENSBMSP00010009952	ENSBMSG00010007283	balaenoptera_musculus
ENSTTRP00000015557	ENSTTRG00000016410	tursiops_truncatus
ENSDLEP00000008564	ENSDLEG00000006272	delphinapterus_leucas
ENSMMNP00015025899	ENSMMNG00015018936	monodon_monoceros
ENSPSNP00000014266	ENSPSNG00000009983	phocoena_sinus
ENSPCTP00005024995	ENSPCTG00005017268	physeter_catodon
ENSMMSP00000019124	ENSMMSG00000014410	moschus_moschiferus
ENSBMUP00000022590	ENSBMUG00000016997	bos_mutus
ENSBTAP00000013790	ENSBTAG00000010444	bos_taurus
ENSBGRP00000001665	ENSBGRG00000000947	bos_grunniens
ENSBIXP00000044193	ENSBIXG00000028391	bos_taurus_hybrid
ENSBIXP00005034247	ENSBIXG00005015138	bos_indicus_hybrid
ENSBBBP00000005218	ENSBBBG00000014015	bison_bison_bison
ENSCHIP00010000368	ENSCHIG00010000351	capra_hircus_blackbengal
ENSCHIP00000012135	ENSCHIG00000013969	capra_hircus
ENSOARP00020005958	ENSOARG00020004665	ovis_aries_rambouillet
ENSOARP00000011218	ENSOARG00000010448	ovis_aries
ENSCHYP00000006561	ENSCHYG00000004075	cervus_hanglu_yarkandensis
ENSCWAP00000008571	ENSCWAG00000006414	catagonus_wagneri
ENSSSCP00000019799	ENSSSCG00000020725	sus_scrofa
ENSVPAP00000008857	ENSVPAG00000009522	vicugna_pacos
ENSCDRP00005007491	ENSCDRG00005005154	camelus_dromedarius
ENSMLUP00000000741	ENSMLUG00000000801	myotis_lucifugus
ENSRFEP00010011952	ENSRFEG00010008021	rhinolophus_ferrumequinum
ENSPVAP00000007137	ENSPVAG00000007560	pteropus_vampyrus
ENSSSUP00005022595	ENSSSUG00005014653	suricata_suricatta
ENSPPRP00000007033	ENSPPRG00000002346	panthera_pardus
ENSPLOP00000011418	ENSPLOG00000008060	panthera_leo
ENSPTIP00000000397	ENSPTIG00000000947	panthera_tigris_altaica
ENSFCAP00000013783	ENSFCAG00000014859	felis_catus
ENSLCNP00005007284	ENSLCNG00005004764	lynx_canadensis
ENSAMEP00000003549	ENSAMEG00000003273	ailuropoda_melanoleuca
ENSUAMP00000013516	ENSUAMG00000010865	ursus_americanus
ENSUMAP00000022927	ENSUMAG00000016351	ursus_maritimus
ENSUTTP00000009586	ENSUTTG00000006054	ursus_thibetanus_thibetanus
ENSZCAP00015011344	ENSZCAG00015007295	zalophus_californianus
ENSMPUP00000000984	ENSMPUG00000000991	mustela_putorius_furo
ENSNVIP00000028876	ENSNVIG00000022259	neovison_vison
ENSVVUP00000030165	ENSVVUG00000022004	vulpes_vulpes
ENSCAFP00040006848	ENSCAFG00040004075	canis_lupus_familiarisgreatdane
ENSCAFP00030029814	ENSCAFG00030018380	canis_lupus_familiarisbasenji
ENSCAFP00000000139	ENSCAFG00000000097	canis_lupus_familiaris
