ENSEBUP00000007966	ENSEBUG00000005173	eptatretus_burgeri
ENSPMAP00000003186	ENSPMAG00000002922	petromyzon_marinus
ENSECRP00000027093	ENSECRG00000018329	erpetoichthys_calabaricus
ENSGMOP00000016798	ENSGMOG00000015641	gadus_morhua
ENSMMOP00000004351	ENSMMOG00000003462	mola_mola
ENSSAUP00010063869	ENSSAUG00010025658	sparus_aurata
ENSLCRP00005032185	ENSLCRG00005012751	larimichthys_crocea
ENSDLAP00005017712	ENSDLAG00005008421	dicentrarchus_labrax
ENSCGOP00000056236	ENSCGOG00000024432	cottoperca_gobio
ENSCLMP00005013401	ENSCLMG00005007123	cyclopterus_lumpus
ENSSLUP00000000417	ENSSLUG00000000234	sander_lucioperca
ENSPRNP00000043190	ENSPRNG00000020933	parambassis_ranga
ENSSPAP00000027632	ENSSPAG00000020831	stegastes_partitus
ENSAPOP00000021809	ENSAPOG00000002584	acanthochromis_polyacanthus
ENSAOCP00000020144	ENSAOCG00000000132	amphiprion_ocellaris
ENSAPEP00000020461	ENSAPEG00000014623	amphiprion_percula
ENSACIP00000013279	ENSACIG00000010295	amphilophus_citrinellus
ENSNBRP00000020151	ENSNBRG00000015461	neolamprologus_brichardi
ENSACLP00000038959	ENSACLG00000026301	astatotilapia_calliptera
ENSHBUP00000008728	ENSHBUG00000010232	haplochromis_burtoni
ENSMZEP00005009158	ENSMZEG00005006927	maylandia_zebra
ENSPNYP00000023858	ENSPNYG00000018027	pundamilia_nyererei
ENSONIP00000012420	ENSONIG00000009883	oreochromis_niloticus
ENSOABP00000021779	ENSOABG00000010458	oreochromis_aureus
ENSGWIP00000047910	ENSGWIG00000023529	gouania_willdenowi
ENSSFAP00005028168	ENSSFAG00005014337	salarias_fasciatus
ENSCVAP00000007518	ENSCVAG00000009187	cyprinodon_variegatus
ENSFHEP00000005016	ENSFHEG00000005944	fundulus_heteroclitus
ENSGAFP00000009904	ENSGAFG00000006723	gambusia_affinis
ENSXMAP00000011110	ENSXMAG00000011065	xiphophorus_maculatus
ENSXCOP00000015386	ENSXCOG00000011642	xiphophorus_couchianus
ENSPREP00000034157	ENSPREG00000023138	poecilia_reticulata
ENSPLAP00000019918	ENSPLAG00000002427	poecilia_latipinna
ENSPFOP00000016109	ENSPFOG00000015873	poecilia_formosa
ENSPMEP00000032695	ENSPMEG00000020742	poecilia_mexicana
ENSKMAP00000021746	ENSKMAG00000016162	kryptolebias_marmoratus
ENSNFUP00015014402	ENSNFUG00015006956	nothobranchius_furzeri
ENSOJAP00000017571	ENSOJAG00000008806	oryzias_javanicus
ENSOMEP00000000389	ENSOMEG00000001285	oryzias_melastigma
ENSORLP00015000986	ENSORLG00015001566	oryzias_latipes_hsok
ENSORLP00000042749	ENSORLG00000027699	oryzias_latipes
ENSORLP00020016098	ENSORLG00020017131	oryzias_latipes_hni
ENSOSIP00000034025	ENSOSIG00000017156	oryzias_sinensis
ENSLCAP00010045351	ENSLCAG00010021068	lates_calcarifer
ENSENLP00000044555	ENSENLG00000018882	echeneis_naucrates
ENSSDUP00000008156	ENSSDUG00000005985	seriola_dumerili
ENSSLDP00000028278	ENSSLDG00000021879	seriola_lalandi_dorsalis
ENSSMAP00000013873	ENSSMAG00000008523	scophthalmus_maximus
ENSCSEP00000019026	ENSCSEG00000012183	cynoglossus_semilaevis
ENSATEP00000027477	ENSATEG00000018993	anabas_testudineus
ENSMALP00000002843	ENSMALG00000002123	monopterus_albus
ENSMAMP00000031996	ENSMAMG00000020043	mastacembelus_armatus
ENSBSLP00000040902	ENSBSLG00000019749	betta_splendens
ENSGACP00000007033	ENSGACG00000005304	gasterosteus_aculeatus
ENSTRUP00000030993	ENSTRUG00000012242	takifugu_rubripes
ENSTNIP00000019716	ENSTNIG00000016611	tetraodon_nigroviridis
ENSLBEP00000003761	ENSLBEG00000002919	labrus_bergylta
ENSHCOP00000023711	ENSHCOG00000012464	hippocampus_comes
ENSSORP00005006221	ENSSORG00005003003	sphaeramia_orbicularis
ENSNMLP00000041806	ENSNMLG00000025404	neogobius_melanostomus
ENSPMGP00000001929	ENSPMGG00000001738	periophthalmus_magnuspinnatus
ENSMMDP00005012876	ENSMMDG00005006648	myripristis_murdjan
ENSLBEP00000019645	ENSLBEG00000015113	labrus_bergylta
ENSOKIP00005106687	ENSOKIG00005046857	oncorhynchus_kisutch
ENSOTSP00005060509	ENSOTSG00005029089	oncorhynchus_tshawytscha
ENSSSAP00000032524	ENSSSAG00000040437	salmo_salar
ENSSTUP00000021673	ENSSTUG00000009479	salmo_trutta
ENSOTSP00005036616	ENSOTSG00005017271	oncorhynchus_tshawytscha
