ENSCMIP00000000505	ENSCMIG00000000361	callorhinchus_milii
ENSCHAP00000000837	ENSCHAG00000000563	clupea_harengus
ENSDCDP00000020534	ENSDCDG00000016305	denticeps_clupeoides
ENSDARP00000123523	ENSDARG00000058695	danio_rerio
ENSSGRP00000002244	ENSSGRG00000001394	sinocyclocheilus_grahami
ENSSRHP00000053756	ENSSRHG00000027063	sinocyclocheilus_rhinocerous
ENSSANP00000053100	ENSSANG00000026579	sinocyclocheilus_anshuiensis
ENSCARP00000075869	ENSCARG00000035262	carassius_auratus
ENSCCRP00010104463	ENSCCRG00010045982	cyprinus_carpio_germanmirror
ENSCCRP00015025954	ENSCCRG00015010998	cyprinus_carpio_huanghe
ENSCCRP00020094189	ENSCCRG00020043109	cyprinus_carpio_hebaored
ENSCCRP00000034197	ENSCCRG00000018260	cyprinus_carpio
ENSIPUP00000013055	ENSIPUG00000008852	ictalurus_punctatus
ENSELUP00000003413	ENSELUG00000004650	esox_lucius
ENSOMYP00000101233	ENSOMYG00000045714	oncorhynchus_mykiss
ENSOKIP00005051500	ENSOKIG00005021534	oncorhynchus_kisutch
ENSOTSP00005008154	ENSOTSG00005004456	oncorhynchus_tshawytscha
ENSSSAP00000078276	ENSSSAG00000066274	salmo_salar
ENSSTUP00000107669	ENSSTUG00000047802	salmo_trutta
ENSHHUP00000004747	ENSHHUG00000002929	hucho_hucho
ENSHHUP00000064733	ENSHHUG00000038245	hucho_hucho
ENSMMDP00005027651	ENSMMDG00005013259	myripristis_murdjan
ENSOABP00000049456	ENSOABG00000022073	oreochromis_aureus
ENSONIP00000023401	ENSONIG00000018591	oreochromis_niloticus
ENSNBRP00000007025	ENSNBRG00000005467	neolamprologus_brichardi
ENSACLP00000018165	ENSACLG00000012375	astatotilapia_calliptera
ENSPNYP00000027005	ENSPNYG00000020342	pundamilia_nyererei
ENSMZEP00005012857	ENSMZEG00005009647	maylandia_zebra
ENSHBUP00000029692	ENSHBUG00000014290	haplochromis_burtoni
ENSACIP00000024591	ENSACIG00000019080	amphilophus_citrinellus
ENSPRNP00000037809	ENSPRNG00000018796	parambassis_ranga
ENSSPAP00000004487	ENSSPAG00000003457	stegastes_partitus
ENSAOCP00000032405	ENSAOCG00000024751	amphiprion_ocellaris
ENSAPOP00000029898	ENSAPOG00000016172	acanthochromis_polyacanthus
ENSGWIP00000052430	ENSGWIG00000025300	gouania_willdenowi
ENSSFAP00005028612	ENSSFAG00005014577	salarias_fasciatus
ENSOJAP00000021817	ENSOJAG00000010795	oryzias_javanicus
ENSOMEP00000009013	ENSOMEG00000010222	oryzias_melastigma
ENSOSIP00000013348	ENSOSIG00000007607	oryzias_sinensis
ENSORLP00020009048	ENSORLG00020009953	oryzias_latipes_hni
ENSORLP00000013617	ENSORLG00000010857	oryzias_latipes
ENSORLP00015024265	ENSORLG00015004743	oryzias_latipes_hsok
ENSKMAP00000006701	ENSKMAG00000005054	kryptolebias_marmoratus
ENSNFUP00015021338	ENSNFUG00015010211	nothobranchius_furzeri
ENSCVAP00000006473	ENSCVAG00000008029	cyprinodon_variegatus
ENSCVAP00000024149	ENSCVAG00000000684	cyprinodon_variegatus
ENSFHEP00000014272	ENSFHEG00000015840	fundulus_heteroclitus
ENSPREP00000008039	ENSPREG00000005483	poecilia_reticulata
ENSPLAP00000006652	ENSPLAG00000008855	poecilia_latipinna
ENSPMEP00000028595	ENSPMEG00000013819	poecilia_mexicana
ENSPFOP00000007694	ENSPFOG00000007533	poecilia_formosa
ENSXMAP00000012621	ENSXMAG00000012574	xiphophorus_maculatus
ENSXCOP00000013295	ENSXCOG00000010076	xiphophorus_couchianus
ENSGAFP00000017345	ENSGAFG00000011735	gambusia_affinis
ENSCLMP00005023894	ENSCLMG00005011795	cyclopterus_lumpus
ENSGACP00000021283	ENSGACG00000016132	gasterosteus_aculeatus
ENSSLUP00000005822	ENSSLUG00000002561	sander_lucioperca
ENSCGOP00000044014	ENSCGOG00000019729	cottoperca_gobio
ENSLCRP00005037414	ENSLCRG00005014439	larimichthys_crocea
ENSDLAP00005042395	ENSDLAG00005018901	dicentrarchus_labrax
ENSSAUP00010015014	ENSSAUG00010006996	sparus_aurata
ENSSMAP00000015129	ENSSMAG00000009254	scophthalmus_maximus
ENSLCAP00010052682	ENSLCAG00010024516	lates_calcarifer
ENSSDUP00000012280	ENSSDUG00000008922	seriola_dumerili
ENSSLDP00000025681	ENSSLDG00000019977	seriola_lalandi_dorsalis
ENSENLP00000035708	ENSENLG00000015562	echeneis_naucrates
ENSENLP00000035167	ENSENLG00000015347	echeneis_naucrates
ENSATEP00000030938	ENSATEG00000021357	anabas_testudineus
ENSMAMP00000002377	ENSMAMG00000001656	mastacembelus_armatus
ENSMALP00000009991	ENSMALG00000007087	monopterus_albus
ENSCSEP00000015780	ENSCSEG00000010135	cynoglossus_semilaevis
ENSBSLP00000052039	ENSBSLG00000024597	betta_splendens
ENSSORP00005028783	ENSSORG00005013754	sphaeramia_orbicularis
ENSPMGP00000011093	ENSPMGG00000009194	periophthalmus_magnuspinnatus
ENSNMLP00000030943	ENSNMLG00000019455	neogobius_melanostomus
ENSMMOP00000022508	ENSMMOG00000017101	mola_mola
ENSTRUP00000074331	ENSTRUG00000010792	takifugu_rubripes
ENSTNIP00000009736	ENSTNIG00000006937	tetraodon_nigroviridis
ENSLBEP00000012825	ENSLBEG00000009871	labrus_bergylta
ENSHCOP00000003210	ENSHCOG00000004502	hippocampus_comes
ENSGMOP00000012558	ENSGMOG00000011731	gadus_morhua
ENSECRP00000017135	ENSECRG00000011414	erpetoichthys_calabaricus
