ENSPMAP00000009695	ENSPMAG00000008798	petromyzon_marinus
ENSMGAP00000002402	ENSMGAG00000002710	meleagris_gallopavo
ENSCPIP00010009843	ENSCPIG00010007605	chrysolophus_pictus
ENSPCLP00000021424	ENSPCLG00000018774	phasianus_colchicus
ENSGALP00000035505	ENSGALG00000003103	gallus_gallus
ENSPSTP00000000076	ENSPSTG00000000070	pavo_cristatus
ENSCJPP00005012394	ENSCJPG00005010540	coturnix_japonica
ENSNMEP00000011360	ENSNMEG00000010667	numida_meleagris
ENSABRP00000023495	ENSABRG00000019789	anser_brachyrhynchus
ENSACDP00005026212	ENSACDG00005018975	anser_cygnoides
ENSCMMP00000003673	ENSCMMG00000002354	cairina_moschata_domestica
ENSAZOP00000027997	ENSAZOG00000017698	anas_zonorhyncha
ENSAPLP00000025171	ENSAPLG00000025617	anas_platyrhynchos_platyrhynchos
ENSCMUP00000000037	ENSCMUG00000000026	corvus_moneduloides
ENSFALP00000009365	ENSFALG00000008975	ficedula_albicollis
ENSCUSP00005027330	ENSCUSG00005016848	catharus_ustulatus
ENSSCAP00000000126	ENSSCAG00000000099	serinus_canaria
ENSCPVP00000009425	ENSCPVG00000006904	camarhynchus_parvulus
ENSTGUP00000005191	ENSTGUG00000005035	taeniopygia_guttata
ENSZLMP00000007771	ENSZLMG00000005496	zosterops_lateralis_melanops
ENSCRFP00000001533	ENSCRFG00000001293	stachyris_ruficeps
ENSCCEP00000028063	ENSCCEG00000024332	cyanistes_caeruleus
ENSPMJP00000006065	ENSPMJG00000005182	parus_major
ENSMVIP00005020836	ENSMVIG00005014666	manacus_vitellinus
ENSLCOP00000001559	ENSLCOG00000001270	lepidothrix_coronata
ENSFTIP00000002692	ENSFTIG00000001882	falco_tinnunculus
ENSOSUP00000003828	ENSOSUG00000002566	otus_sunia
ENSANIP00000018919	ENSANIG00000012634	accipiter_nisus
ENSACCP00020015970	ENSACCG00020010918	aquila_chrysaetos_chrysaetos
ENSCPGP00000004242	ENSCPGG00000003126	calidris_pygmaea
ENSCPUP00000017598	ENSCPUG00000012122	calidris_pugnax
ENSACOP00000023214	ENSACOG00000015705	amazona_collaria
ENSDNVP00000017059	ENSDNVG00000011928	dromaius_novaehollandiae
ENSARWP00000017203	ENSARWG00000011841	apteryx_rowi
ENSAOWP00000012051	ENSAOWG00000008223	apteryx_owenii
ENSAHAP00000021040	ENSAHAG00000014761	apteryx_haastii
ENSSCUP00000013829	ENSSCUG00000010188	struthio_camelus_australis
ENSCPRP00005022283	ENSCPRG00005015543	crocodylus_porosus
ENSPCEP00000012648	ENSPCEG00000010056	pelusios_castaneus
ENSGEVP00005016010	ENSGEVG00005011335	gopherus_evgoodei
ENSGAGP00000004042	ENSGAGG00000003312	gopherus_agassizii
ENSCABP00000002197	ENSCABG00000001731	chelonoidis_abingdonii
ENSTMTP00000011951	ENSTMTG00000008652	terrapene_carolina_triunguis
ENSCPBP00000002934	ENSCPBG00000002332	chrysemys_picta_bellii
ENSCSRP00000000786	ENSCSRG00000000611	chelydra_serpentina
ENSSPUP00000002578	ENSSPUG00000001983	sphenodon_punctatus
ENSVKKP00000019360	ENSVKKG00000013131	varanus_komodoensis
ENSACAP00000008269	ENSACAG00000008410	anolis_carolinensis
ENSPVIP00000033415	ENSPVIG00000024420	pogona_vitticeps
ENSLLTP00000012977	ENSLLTG00000009911	laticauda_laticaudata
ENSNNAP00000011773	ENSNNAG00000007888	naja_naja
ENSPTXP00000011982	ENSPTXG00000008427	pseudonaja_textilis
ENSNSUP00000006967	ENSNSUG00000005513	notechis_scutatus
ENSSMRP00000009907	ENSSMRG00000007871	salvator_merianae
ENSPMRP00000006724	ENSPMRG00000004555	podarcis_muralis
ENSDLEP00000024335	ENSDLEG00000017661	delphinapterus_leucas
ENSUAMP00000024427	ENSUAMG00000019092	ursus_americanus
ENSLAFP00000005642	ENSLAFG00000006715	loxodonta_africana
ENSPCAP00000005117	ENSPCAG00000005377	procavia_capensis
