ENSCMIP00000022472	ENSCMIG00000008720	callorhinchus_milii
ENSPMRP00000005624	ENSPMRG00000003828	podarcis_muralis
ENSPTXP00000025585	ENSPTXG00000011013	pseudonaja_textilis
ENSLLTP00000003490	ENSLLTG00000002445	laticauda_laticaudata
ENSNSUP00000013373	ENSNSUG00000008294	notechis_scutatus
ENSNNAP00000012330	ENSNNAG00000008222	naja_naja
ENSPVIP00000018792	ENSPVIG00000014380	pogona_vitticeps
ENSSMRP00000029632	ENSSMRG00000022778	salvator_merianae
ENSVKKP00000021952	ENSVKKG00000005098	varanus_komodoensis
ENSSCUP00000021101	ENSSCUG00000015489	struthio_camelus_australis
ENSFTIP00000021058	ENSFTIG00000013702	falco_tinnunculus
ENSBOBP00000017574	ENSBOBG00000002502	bubo_bubo
ENSCPGP00000013256	ENSCPGG00000009403	calidris_pygmaea
ENSCPUP00000010686	ENSCPUG00000007591	calidris_pugnax
ENSANIP00000007926	ENSANIG00000005370	accipiter_nisus
ENSPMJP00000022656	ENSPMJG00000016755	parus_major
ENSJHYP00000024261	ENSJHYG00000017991	junco_hyemalis
ENSSCAP00000021129	ENSSCAG00000015145	serinus_canaria
ENSGFOP00000009894	ENSGFOG00000004862	geospiza_fortis
ENSCPVP00000007795	ENSCPVG00000005697	camarhynchus_parvulus
ENSAZOP00000007088	ENSAZOG00000004545	anas_zonorhyncha
ENSAPLP00000032569	ENSAPLG00000016333	anas_platyrhynchos_platyrhynchos
ENSCJPP00005004679	ENSCJPG00005001291	coturnix_japonica
ENSNMEP00000023521	ENSNMEG00000020051	numida_meleagris
ENSCSRP00000012210	ENSCSRG00000009177	chelydra_serpentina
ENSTMTP00000003171	ENSTMTG00000002395	terrapene_carolina_triunguis
ENSPCEP00000006082	ENSPCEG00000004936	pelusios_castaneus
ENSCHAP00000023641	ENSCHAG00000011694	clupea_harengus
ENSCARP00000077104	ENSCARG00000036024	carassius_auratus
ENSCCRP00010000837	ENSCCRG00010000432	cyprinus_carpio_germanmirror
ENSCCRP00015037375	ENSCCRG00015015562	cyprinus_carpio_huanghe
ENSSRHP00000086728	ENSSRHG00000042896	sinocyclocheilus_rhinocerous
ENSOANP00000005325	ENSOANG00000003354	ornithorhynchus_anatinus
ENSMODP00000050992	ENSMODG00000004268	monodelphis_domestica
ENSSHAP00000011337	ENSSHAG00000009751	sarcophilus_harrisii
ENSMEUP00000002609	ENSMEUG00000002856	notamacropus_eugenii
ENSPCIP00000002401	ENSPCIG00000001901	phascolarctos_cinereus
ENSVURP00010027799	ENSVURG00010021287	vombatus_ursinus
ENSDNOP00000034720	ENSDNOG00000048730	dasypus_novemcinctus
ENSAMEP00000014966	ENSAMEG00000014119	ailuropoda_melanoleuca
ENSVVUP00000032654	ENSVVUG00000015935	vulpes_vulpes
ENSMPUP00000010965	ENSMPUG00000011055	mustela_putorius_furo
ENSECAP00000054329	ENSECAG00000019533	equus_caballus
ENSOARP00000017075	ENSOARG00000015904	ovis_aries
ENSBBBP00000016096	ENSBBBG00000008640	bison_bison_bison
ENSBMUP00000028463	ENSBMUG00000020745	bos_mutus
ENSSSCP00000043155	ENSSSCG00000030827	sus_scrofa
ENSMUSP00000133064	ENSMUSG00000054252	mus_musculus
ENSODEP00000017080	ENSODEG00000012582	octodon_degus
ENSCAPP00000004739	ENSCAPG00000007218	cavia_aperea
ENSCAPP00000007128	ENSCAPG00000009139	cavia_aperea
ENSOGAP00000021689	ENSOGAG00000025157	otolemur_garnettii
ENSRROP00000038488	ENSRROG00000042585	rhinopithecus_roxellana
ENSCSAP00000011731	ENSCSAG00000015647	chlorocebus_sabaeus
ENSPPYP00000016240	ENSPPYG00000014532	pongo_abelii
ENSRFEP00010016021	ENSRFEG00010010819	rhinolophus_ferrumequinum
ENSEASP00005033184	ENSEASG00005022725	equus_asinus_asinus
ENSNVIP00000000062	ENSNVIG00000000109	neovison_vison
ENSNVIP00000000119	ENSNVIG00000000117	neovison_vison
ENSZCAP00015004954	ENSZCAG00015003185	zalophus_californianus
ENSUTTP00000027237	ENSUTTG00000017400	ursus_thibetanus_thibetanus
ENSCAFP00040013838	ENSCAFG00040008527	canis_lupus_familiarisgreatdane
ENSCAFP00030006528	ENSCAFG00030004009	canis_lupus_familiarisbasenji
ENSCAFP00000048068	ENSCAFG00000014993	canis_lupus_familiaris
ENSCAFP00020015365	ENSCAFG00020012349	canis_lupus_dingo
ENSFCAP00000043796	ENSFCAG00000018385	felis_catus
ENSLCNP00005006706	ENSLCNG00005004412	lynx_canadensis
ENSPPRP00000026499	ENSPPRG00000018012	panthera_pardus
ENSPLOP00000006370	ENSPLOG00000004622	panthera_leo
ENSSSUP00005019300	ENSSSUG00005012426	suricata_suricatta
ENSMMSP00000014984	ENSMMSG00000011411	moschus_moschiferus
ENSBGRP00000027915	ENSBGRG00000017575	bos_grunniens
ENSBTAP00000073540	ENSBTAG00000007164	bos_taurus
ENSBIXP00005002276	ENSBIXG00005008663	bos_indicus_hybrid
ENSBIXP00000019476	ENSBIXG00000023089	bos_taurus_hybrid
ENSOARP00020030640	ENSOARG00020023492	ovis_aries_rambouillet
ENSBMSP00010013525	ENSBMSG00010009892	balaenoptera_musculus
ENSPCTP00005009877	ENSPCTG00005006670	physeter_catodon
ENSPSNP00000026695	ENSPSNG00000019417	phocoena_sinus
ENSMMNP00015011847	ENSMMNG00015008748	monodon_monoceros
ENSDLEP00000022863	ENSDLEG00000016588	delphinapterus_leucas
ENSCWAP00000027831	ENSCWAG00000020975	catagonus_wagneri
ENSCWAP00000027821	ENSCWAG00000020968	catagonus_wagneri
ENSUPAP00010003181	ENSUPAG00010002175	urocitellus_parryii
ENSSTOP00000032635	ENSSTOG00000000815	ictidomys_tridecemlineatus
ENSMMMP00000011169	ENSMMMG00000009271	marmota_marmota_marmota
ENSSVLP00005023454	ENSSVLG00005018602	sciurus_vulgaris
ENSFDAP00000018359	ENSFDAG00000009925	fukomys_damarensis
ENSHGLP00000006586	ENSHGLG00000004816	heterocephalus_glaber_female
ENSHGLP00100019367	ENSHGLG00100014279	heterocephalus_glaber_male
ENSCLAP00000010079	ENSCLAG00000006986	chinchilla_lanigera
ENSCPOP00000026305	ENSCPOG00000025595	cavia_porcellus
ENSJJAP00000001555	ENSJJAG00000001873	jaculus_jaculus
ENSMUGP00000020673	ENSMUGG00000017247	meriones_unguiculatus
ENSMSIP00000024693	ENSMSIG00000020478	mus_spicilegus
MGP_SPRETEiJ_P0070194	MGP_SPRETEiJ_G0028116	mus_spretus
MGP_CAROLIEiJ_P0067569	MGP_CAROLIEiJ_G0027120	mus_caroli
MGP_PahariEiJ_P0030782	MGP_PahariEiJ_G0016904	mus_pahari
ENSRNOP00000072062	ENSRNOG00000016818	rattus_norvegicus
