ENSLLEP00000009447	ENSLLEG00000005948	leptobrachium_leishanense
ENSOANP00000011930	ENSOANG00000007493	ornithorhynchus_anatinus
ENSSARP00000011652	ENSSARG00000012892	sorex_araneus
ENSMICP00000014031	ENSMICG00000015371	microcebus_murinus
ENSTBEP00000002584	ENSTBEG00000002976	tupaia_belangeri
ENSDORP00000020142	ENSDORG00000013756	dipodomys_ordii
ENSDNOP00000009354	ENSDNOG00000012040	dasypus_novemcinctus
ENSSSUP00005012390	ENSSSUG00005007970	suricata_suricatta
ENSPPRP00000010877	ENSPPRG00000004924	panthera_pardus
ENSPLOP00000023076	ENSPLOG00000016682	panthera_leo
ENSPTIP00000014326	ENSPTIG00000013771	panthera_tigris_altaica
ENSLCNP00005009791	ENSLCNG00005006399	lynx_canadensis
ENSFCAP00000015078	ENSFCAG00000016224	felis_catus
ENSCAFP00000024307	ENSCAFG00000016518	canis_lupus_familiaris
ENSCAFP00030004814	ENSCAFG00030002896	canis_lupus_familiarisbasenji
ENSCAFP00040025502	ENSCAFG00040015802	canis_lupus_familiarisgreatdane
ENSCAFP00020014605	ENSCAFG00020011800	canis_lupus_dingo
ENSVVUP00000001504	ENSVVUG00000001227	vulpes_vulpes
ENSMPUP00000012187	ENSMPUG00000012284	mustela_putorius_furo
ENSNVIP00000027362	ENSNVIG00000021158	neovison_vison
ENSAMEP00000019241	ENSAMEG00000018201	ailuropoda_melanoleuca
ENSUMAP00000033781	ENSUMAG00000024347	ursus_maritimus
ENSUTTP00000030684	ENSUTTG00000019710	ursus_thibetanus_thibetanus
ENSUAMP00000036857	ENSUAMG00000027912	ursus_americanus
ENSZCAP00015000926	ENSZCAG00015000659	zalophus_californianus
ENSECAP00000053216	ENSECAG00000020869	equus_caballus
ENSEASP00005017745	ENSEASG00005012268	equus_asinus_asinus
ENSMLUP00000005121	ENSMLUG00000005601	myotis_lucifugus
ENSRFEP00010011197	ENSRFEG00010007580	rhinolophus_ferrumequinum
ENSPVAP00000006316	ENSPVAG00000006688	pteropus_vampyrus
ENSPCTP00005005101	ENSPCTG00005003595	physeter_catodon
ENSCHYP00000003333	ENSCHYG00000002101	cervus_hanglu_yarkandensis
ENSMMSP00000023007	ENSMMSG00000017239	moschus_moschiferus
ENSOARP00000003763	ENSOARG00000003522	ovis_aries
ENSOARP00020015276	ENSOARG00020012095	ovis_aries_rambouillet
ENSCHIP00000027592	ENSCHIG00000023444	capra_hircus
ENSCHIP00010006161	ENSCHIG00010004370	capra_hircus_blackbengal
ENSBBBP00000017965	ENSBBBG00000010620	bison_bison_bison
ENSBMUP00000009246	ENSBMUG00000007195	bos_mutus
ENSBGRP00000026168	ENSBGRG00000016457	bos_grunniens
ENSBIXP00000021273	ENSBIXG00000004919	bos_taurus_hybrid
ENSBIXP00005041456	ENSBIXG00005024531	bos_indicus_hybrid
ENSBTAP00000013942	ENSBTAG00000010543	bos_taurus
ENSBMSP00010009125	ENSBMSG00010006695	balaenoptera_musculus
ENSTTRP00000001917	ENSTTRG00000002041	tursiops_truncatus
ENSPCTP00005014571	ENSPCTG00005010366	physeter_catodon
ENSDLEP00000015445	ENSDLEG00000011349	delphinapterus_leucas
ENSMMNP00015001186	ENSMMNG00015000922	monodon_monoceros
ENSPSNP00000021511	ENSPSNG00000015282	phocoena_sinus
ENSSSCP00000030615	ENSSSCG00000014047	sus_scrofa
ENSCWAP00000002349	ENSCWAG00000001846	catagonus_wagneri
ENSCDRP00005015019	ENSCDRG00005010387	camelus_dromedarius
ENSANAP00000008768	ENSANAG00000022388	aotus_nancymaae
ENSCCAP00000016941	ENSCCAG00000026258	cebus_capucinus
ENSSBOP00000015609	ENSSBOG00000024525	saimiri_boliviensis_boliviensis
ENSCJAP00000013365	ENSCJAG00000007147	callithrix_jacchus
ENSNLEP00000015352	ENSNLEG00000012632	nomascus_leucogenys
ENSPTRP00000030013	ENSPTRG00000017574	pan_troglodytes
ENSPPAP00000027993	ENSPPAG00000037055	pan_paniscus
ENSGGOP00000017658	ENSGGOG00000002917	gorilla_gorilla
ENSP00000292408	ENSG00000160867	homo_sapiens
ENSPPYP00000017999	ENSPPYG00000016083	pongo_abelii
ENSPTEP00000001929	ENSPTEG00000002197	piliocolobus_tephrosceles
ENSRBIP00000019504	ENSRBIG00000033749	rhinopithecus_bieti
ENSRBIP00000024930	ENSRBIG00000036359	rhinopithecus_bieti
ENSCATP00000029455	ENSCATG00000037961	cercocebus_atys
ENSMLEP00000007909	ENSMLEG00000027975	mandrillus_leucophaeus
ENSPANP00000008115	ENSPANG00000012360	papio_anubis
ENSTGEP00000018754	ENSTGEG00000015088	theropithecus_gelada
ENSMNEP00000018539	ENSMNEG00000033182	macaca_nemestrina
ENSMFAP00000019333	ENSMFAG00000032678	macaca_fascicularis
ENSMMUP00000006529	ENSMMUG00000011033	macaca_mulatta
ENSCSAP00000005196	ENSCSAG00000008994	chlorocebus_sabaeus
ENSCANP00000022053	ENSCANG00000034426	colobus_angolensis_palliatus
ENSRROP00000038685	ENSRROG00000042700	rhinopithecus_roxellana
ENSOGAP00000010241	ENSOGAG00000011435	otolemur_garnettii
ENSPCOP00000028366	ENSPCOG00000026799	propithecus_coquereli
ENSPSMP00000014274	ENSPSMG00000010226	prolemur_simus
ENSHGLP00000021306	ENSHGLG00000015226	heterocephalus_glaber_female
ENSHGLP00100024560	ENSHGLG00100018036	heterocephalus_glaber_male
ENSFDAP00000023173	ENSFDAG00000021381	fukomys_damarensis
ENSCAPP00000004256	ENSCAPG00000006800	cavia_aperea
ENSCPOP00000031668	ENSCPOG00000022113	cavia_porcellus
ENSCLAP00000021843	ENSCLAG00000014961	chinchilla_lanigera
ENSODEP00000012896	ENSODEG00000009549	octodon_degus
ENSSVLP00005007771	ENSSVLG00005006108	sciurus_vulgaris
ENSUPAP00010017017	ENSUPAG00010013553	urocitellus_parryii
ENSSDAP00000003255	ENSSDAG00000003093	spermophilus_dauricus
ENSSTOP00000000387	ENSSTOG00000000431	ictidomys_tridecemlineatus
ENSMMMP00000002452	ENSMMMG00000002257	marmota_marmota_marmota
ENSCCNP00000025443	ENSCCNG00000024811	castor_canadensis
ENSJJAP00000000649	ENSJJAG00000000503	jaculus_jaculus
ENSMUGP00000019502	ENSMUGG00000016531	meriones_unguiculatus
ENSRNOP00000069871	ENSRNOG00000016763	rattus_norvegicus
MGP_PahariEiJ_P0041104	MGP_PahariEiJ_G0019618	mus_pahari
MGP_CAROLIEiJ_P0034482	MGP_CAROLIEiJ_G0018553	mus_caroli
MGP_SPRETEiJ_P0036133	MGP_SPRETEiJ_G0019433	mus_spretus
ENSMSIP00000020551	ENSMSIG00000017458	mus_spicilegus
ENSMUSP00000005452	ENSMUSG00000005320	mus_musculus
ENSMOCP00000018208	ENSMOCG00000016571	microtus_ochrogaster
ENSMAUP00000010720	ENSMAUG00000011508	mesocricetus_auratus
ENSCGRP00000023468	ENSCGRG00000016993	cricetulus_griseus_crigri
ENSCGRP00001004249	ENSCGRG00001005340	cricetulus_griseus_chok1gshd
ENSCGRP00015023753	ENSCGRG00015018061	cricetulus_griseus_picr
ENSPEMP00000020056	ENSPEMG00000018131	peromyscus_maniculatus_bairdii
ENSNGAP00000024488	ENSNGAG00000022737	nannospalax_galili
ENSLAFP00000013008	ENSLAFG00000015519	loxodonta_africana
ENSPCAP00000006062	ENSPCAG00000006410	procavia_capensis
ENSOCUP00000038483	ENSOCUG00000003380	oryctolagus_cuniculus
ENSETEP00000001493	ENSETEG00000001838	echinops_telfairi
ENSOPRP00000013932	ENSOPRG00000015218	ochotona_princeps
ENSMODP00000043120	ENSMODG00000004899	monodelphis_domestica
ENSSHAP00000013907	ENSSHAG00000011893	sarcophilus_harrisii
ENSMEUP00000004084	ENSMEUG00000004478	notamacropus_eugenii
ENSPCIP00000000629	ENSPCIG00000000522	phascolarctos_cinereus
ENSVURP00010001774	ENSVURG00010001430	vombatus_ursinus
ENSDNVP00000020758	ENSDNVG00000014523	dromaius_novaehollandiae
ENSSCUP00000000894	ENSSCUG00000000750	struthio_camelus_australis
ENSAHAP00000028327	ENSAHAG00000019678	apteryx_haastii
ENSAOWP00000015869	ENSAOWG00000010811	apteryx_owenii
ENSARWP00000006934	ENSARWG00000004870	apteryx_rowi
ENSNPEP00000005924	ENSNPEG00000004464	nothoprocta_perdicaria
ENSGALP00000025286	ENSGALG00000028543	gallus_gallus
ENSMGAP00000001792	ENSMGAG00000002247	meleagris_gallopavo
ENSCPIP00010006960	ENSCPIG00010005383	chrysolophus_pictus
ENSPCLP00000011141	ENSPCLG00000009194	phasianus_colchicus
ENSCJPP00005013163	ENSCJPG00005011132	coturnix_japonica
ENSNMEP00000020984	ENSNMEG00000017993	numida_meleagris
ENSAPLP00000026950	ENSAPLG00000018284	anas_platyrhynchos_platyrhynchos
ENSAZOP00000026524	ENSAZOG00000016910	anas_zonorhyncha
ENSCMMP00000024726	ENSCMMG00000015296	cairina_moschata_domestica
ENSABRP00000019351	ENSABRG00000016606	anser_brachyrhynchus
ENSACDP00005022925	ENSACDG00005016622	anser_cygnoides
ENSMVIP00005024270	ENSMVIG00005017031	manacus_vitellinus
ENSLCOP00000010976	ENSLCOG00000007976	lepidothrix_coronata
ENSMCSP00000020594	ENSMCSG00000014456	malurus_cyaneus_samueli
ENSLSDP00000023031	ENSLSDG00000015307	lonchura_striata_domestica
ENSFALP00000009077	ENSFALG00000008682	ficedula_albicollis
ENSCUSP00005006703	ENSCUSG00005003891	catharus_ustulatus
ENSCMUP00000015940	ENSCMUG00000009885	corvus_moneduloides
ENSGFOP00000018879	ENSGFOG00000002416	geospiza_fortis
ENSZALP00000012611	ENSZALG00000010562	zonotrichia_albicollis
ENSJHYP00000003705	ENSJHYG00000003052	junco_hyemalis
ENSCPVP00000015455	ENSCPVG00000011333	camarhynchus_parvulus
ENSTGUP00000019742	ENSTGUG00000000438	taeniopygia_guttata
ENSEGOP00005007300	ENSEGOG00005005672	erythrura_gouldiae
ENSSCAP00000018486	ENSSCAG00000013388	serinus_canaria
ENSZLMP00000005333	ENSZLMG00000003789	zosterops_lateralis_melanops
ENSCRFP00000019778	ENSCRFG00000001958	stachyris_ruficeps
