FBpp0086841	FBgn0020391	drosophila_melanogaster
ENSSGRP00000083615	ENSSGRG00000042238	sinocyclocheilus_grahami
ENSAMXP00005002896	ENSAMXG00005001775	astyanax_mexicanus_pachon
ENSCMIP00000022426	ENSCMIG00000010112	callorhinchus_milii
ENSLACP00000013469	ENSLACG00000011857	latimeria_chalumnae
ENSNNAP00000015930	ENSNNAG00000010735	naja_naja
ENSLLTP00000023265	ENSLLTG00000017196	laticauda_laticaudata
ENSSPUP00000003160	ENSSPUG00000002432	sphenodon_punctatus
ENSNNAP00000015894	ENSNNAG00000010723	naja_naja
ENSPTXP00000022062	ENSPTXG00000015271	pseudonaja_textilis
ENSNSUP00000009840	ENSNSUG00000007498	notechis_scutatus
ENSPMRP00000033188	ENSPMRG00000021520	podarcis_muralis
ENSSMRP00000027097	ENSSMRG00000020894	salvator_merianae
ENSPVIP00000020019	ENSPVIG00000015266	pogona_vitticeps
ENSACAP00000001049	ENSACAG00000000911	anolis_carolinensis
ENSVKKP00000014399	ENSVKKG00000009914	varanus_komodoensis
ENSNPEP00000015928	ENSNPEG00000011871	nothoprocta_perdicaria
ENSARWP00000013187	ENSARWG00000009149	apteryx_rowi
ENSAHAP00000010176	ENSAHAG00000007376	apteryx_haastii
ENSAOWP00000026594	ENSAOWG00000017937	apteryx_owenii
ENSSCUP00000010947	ENSSCUG00000007913	struthio_camelus_australis
ENSDNVP00000004224	ENSDNVG00000002988	dromaius_novaehollandiae
ENSDNVP00000008326	ENSDNVG00000005926	dromaius_novaehollandiae
ENSAPLP00020010695	ENSAPLG00020007882	anas_platyrhynchos
ENSAPLP00000008968	ENSAPLG00000009215	anas_platyrhynchos_platyrhynchos
ENSAZOP00000001184	ENSAZOG00000000845	anas_zonorhyncha
ENSCMMP00000025298	ENSCMMG00000015630	cairina_moschata_domestica
ENSACDP00005022681	ENSACDG00005016443	anser_cygnoides
ENSABRP00000012803	ENSABRG00000011466	anser_brachyrhynchus
ENSMGAP00000008827	ENSMGAG00000008593	meleagris_gallopavo
ENSCJPP00005003375	ENSCJPG00005003566	coturnix_japonica
ENSPCLP00000018644	ENSPCLG00000015659	phasianus_colchicus
ENSPSTP00000024566	ENSPSTG00000018114	pavo_cristatus
ENSGALP00000044942	ENSGALG00000015728	gallus_gallus
ENSNMEP00000010125	ENSNMEG00000009566	numida_meleagris
ENSFTIP00000007842	ENSFTIG00000005325	falco_tinnunculus
ENSCPGP00000022847	ENSCPGG00000015849	calidris_pygmaea
ENSCPUP00000020060	ENSCPUG00000013729	calidris_pugnax
ENSCPVP00000016323	ENSCPVG00000011936	camarhynchus_parvulus
ENSGFOP00000002035	ENSGFOG00000001417	geospiza_fortis
ENSZALP00000014579	ENSZALG00000012106	zonotrichia_albicollis
ENSLSDP00000013538	ENSLSDG00000009811	lonchura_striata_domestica
ENSTGUP00000001342	ENSTGUG00000001301	taeniopygia_guttata
ENSEGOP00005020430	ENSEGOG00005016337	erythrura_gouldiae
ENSSCAP00000014576	ENSSCAG00000010714	serinus_canaria
ENSCMUP00000025836	ENSCMUG00000015720	corvus_moneduloides
ENSCCEP00000015319	ENSCCEG00000014528	cyanistes_caeruleus
ENSPMJP00000005899	ENSPMJG00000005068	parus_major
ENSCRFP00000013427	ENSCRFG00000010386	stachyris_ruficeps
ENSZLMP00000005946	ENSZLMG00000004203	zosterops_lateralis_melanops
ENSCUSP00005020704	ENSCUSG00005013216	catharus_ustulatus
ENSFALP00000000245	ENSFALG00000000230	ficedula_albicollis
ENSMCSP00000009218	ENSMCSG00000006501	malurus_cyaneus_samueli
ENSMVIP00005028371	ENSMVIG00005019751	manacus_vitellinus
ENSLCOP00000020288	ENSLCOG00000014380	lepidothrix_coronata
ENSMUNP00000005228	ENSMUNG00000004299	melopsittacus_undulatus
ENSSHBP00005001589	ENSSHBG00005001431	strigops_habroptila
ENSACOP00000018737	ENSACOG00000012883	amazona_collaria
ENSBOBP00000000787	ENSBOBG00000000583	bubo_bubo
ENSOSUP00000009382	ENSOSUG00000006892	otus_sunia
ENSACUP00000020087	ENSACUG00000013442	athene_cunicularia
ENSSOCP00000009011	ENSSOCG00000006860	strix_occidentalis_caurina
ENSBJAP00000013935	ENSBJAG00000009266	buteo_japonicus
ENSANIP00000015938	ENSANIG00000010807	accipiter_nisus
ENSACCP00020023038	ENSACCG00020015789	aquila_chrysaetos_chrysaetos
ENSCPRP00005021854	ENSCPRG00005015187	crocodylus_porosus
ENSPCEP00000004917	ENSPCEG00000003947	pelusios_castaneus
ENSPSIP00000012867	ENSPSIG00000011443	pelodiscus_sinensis
ENSCSRP00000006661	ENSCSRG00000004931	chelydra_serpentina
ENSCABP00000027746	ENSCABG00000020393	chelonoidis_abingdonii
ENSGAGP00000007680	ENSGAGG00000006148	gopherus_agassizii
ENSGEVP00005015087	ENSGEVG00005010668	gopherus_evgoodei
ENSTMTP00000017309	ENSTMTG00000012636	terrapene_carolina_triunguis
ENSTMTP00000027170	ENSTMTG00000019831	terrapene_carolina_triunguis
ENSCPBP00000010783	ENSCPBG00000008245	chrysemys_picta_bellii
ENSOANP00000042428	ENSOANG00000006972	ornithorhynchus_anatinus
ENSSHAP00000001408	ENSSHAG00000001254	sarcophilus_harrisii
ENSMEUP00000007446	ENSMEUG00000008148	notamacropus_eugenii
ENSVURP00010011012	ENSVURG00010008274	vombatus_ursinus
ENSPCIP00000019913	ENSPCIG00000015083	phascolarctos_cinereus
ENSMODP00000054873	ENSMODG00000003983	monodelphis_domestica
ENSLAFP00000012848	ENSLAFG00000015335	loxodonta_africana
ENSPCAP00000011351	ENSPCAG00000012137	procavia_capensis
ENSTSYP00000033817	ENSTSYG00000004623	carlito_syrichta
ENSCSAP00000008293	ENSCSAG00000012109	chlorocebus_sabaeus
ENSTBEP00000001408	ENSTBEG00000001603	tupaia_belangeri
ENSOCUP00000015365	ENSOCUG00000017885	oryctolagus_cuniculus
ENSMICP00000022261	ENSMICG00000004347	microcebus_murinus
ENSPSMP00000012443	ENSPSMG00000008954	prolemur_simus
ENSPCOP00000022236	ENSPCOG00000023200	propithecus_coquereli
ENSOGAP00000011386	ENSOGAG00000012704	otolemur_garnettii
ENSPPYP00000021837	ENSPPYG00000019494	pongo_abelii
ENSGGOP00000041000	ENSGGOG00000015657	gorilla_gorilla
ENSP00000363571	ENSG00000030304	homo_sapiens
ENSPPAP00000008112	ENSPPAG00000027272	pan_paniscus
ENSPTRP00000087278	ENSPTRG00000021248	pan_troglodytes
ENSNLEP00000044807	ENSNLEG00000017469	nomascus_leucogenys
ENSPTEP00000034224	ENSPTEG00000032507	piliocolobus_tephrosceles
ENSRBIP00000015730	ENSRBIG00000031829	rhinopithecus_bieti
ENSRROP00000002802	ENSRROG00000011014	rhinopithecus_roxellana
ENSCANP00000028296	ENSCANG00000037520	colobus_angolensis_palliatus
ENSPANP00000018993	ENSPANG00000025746	papio_anubis
ENSTGEP00000036229	ENSTGEG00000028826	theropithecus_gelada
ENSMLEP00000025151	ENSMLEG00000036730	mandrillus_leucophaeus
ENSMNEP00000045179	ENSMNEG00000045122	macaca_nemestrina
ENSMMUP00000009260	ENSMMUG00000007065	macaca_mulatta
ENSMFAP00000015374	ENSMFAG00000030822	macaca_fascicularis
ENSCATP00000022793	ENSCATG00000034968	cercocebus_atys
ENSCJAP00000052693	ENSCJAG00000017434	callithrix_jacchus
ENSSBOP00000007689	ENSSBOG00000020716	saimiri_boliviensis_boliviensis
ENSCCAP00000006849	ENSCCAG00000021106	cebus_capucinus
ENSANAP00000007072	ENSANAG00000021572	aotus_nancymaae
ENSDORP00000021207	ENSDORG00000011874	dipodomys_ordii
ENSCCNP00000000846	ENSCCNG00000000627	castor_canadensis
ENSJJAP00000022236	ENSJJAG00000022339	jaculus_jaculus
ENSNGAP00000024727	ENSNGAG00000022886	nannospalax_galili
ENSPEMP00000025379	ENSPEMG00000021824	peromyscus_maniculatus_bairdii
ENSMOCP00000014366	ENSMOCG00000013873	microtus_ochrogaster
ENSCGRP00000010073	ENSCGRG00000007339	cricetulus_griseus_crigri
ENSCGRP00015036490	ENSCGRG00015027297	cricetulus_griseus_picr
