ENSEBUP00000021972	ENSEBUG00000013545	eptatretus_burgeri
ENSLACP00000016970	ENSLACG00000014945	latimeria_chalumnae
ENSECRP00000022966	ENSECRG00000015535	erpetoichthys_calabaricus
ENSLLEP00000043411	ENSLLEG00000027490	leptobrachium_leishanense
ENSXETP00000094405	ENSXETG00000015145	xenopus_tropicalis
ENSVKKP00000019304	ENSVKKG00000013022	varanus_komodoensis
ENSNNAP00000021823	ENSNNAG00000014234	naja_naja
ENSPTXP00000011998	ENSPTXG00000008466	pseudonaja_textilis
ENSNSUP00000023475	ENSNSUG00000016989	notechis_scutatus
ENSLLTP00000016875	ENSLLTG00000011168	laticauda_laticaudata
ENSACAP00000003644	ENSACAG00000003496	anolis_carolinensis
ENSPVIP00000020458	ENSPVIG00000015599	pogona_vitticeps
ENSSMRP00000007162	ENSSMRG00000005768	salvator_merianae
ENSPMRP00000029263	ENSPMRG00000018914	podarcis_muralis
ENSPMRP00000029246	ENSPMRG00000018891	podarcis_muralis
ENSPMRP00000028859	ENSPMRG00000017476	podarcis_muralis
ENSOANP00000003452	ENSOANG00000002175	ornithorhynchus_anatinus
ENSMEUP00000006689	ENSMEUG00000007307	notamacropus_eugenii
ENSPCIP00000000432	ENSPCIG00000000366	phascolarctos_cinereus
ENSVURP00010007604	ENSVURG00010005846	vombatus_ursinus
ENSMODP00000050019	ENSMODG00000012858	monodelphis_domestica
ENSSHAP00000017757	ENSSHAG00000015078	sarcophilus_harrisii
ENSDNOP00000012150	ENSDNOG00000015671	dasypus_novemcinctus
ENSCHOP00000007313	ENSCHOG00000008259	choloepus_hoffmanni
ENSTBEP00000008466	ENSTBEG00000009727	tupaia_belangeri
ENSMLUP00000013673	ENSMLUG00000015001	myotis_lucifugus
ENSSARP00000008601	ENSSARG00000009467	sorex_araneus
ENSEEUP00000006139	ENSEEUG00000006658	erinaceus_europaeus
ENSBMUP00000002936	ENSBMUG00000002300	bos_mutus
ENSNGAP00000005220	ENSNGAG00000007263	nannospalax_galili
ENSMAUP00000024426	ENSMAUG00000021280	mesocricetus_auratus
ENSCGRP00015020032	ENSCGRG00015015353	cricetulus_griseus_picr
ENSCGRP00000007508	ENSCGRG00000005466	cricetulus_griseus_crigri
ENSCGRP00001000442	ENSCGRG00001000353	cricetulus_griseus_chok1gshd
ENSPEMP00000028368	ENSPEMG00000023918	peromyscus_maniculatus_bairdii
ENSMOCP00000026717	ENSMOCG00000022429	microtus_ochrogaster
ENSMUGP00000003268	ENSMUGG00000000314	meriones_unguiculatus
MGP_PahariEiJ_P0036375	MGP_PahariEiJ_G0018213	mus_pahari
MGP_CAROLIEiJ_P0029653	MGP_CAROLIEiJ_G0017084	mus_caroli
ENSMUSP00000053897	ENSMUSG00000062312	mus_musculus
MGP_SPRETEiJ_P0031076	MGP_SPRETEiJ_G0017930	mus_spretus
ENSMSIP00000019884	ENSMSIG00000016883	mus_spicilegus
ENSRNOP00000064298	ENSRNOG00000049238	rattus_norvegicus
ENSRNOP00000040591	ENSRNOG00000006450	rattus_norvegicus
ENSJJAP00000002804	ENSJJAG00000004797	jaculus_jaculus
ENSDORP00000013983	ENSDORG00000014861	dipodomys_ordii
ENSCCNP00000000810	ENSCCNG00000000898	castor_canadensis
ENSSVLP00005016265	ENSSVLG00005012752	sciurus_vulgaris
ENSSTOP00000003374	ENSSTOG00000003748	ictidomys_tridecemlineatus
ENSSDAP00000004905	ENSSDAG00000004561	spermophilus_dauricus
ENSUPAP00010009436	ENSUPAG00010007639	urocitellus_parryii
ENSMMMP00000022228	ENSMMMG00000019526	marmota_marmota_marmota
ENSCPOP00000005210	ENSCPOG00000005777	cavia_porcellus
ENSCAPP00000010700	ENSCAPG00000011884	cavia_aperea
ENSCLAP00000023064	ENSCLAG00000015834	chinchilla_lanigera
ENSODEP00000024479	ENSODEG00000017915	octodon_degus
ENSHGLP00000014165	ENSHGLG00000010120	heterocephalus_glaber_female
ENSHGLP00100002151	ENSHGLG00100001678	heterocephalus_glaber_male
ENSFDAP00000013284	ENSFDAG00000020644	fukomys_damarensis
ENSOCUP00000009117	ENSOCUG00000010569	oryctolagus_cuniculus
ENSOPRP00000012202	ENSOPRG00000013342	ochotona_princeps
ENSPCOP00000028204	ENSPCOG00000026686	propithecus_coquereli
ENSMICP00000036024	ENSMICG00000010536	microcebus_murinus
ENSPSMP00000013792	ENSPSMG00000009881	prolemur_simus
ENSOGAP00000009662	ENSOGAG00000010792	otolemur_garnettii
ENSSBOP00000025772	ENSSBOG00000029145	saimiri_boliviensis_boliviensis
ENSCJAP00000001808	ENSCJAG00000008874	callithrix_jacchus
ENSCCAP00000029750	ENSCCAG00000032887	cebus_capucinus
ENSANAP00000014406	ENSANAG00000025053	aotus_nancymaae
ENSPPYP00000009527	ENSPPYG00000008479	pongo_abelii
ENSPPAP00000037400	ENSPPAG00000041350	pan_paniscus
ENSPTRP00000069840	ENSPTRG00000009100	pan_troglodytes
ENSP00000269571	ENSG00000141736	homo_sapiens
ENSGGOP00000004424	ENSGGOG00000004509	gorilla_gorilla
ENSNLEP00000048945	ENSNLEG00000000989	nomascus_leucogenys
ENSMLEP00000016647	ENSMLEG00000032400	mandrillus_leucophaeus
ENSPANP00000037255	ENSPANG00000021825	papio_anubis
ENSTGEP00000004568	ENSTGEG00000003824	theropithecus_gelada
ENSCATP00000008001	ENSCATG00000022891	cercocebus_atys
ENSMFAP00000040784	ENSMFAG00000041598	macaca_fascicularis
ENSMMUP00000064366	ENSMMUG00000001348	macaca_mulatta
ENSMNEP00000045614	ENSMNEG00000045300	macaca_nemestrina
ENSCSAP00000015327	ENSCSAG00000002720	chlorocebus_sabaeus
ENSRROP00000044184	ENSRROG00000045066	rhinopithecus_roxellana
ENSRBIP00000032145	ENSRBIG00000039862	rhinopithecus_bieti
ENSPTEP00000016582	ENSPTEG00000018162	piliocolobus_tephrosceles
ENSCANP00000008187	ENSCANG00000026130	colobus_angolensis_palliatus
ENSTSYP00000014181	ENSTSYG00000027118	carlito_syrichta
ENSPLOP00000013274	ENSPLOG00000009447	panthera_leo
ENSPTIP00000001419	ENSPTIG00000003012	panthera_tigris_altaica
ENSPPRP00000009885	ENSPPRG00000004415	panthera_pardus
ENSLCNP00005028705	ENSLCNG00005018531	lynx_canadensis
ENSFCAP00000022496	ENSFCAG00000009903	felis_catus
ENSSSUP00005021246	ENSSSUG00005013445	suricata_suricatta
ENSCAFP00030018302	ENSCAFG00030011137	canis_lupus_familiarisbasenji
ENSCAFP00000024079	ENSCAFG00000016351	canis_lupus_familiaris
ENSCAFP00040002995	ENSCAFG00040001791	canis_lupus_familiarisgreatdane
ENSCAFP00020028705	ENSCAFG00020019353	canis_lupus_dingo
ENSVVUP00000001572	ENSVVUG00000001259	vulpes_vulpes
ENSUAMP00000011513	ENSUAMG00000009400	ursus_americanus
ENSUMAP00000024003	ENSUMAG00000017481	ursus_maritimus
ENSUTTP00000029976	ENSUTTG00000019077	ursus_thibetanus_thibetanus
