ENSCMIP00000019649	ENSCMIG00000009136	callorhinchus_milii
ENSOTSP00005024751	ENSOTSG00005011674	oncorhynchus_tshawytscha
ENSOKIP00005018899	ENSOKIG00005008384	oncorhynchus_kisutch
ENSSSAP00000067465	ENSSSAG00000060395	salmo_salar
ENSPKIP00000025528	ENSPKIG00000008367	paramormyrops_kingsleyae
ENSLOCP00000005152	ENSLOCG00000004310	lepisosteus_oculatus
ENSECRP00000011633	ENSECRG00000007743	erpetoichthys_calabaricus
ENSLLEP00000026936	ENSLLEG00000017049	leptobrachium_leishanense
ENSPVIP00000028746	ENSPVIG00000021251	pogona_vitticeps
ENSACAP00000009065	ENSACAG00000009188	anolis_carolinensis
ENSPMRP00000005923	ENSPMRG00000004013	podarcis_muralis
ENSSMRP00000016828	ENSSMRG00000013118	salvator_merianae
ENSVKKP00000009552	ENSVKKG00000006745	varanus_komodoensis
ENSNSUP00000018148	ENSNSUG00000013286	notechis_scutatus
ENSLLTP00000008898	ENSLLTG00000006714	laticauda_laticaudata
ENSPTXP00000007350	ENSPTXG00000005341	pseudonaja_textilis
ENSNNAP00000028603	ENSNNAG00000018383	naja_naja
ENSSPUP00000006531	ENSSPUG00000004920	sphenodon_punctatus
ENSPSIP00000013842	ENSPSIG00000012352	pelodiscus_sinensis
ENSCSRP00000006627	ENSCSRG00000004898	chelydra_serpentina
ENSCSRP00000003076	ENSCSRG00000002335	chelydra_serpentina
ENSCPBP00000029008	ENSCPBG00000020464	chrysemys_picta_bellii
ENSTMTP00000020705	ENSTMTG00000015105	terrapene_carolina_triunguis
ENSTMTP00000007434	ENSTMTG00000005366	terrapene_carolina_triunguis
ENSGAGP00000009338	ENSGAGG00000007380	gopherus_agassizii
ENSGEVP00005001666	ENSGEVG00005001236	gopherus_evgoodei
ENSCABP00000001741	ENSCABG00000001407	chelonoidis_abingdonii
ENSPCEP00000023356	ENSPCEG00000017712	pelusios_castaneus
ENSARWP00000012978	ENSARWG00000008891	apteryx_rowi
ENSAHAP00000004490	ENSAHAG00000003337	apteryx_haastii
ENSAOWP00000013724	ENSAOWG00000009368	apteryx_owenii
ENSDNVP00000007194	ENSDNVG00000004998	dromaius_novaehollandiae
ENSSCUP00000020416	ENSSCUG00000014991	struthio_camelus_australis
ENSCMMP00000028622	ENSCMMG00000017411	cairina_moschata_domestica
ENSAZOP00000005514	ENSAZOG00000003540	anas_zonorhyncha
ENSAPLP00020006675	ENSAPLG00020004764	anas_platyrhynchos
ENSAPLP00000005607	ENSAPLG00000005989	anas_platyrhynchos_platyrhynchos
ENSABRP00000023993	ENSABRG00000020154	anser_brachyrhynchus
ENSACDP00005024679	ENSACDG00005017886	anser_cygnoides
ENSCJPP00005026243	ENSCJPG00005020434	coturnix_japonica
ENSPCLP00000023998	ENSPCLG00000021167	phasianus_colchicus
ENSGALP00000054394	ENSGALG00000035726	gallus_gallus
ENSPSTP00000018469	ENSPSTG00000013244	pavo_cristatus
ENSCPIP00010007874	ENSCPIG00010006161	chrysolophus_pictus
ENSMGAP00000016011	ENSMGAG00000015097	meleagris_gallopavo
ENSNMEP00000022654	ENSNMEG00000019370	numida_meleagris
ENSLCOP00000004987	ENSLCOG00000003748	lepidothrix_coronata
ENSMVIP00005001524	ENSMVIG00005001139	manacus_vitellinus
ENSMCSP00000005668	ENSMCSG00000004017	malurus_cyaneus_samueli
ENSCMUP00000022721	ENSCMUG00000013953	corvus_moneduloides
ENSCPVP00000009542	ENSCPVG00000006939	camarhynchus_parvulus
ENSGFOP00000002328	ENSGFOG00000001547	geospiza_fortis
ENSEGOP00005002066	ENSEGOG00005001673	erythrura_gouldiae
ENSCRFP00000014392	ENSCRFG00000011096	stachyris_ruficeps
ENSZLMP00000012868	ENSZLMG00000008971	zosterops_lateralis_melanops
ENSCUSP00005015761	ENSCUSG00005010083	catharus_ustulatus
ENSSCAP00000008614	ENSSCAG00000006561	serinus_canaria
ENSTGUP00000018599	ENSTGUG00000011607	taeniopygia_guttata
ENSLSDP00000000188	ENSLSDG00000000171	lonchura_striata_domestica
ENSZALP00000014019	ENSZALG00000011645	zonotrichia_albicollis
ENSJHYP00000014878	ENSJHYG00000011486	junco_hyemalis
ENSFALP00000008955	ENSFALG00000008570	ficedula_albicollis
ENSCCEP00000027219	ENSCCEG00000023776	cyanistes_caeruleus
ENSPMJP00000023693	ENSPMJG00000017475	parus_major
ENSFTIP00000011361	ENSFTIG00000007567	falco_tinnunculus
ENSACCP00020023011	ENSACCG00020015779	aquila_chrysaetos_chrysaetos
ENSBJAP00000010249	ENSBJAG00000006986	buteo_japonicus
ENSANIP00000023581	ENSANIG00000015975	accipiter_nisus
ENSMUNP00000006355	ENSMUNG00000005108	melopsittacus_undulatus
ENSACOP00000000456	ENSACOG00000000336	amazona_collaria
ENSSHBP00005014865	ENSSHBG00005013018	strigops_habroptila
ENSACUP00000003841	ENSACUG00000002637	athene_cunicularia
ENSBOBP00000007451	ENSBOBG00000004885	bubo_bubo
ENSSOCP00000007355	ENSSOCG00000005534	strix_occidentalis_caurina
ENSOSUP00000011818	ENSOSUG00000008510	otus_sunia
ENSCPGP00000013244	ENSCPGG00000009374	calidris_pygmaea
ENSCPUP00000019551	ENSCPUG00000013423	calidris_pugnax
ENSCPRP00005017689	ENSCPRG00005012285	crocodylus_porosus
ENSOANP00000033848	ENSOANG00000045061	ornithorhynchus_anatinus
ENSEEUP00000008760	ENSEEUG00000009552	erinaceus_europaeus
ENSSARP00000009433	ENSSARG00000010421	sorex_araneus
ENSMLUP00000002354	ENSMLUG00000002582	myotis_lucifugus
ENSRFEP00010005889	ENSRFEG00010004003	rhinolophus_ferrumequinum
ENSPVAP00000010865	ENSPVAG00000011525	pteropus_vampyrus
ENSNVIP00000003616	ENSNVIG00000002880	neovison_vison
ENSMPUP00000005034	ENSMPUG00000005073	mustela_putorius_furo
ENSUTTP00000021669	ENSUTTG00000013761	ursus_thibetanus_thibetanus
ENSUAMP00000030275	ENSUAMG00000023222	ursus_americanus
ENSUMAP00000023286	ENSUMAG00000016979	ursus_maritimus
ENSAMEP00000002502	ENSAMEG00000002354	ailuropoda_melanoleuca
ENSZCAP00015002090	ENSZCAG00015001387	zalophus_californianus
ENSCAFP00020032455	ENSCAFG00020025240	canis_lupus_dingo
ENSCAFP00030033243	ENSCAFG00030020408	canis_lupus_familiarisbasenji
ENSCAFP00000051387	ENSCAFG00000006716	canis_lupus_familiaris
ENSCAFP00040031182	ENSCAFG00040019101	canis_lupus_familiarisgreatdane
ENSVVUP00000012641	ENSVVUG00000009247	vulpes_vulpes
ENSPPRP00000011469	ENSPPRG00000005326	panthera_pardus
ENSPLOP00000028857	ENSPLOG00000021081	panthera_leo
ENSPTIP00000013976	ENSPTIG00000013522	panthera_tigris_altaica
ENSFCAP00000004196	ENSFCAG00000004539	felis_catus
