ENSCMIP00000023228	ENSCMIG00000010402	callorhinchus_milii
ENSLOCP00000012811	ENSLOCG00000010430	lepisosteus_oculatus
ENSLCAP00010049900	ENSLCAG00010023245	lates_calcarifer
ENSPKIP00000002080	ENSPKIG00000020116	paramormyrops_kingsleyae
ENSOKIP00005001548	ENSOKIG00005000581	oncorhynchus_kisutch
ENSOTSP00005023578	ENSOTSG00005011203	oncorhynchus_tshawytscha
ENSOTSP00005023580	ENSOTSG00005011206	oncorhynchus_tshawytscha
ENSSSAP00000060167	ENSSSAG00000055286	salmo_salar
ENSSTUP00000087663	ENSSTUG00000038332	salmo_trutta
ENSSTUP00000029935	ENSSTUG00000012692	salmo_trutta
ENSSSAP00000080664	ENSSSAG00000066220	salmo_salar
ENSOMYP00000065392	ENSOMYG00000029976	oncorhynchus_mykiss
ENSOTSP00005086178	ENSOTSG00005040652	oncorhynchus_tshawytscha
ENSOKIP00005058331	ENSOKIG00005024606	oncorhynchus_kisutch
ENSHHUP00000010814	ENSHHUG00000006616	hucho_hucho
ENSHHUP00000010826	ENSHHUG00000006623	hucho_hucho
ENSELUP00000046985	ENSELUG00000007494	esox_lucius
ENSGMOP00000007441	ENSGMOG00000006993	gadus_morhua
ENSHHUP00000040655	ENSHHUG00000025136	hucho_hucho
ENSPMGP00000017741	ENSPMGG00000014522	periophthalmus_magnuspinnatus
ENSSORP00005033513	ENSSORG00005015869	sphaeramia_orbicularis
ENSHCOP00000016142	ENSHCOG00000019888	hippocampus_comes
ENSTRUP00000067662	ENSTRUG00000003966	takifugu_rubripes
ENSTNIP00000005288	ENSTNIG00000002728	tetraodon_nigroviridis
ENSMMOP00000007416	ENSMMOG00000005773	mola_mola
ENSSMAP00000012416	ENSSMAG00000007624	scophthalmus_maximus
ENSLBEP00000024667	ENSLBEG00000018864	labrus_bergylta
ENSNFUP00015032010	ENSNFUG00015015670	nothobranchius_furzeri
ENSAPEP00000018039	ENSAPEG00000012865	amphiprion_percula
ENSAOCP00000004851	ENSAOCG00000008318	amphiprion_ocellaris
ENSAPOP00000023638	ENSAPOG00000005628	acanthochromis_polyacanthus
ENSSPAP00000018399	ENSSPAG00000013862	stegastes_partitus
ENSLBEP00000037239	ENSLBEG00000027794	labrus_bergylta
ENSSLUP00000057855	ENSSLUG00000024874	sander_lucioperca
ENSCGOP00000018959	ENSCGOG00000009049	cottoperca_gobio
ENSGACP00000008970	ENSGACG00000006770	gasterosteus_aculeatus
ENSDLAP00005001960	ENSDLAG00005000806	dicentrarchus_labrax
ENSLCRP00005036402	ENSLCRG00005013472	larimichthys_crocea
ENSSAUP00010046553	ENSSAUG00010019347	sparus_aurata
ENSMALP00000005693	ENSMALG00000004082	monopterus_albus
ENSMAMP00000026988	ENSMAMG00000018107	mastacembelus_armatus
ENSBSLP00000055796	ENSBSLG00000026019	betta_splendens
ENSATEP00000001966	ENSATEG00000001340	anabas_testudineus
ENSNMLP00000003226	ENSNMLG00000002333	neogobius_melanostomus
ENSNMLP00000003220	ENSNMLG00000002329	neogobius_melanostomus
ENSNFUP00015020544	ENSNFUG00015009967	nothobranchius_furzeri
ENSPMEP00000028996	ENSPMEG00000014458	poecilia_mexicana
ENSCVAP00000013741	ENSCVAG00000016284	cyprinodon_variegatus
ENSCVAP00000013718	ENSCVAG00000016280	cyprinodon_variegatus
ENSOABP00000056603	ENSOABG00000024938	oreochromis_aureus
ENSOABP00000056601	ENSOABG00000024936	oreochromis_aureus
ENSCLMP00005017896	ENSCLMG00005009121	cyclopterus_lumpus
ENSCLMP00005017898	ENSCLMG00005009123	cyclopterus_lumpus
ENSENLP00000015494	ENSENLG00000007216	echeneis_naucrates
ENSMMDP00005043598	ENSMMDG00005020051	myripristis_murdjan
ENSMMDP00005043600	ENSMMDG00005020054	myripristis_murdjan
ENSSORP00005033516	ENSSORG00005015873	sphaeramia_orbicularis
ENSPMEP00000027289	ENSPMEG00000011544	poecilia_mexicana
ENSPLAP00000024903	ENSPLAG00000011491	poecilia_latipinna
ENSOSIP00000009586	ENSOSIG00000006057	oryzias_sinensis
ENSENLP00000015481	ENSENLG00000007211	echeneis_naucrates
ENSLCAP00010049663	ENSLCAG00010023125	lates_calcarifer
ENSHHUP00000043341	ENSHHUG00000026620	hucho_hucho
