ENSECRP00000011393	ENSECRG00000007592	erpetoichthys_calabaricus
ENSLOCP00000005239	ENSLOCG00000004379	lepisosteus_oculatus
ENSSFOP00015024433	ENSSFOG00015015683	scleropages_formosus
ENSPKIP00000024918	ENSPKIG00000007915	paramormyrops_kingsleyae
ENSGMOP00000016213	ENSGMOG00000015113	gadus_morhua
ENSMMDP00005011672	ENSMMDG00005006211	myripristis_murdjan
ENSSMAP00000023979	ENSSMAG00000014621	scophthalmus_maximus
ENSHCOP00000012116	ENSHCOG00000015104	hippocampus_comes
ENSTRUP00000067811	ENSTRUG00000006184	takifugu_rubripes
ENSTNIP00000000692	ENSTNIG00000001337	tetraodon_nigroviridis
ENSTNIP00000022711	ENSTNIG00000000502	tetraodon_nigroviridis
ENSLBEP00000022496	ENSLBEG00000017266	labrus_bergylta
ENSMMOP00000003767	ENSMMOG00000003010	mola_mola
ENSSAUP00010006156	ENSSAUG00010003102	sparus_aurata
ENSLCRP00005063371	ENSLCRG00005023197	larimichthys_crocea
ENSDLAP00005005822	ENSDLAG00005002274	dicentrarchus_labrax
ENSCLMP00005048057	ENSCLMG00005021994	cyclopterus_lumpus
ENSCGOP00000027185	ENSCGOG00000012713	cottoperca_gobio
ENSSLUP00000003649	ENSSLUG00000001549	sander_lucioperca
ENSPRNP00000056140	ENSPRNG00000026257	parambassis_ranga
ENSSPAP00000001478	ENSSPAG00000001118	stegastes_partitus
ENSAOCP00000007905	ENSAOCG00000011809	amphiprion_ocellaris
ENSAPEP00000028460	ENSAPEG00000020139	amphiprion_percula
ENSAPOP00000034724	ENSAPOG00000024197	acanthochromis_polyacanthus
ENSSFAP00005047762	ENSSFAG00005023139	salarias_fasciatus
ENSORLP00000010960	ENSORLG00000008730	oryzias_latipes
ENSORLP00020013570	ENSORLG00020014534	oryzias_latipes_hni
ENSORLP00015030653	ENSORLG00015014451	oryzias_latipes_hsok
ENSOSIP00000045608	ENSOSIG00000021671	oryzias_sinensis
ENSOMEP00000026203	ENSOMEG00000007898	oryzias_melastigma
ENSOJAP00000042135	ENSOJAG00000020693	oryzias_javanicus
ENSCVAP00000015457	ENSCVAG00000018525	cyprinodon_variegatus
ENSGAFP00000010483	ENSGAFG00000007068	gambusia_affinis
ENSPLAP00000030276	ENSPLAG00000021248	poecilia_latipinna
ENSPFOP00000007213	ENSPFOG00000006735	poecilia_formosa
ENSPMEP00000027985	ENSPMEG00000012769	poecilia_mexicana
ENSPREP00000029019	ENSPREG00000019634	poecilia_reticulata
ENSXCOP00000012736	ENSXCOG00000009603	xiphophorus_couchianus
ENSXMAP00000038224	ENSXMAG00000009774	xiphophorus_maculatus
ENSFHEP00000014928	ENSFHEG00000016507	fundulus_heteroclitus
ENSKMAP00000011673	ENSKMAG00000008730	kryptolebias_marmoratus
ENSNBRP00000030651	ENSNBRG00000023280	neolamprologus_brichardi
ENSPNYP00000004282	ENSPNYG00000003141	pundamilia_nyererei
ENSMZEP00005029321	ENSMZEG00005021867	maylandia_zebra
ENSHBUP00000016500	ENSHBUG00000018437	haplochromis_burtoni
ENSOABP00000010730	ENSOABG00000005618	oreochromis_aureus
ENSONIP00000017779	ENSONIG00000014141	oreochromis_niloticus
ENSACIP00000028544	ENSACIG00000022019	amphilophus_citrinellus
ENSLCAP00010027362	ENSLCAG00010012748	lates_calcarifer
ENSENLP00000022942	ENSENLG00000009975	echeneis_naucrates
ENSSDUP00000020202	ENSSDUG00000014557	seriola_dumerili
ENSSLDP00000006097	ENSSLDG00000004662	seriola_lalandi_dorsalis
ENSMALP00000031779	ENSMALG00000021923	monopterus_albus
ENSMAMP00000000933	ENSMAMG00000000600	mastacembelus_armatus
ENSATEP00000015848	ENSATEG00000010898	anabas_testudineus
ENSBSLP00000001042	ENSBSLG00000000721	betta_splendens
ENSGACP00000004028	ENSGACG00000003066	gasterosteus_aculeatus
ENSCSEP00000023479	ENSCSEG00000014959	cynoglossus_semilaevis
ENSSORP00005019730	ENSSORG00005009144	sphaeramia_orbicularis
ENSPMGP00000029543	ENSPMGG00000023773	periophthalmus_magnuspinnatus
ENSNMLP00000018675	ENSNMLG00000012286	neogobius_melanostomus
ENSELUP00000014392	ENSELUG00000000532	esox_lucius
ENSOTSP00005003759	ENSOTSG00005002133	oncorhynchus_tshawytscha
ENSSSAP00000050735	ENSSSAG00000050652	salmo_salar
ENSOKIP00005052017	ENSOKIG00005021987	oncorhynchus_kisutch
ENSSTUP00000029861	ENSSTUG00000012900	salmo_trutta
ENSHHUP00000032748	ENSHHUG00000020718	hucho_hucho
ENSOMYP00000023522	ENSOMYG00000011130	oncorhynchus_mykiss
ENSOKIP00005017480	ENSOKIG00005007728	oncorhynchus_kisutch
ENSOTSP00005024729	ENSOTSG00005011660	oncorhynchus_tshawytscha
ENSSSAP00000075621	ENSSSAG00000065213	salmo_salar
ENSSTUP00000097928	ENSSTUG00000043943	salmo_trutta
ENSHHUP00000007239	ENSHHUG00000004381	hucho_hucho
ENSDCDP00000037323	ENSDCDG00000025035	denticeps_clupeoides
ENSCHAP00000035307	ENSCHAG00000016175	clupea_harengus
ENSIPUP00000014272	ENSIPUG00000009753	ictalurus_punctatus
ENSEEEP00000028873	ENSEEEG00000013838	electrophorus_electricus
ENSPNAP00000018954	ENSPNAG00000025453	pygocentrus_nattereri
ENSAMXP00005030088	ENSAMXG00005014768	astyanax_mexicanus_pachon
ENSAMXP00000014764	ENSAMXG00000014301	astyanax_mexicanus
ENSDARP00000002466	ENSDARG00000019371	danio_rerio
ENSCCRP00000083283	ENSCCRG00000045302	cyprinus_carpio
ENSCCRP00010008755	ENSCCRG00010003721	cyprinus_carpio_germanmirror
ENSCCRP00015065117	ENSCCRG00015026577	cyprinus_carpio_huanghe
ENSCCRP00020103095	ENSCCRG00020047158	cyprinus_carpio_hebaored
ENSCARP00000026474	ENSCARG00000011773	carassius_auratus
ENSCARP00000035424	ENSCARG00000015256	carassius_auratus
ENSSANP00000102729	ENSSANG00000050375	sinocyclocheilus_anshuiensis
ENSSRHP00000030845	ENSSRHG00000015947	sinocyclocheilus_rhinocerous
ENSSGRP00000046688	ENSSGRG00000024840	sinocyclocheilus_grahami
ENSCCRP00020030558	ENSCCRG00020013464	cyprinus_carpio_hebaored
ENSCCRP00010094992	ENSCCRG00010040970	cyprinus_carpio_germanmirror
ENSCCRP00000052541	ENSCCRG00000027874	cyprinus_carpio
