ENSEBUP00000002924	ENSEBUG00000002120	eptatretus_burgeri
ENSAZOP00000020658	ENSAZOG00000013383	anas_zonorhyncha
ENSPSTP00000024470	ENSPSTG00000018056	pavo_cristatus
ENSCMIP00000042682	ENSCMIG00000017330	callorhinchus_milii
ENSLLTP00000010208	ENSLLTG00000007817	laticauda_laticaudata
ENSCPRP00005006471	ENSCPRG00005004622	crocodylus_porosus
ENSCCEP00000020962	ENSCCEG00000019016	cyanistes_caeruleus
ENSPMJP00000023180	ENSPMJG00000017141	parus_major
ENSZLMP00000007171	ENSZLMG00000005060	zosterops_lateralis_melanops
ENSCRFP00000002674	ENSCRFG00000002196	stachyris_ruficeps
ENSFALP00000007004	ENSFALG00000006700	ficedula_albicollis
ENSCUSP00005013311	ENSCUSG00005008360	catharus_ustulatus
ENSCPVP00000004608	ENSCPVG00000003405	camarhynchus_parvulus
ENSGFOP00000021405	ENSGFOG00000014205	geospiza_fortis
ENSZALP00000014961	ENSZALG00000012346	zonotrichia_albicollis
ENSJHYP00000021574	ENSJHYG00000016329	junco_hyemalis
ENSSCAP00000003674	ENSSCAG00000003040	serinus_canaria
ENSEGOP00005015920	ENSEGOG00005012879	erythrura_gouldiae
ENSLSDP00000006894	ENSLSDG00000005200	lonchura_striata_domestica
ENSTGUP00000007981	ENSTGUG00000007665	taeniopygia_guttata
ENSMCSP00000014227	ENSMCSG00000009979	malurus_cyaneus_samueli
ENSCMUP00000011037	ENSCMUG00000007022	corvus_moneduloides
ENSAPLP00000020731	ENSAPLG00000009611	anas_platyrhynchos_platyrhynchos
ENSAPLP00020008187	ENSAPLG00020006033	anas_platyrhynchos
ENSAZOP00000018319	ENSAZOG00000011906	anas_zonorhyncha
ENSCMMP00000000456	ENSCMMG00000000333	cairina_moschata_domestica
ENSACDP00005010321	ENSACDG00005007531	anser_cygnoides
ENSABRP00000023121	ENSABRG00000019513	anser_brachyrhynchus
ENSPCLP00000009887	ENSPCLG00000008145	phasianus_colchicus
ENSCPIP00010013244	ENSCPIG00010010450	chrysolophus_pictus
ENSPSTP00000014719	ENSPSTG00000010434	pavo_cristatus
ENSMGAP00000004448	ENSMGAG00000004608	meleagris_gallopavo
ENSCJPP00005006156	ENSCJPG00005005771	coturnix_japonica
ENSGALP00000008426	ENSGALG00000005256	gallus_gallus
ENSNMEP00000015990	ENSNMEG00000014205	numida_meleagris
ENSSCUP00000016497	ENSSCUG00000012153	struthio_camelus_australis
ENSAOWP00000025980	ENSAOWG00000017532	apteryx_owenii
ENSARWP00000008239	ENSARWG00000005770	apteryx_rowi
ENSAHAP00000013640	ENSAHAG00000009793	apteryx_haastii
ENSDNVP00000002009	ENSDNVG00000001454	dromaius_novaehollandiae
ENSLCOP00000016493	ENSLCOG00000011749	lepidothrix_coronata
ENSMVIP00005013536	ENSMVIG00005009799	manacus_vitellinus
ENSMUNP00000018678	ENSMUNG00000014280	melopsittacus_undulatus
ENSACOP00000007825	ENSACOG00000005460	amazona_collaria
ENSACOP00000006219	ENSACOG00000004347	amazona_collaria
ENSSHBP00005018971	ENSSHBG00005016310	strigops_habroptila
ENSFTIP00000007313	ENSFTIG00000004989	falco_tinnunculus
ENSBOBP00000023556	ENSBOBG00000014096	bubo_bubo
ENSSOCP00000009874	ENSSOCG00000007294	strix_occidentalis_caurina
ENSOSUP00000022268	ENSOSUG00000015340	otus_sunia
ENSACUP00000000402	ENSACUG00000000312	athene_cunicularia
ENSCPGP00000009526	ENSCPGG00000006789	calidris_pygmaea
ENSCPUP00000020813	ENSCPUG00000014238	calidris_pugnax
ENSANIP00000016457	ENSANIG00000011188	accipiter_nisus
ENSACCP00020007619	ENSACCG00020005170	aquila_chrysaetos_chrysaetos
ENSBJAP00000008657	ENSBJAG00000005977	buteo_japonicus
ENSNPEP00000017122	ENSNPEG00000012750	nothoprocta_perdicaria
ENSCABP00000008394	ENSCABG00000006336	chelonoidis_abingdonii
ENSGEVP00005025038	ENSGEVG00005017645	gopherus_evgoodei
ENSGAGP00000028851	ENSGAGG00000020906	gopherus_agassizii
ENSTMTP00000019966	ENSTMTG00000014666	terrapene_carolina_triunguis
ENSCPBP00000027300	ENSCPBG00000019328	chrysemys_picta_bellii
ENSCSRP00000023416	ENSCSRG00000017470	chelydra_serpentina
ENSPSIP00000005339	ENSPSIG00000004922	pelodiscus_sinensis
ENSPCEP00000005125	ENSPCEG00000004164	pelusios_castaneus
ENSSPUP00000000410	ENSSPUG00000000354	sphenodon_punctatus
ENSPVIP00000012442	ENSPVIG00000009699	pogona_vitticeps
ENSACAP00000005184	ENSACAG00000005061	anolis_carolinensis
ENSVKKP00000016506	ENSVKKG00000011277	varanus_komodoensis
ENSNSUP00000019450	ENSNSUG00000014222	notechis_scutatus
ENSPTXP00000004331	ENSPTXG00000001699	pseudonaja_textilis
ENSNNAP00000023359	ENSNNAG00000015388	naja_naja
ENSSMRP00000002530	ENSSMRG00000002197	salvator_merianae
ENSPMRP00000025292	ENSPMRG00000016372	podarcis_muralis
ENSANIP00000010827	ENSANIG00000007326	accipiter_nisus
ENSSHAP00000020967	ENSSHAG00000017781	sarcophilus_harrisii
ENSPCIP00000018168	ENSPCIG00000013885	phascolarctos_cinereus
ENSVURP00010020779	ENSVURG00010015888	vombatus_ursinus
ENSMEUP00000013055	ENSMEUG00000014303	notamacropus_eugenii
ENSMODP00000026482	ENSMODG00000021189	monodelphis_domestica
ENSLLTP00000015563	ENSLLTG00000011918	laticauda_laticaudata
ENSDNOP00000013349	ENSDNOG00000017225	dasypus_novemcinctus
