ENSCMIP00000003390	ENSCMIG00000002011	callorhinchus_milii
ENSELUP00000066729	ENSELUG00000008935	esox_lucius
ENSOMYP00000059209	ENSOMYG00000027332	oncorhynchus_mykiss
ENSOKIP00005049426	ENSOKIG00005020768	oncorhynchus_kisutch
ENSSSAP00000018873	ENSSSAG00000009062	salmo_salar
ENSHHUP00000071560	ENSHHUG00000041757	hucho_hucho
ENSSSAP00000090421	ENSSSAG00000070851	salmo_salar
ENSSTUP00000005044	ENSSTUG00000002499	salmo_trutta
ENSOTSP00005036850	ENSOTSG00005017398	oncorhynchus_tshawytscha
ENSOKIP00005030069	ENSOKIG00005012941	oncorhynchus_kisutch
ENSHHUP00000038773	ENSHHUG00000024135	hucho_hucho
ENSHHUP00000038778	ENSHHUG00000024174	hucho_hucho
ENSGMOP00000016063	ENSGMOG00000014962	gadus_morhua
ENSKMAP00000012342	ENSKMAG00000009230	kryptolebias_marmoratus
ENSACIP00000013682	ENSACIG00000010621	amphilophus_citrinellus
ENSNBRP00000014262	ENSNBRG00000011006	neolamprologus_brichardi
ENSHBUP00000031485	ENSHBUG00000017248	haplochromis_burtoni
ENSPNYP00000030616	ENSPNYG00000023072	pundamilia_nyererei
ENSACLP00000037939	ENSACLG00000025650	astatotilapia_calliptera
ENSMZEP00005012074	ENSMZEG00005009060	maylandia_zebra
ENSOABP00000053768	ENSOABG00000023742	oreochromis_aureus
ENSONIP00000070280	ENSONIG00000019537	oreochromis_niloticus
ENSSFAP00005031659	ENSSFAG00005016038	salarias_fasciatus
ENSSPAP00000027967	ENSSPAG00000021064	stegastes_partitus
ENSAPOP00000007329	ENSAPOG00000009330	acanthochromis_polyacanthus
ENSAOCP00000015599	ENSAOCG00000020418	amphiprion_ocellaris
ENSAPEP00000000944	ENSAPEG00000000606	amphiprion_percula
ENSPRNP00000046410	ENSPRNG00000022380	parambassis_ranga
ENSSDUP00000025494	ENSSDUG00000018479	seriola_dumerili
ENSSLDP00000019921	ENSSLDG00000015536	seriola_lalandi_dorsalis
ENSLCAP00010047577	ENSLCAG00010021979	lates_calcarifer
ENSSORP00005052102	ENSSORG00005023504	sphaeramia_orbicularis
ENSCGOP00000011086	ENSCGOG00000005515	cottoperca_gobio
ENSCLMP00005019972	ENSCLMG00005009995	cyclopterus_lumpus
ENSSLUP00000026556	ENSSLUG00000012084	sander_lucioperca
ENSMMOP00000006086	ENSMMOG00000004774	mola_mola
ENSATEP00000015475	ENSATEG00000010693	anabas_testudineus
ENSLBEP00000027106	ENSLBEG00000020594	labrus_bergylta
ENSLCRP00005064361	ENSLCRG00005023555	larimichthys_crocea
ENSSAUP00010054405	ENSSAUG00010022421	sparus_aurata
ENSTRUP00000057849	ENSTRUG00000010044	takifugu_rubripes
ENSTNIP00000011762	ENSTNIG00000008909	tetraodon_nigroviridis
ENSGACP00000016962	ENSGACG00000012839	gasterosteus_aculeatus
ENSBSLP00000050940	ENSBSLG00000024187	betta_splendens
ENSMALP00000000590	ENSMALG00000000487	monopterus_albus
ENSCSEP00000025597	ENSCSEG00000016345	cynoglossus_semilaevis
ENSSMAP00000019911	ENSSMAG00000012210	scophthalmus_maximus
ENSMAMP00000020877	ENSMAMG00000014018	mastacembelus_armatus
ENSENLP00000027862	ENSENLG00000012460	echeneis_naucrates
ENSOMEP00000008828	ENSOMEG00000010054	oryzias_melastigma
ENSOJAP00000038137	ENSOJAG00000018780	oryzias_javanicus
ENSORLP00015004306	ENSORLG00015005146	oryzias_latipes_hsok
ENSORLP00000037007	ENSORLG00000022549	oryzias_latipes
ENSOSIP00000050681	ENSOSIG00000023596	oryzias_sinensis
ENSFHEP00000019798	ENSFHEG00000021838	fundulus_heteroclitus
ENSCVAP00000019275	ENSCVAG00000022781	cyprinodon_variegatus
ENSXCOP00000017571	ENSXCOG00000013250	xiphophorus_couchianus
ENSXMAP00000009165	ENSXMAG00000009140	xiphophorus_maculatus
ENSGAFP00000028931	ENSGAFG00000019528	gambusia_affinis
ENSPLAP00000011515	ENSPLAG00000014687	poecilia_latipinna
ENSPMEP00000016664	ENSPMEG00000019556	poecilia_mexicana
ENSPFOP00000011737	ENSPFOG00000011525	poecilia_formosa
ENSPREP00000007305	ENSPREG00000005011	poecilia_reticulata
ENSHCOP00000008773	ENSHCOG00000011135	hippocampus_comes
ENSGWIP00000035597	ENSGWIG00000018386	gouania_willdenowi
ENSPMGP00000029919	ENSPMGG00000024069	periophthalmus_magnuspinnatus
ENSMMDP00005036220	ENSMMDG00005016977	myripristis_murdjan
ENSDARP00000124055	ENSDARG00000095833	danio_rerio
ENSCCRP00000080496	ENSCCRG00000043683	cyprinus_carpio
ENSCCRP00015079140	ENSCCRG00015032036	cyprinus_carpio_huanghe
ENSCCRP00010059153	ENSCCRG00010025066	cyprinus_carpio_germanmirror
ENSCCRP00020011899	ENSCCRG00020005962	cyprinus_carpio_hebaored
ENSSRHP00000040603	ENSSRHG00000020658	sinocyclocheilus_rhinocerous
ENSSGRP00000019701	ENSSGRG00000011933	sinocyclocheilus_grahami
ENSSANP00000093913	ENSSANG00000046283	sinocyclocheilus_anshuiensis
ENSCARP00000084113	ENSCARG00000040403	carassius_auratus
ENSCCRP00015016362	ENSCCRG00015007232	cyprinus_carpio_huanghe
ENSCCRP00020099114	ENSCCRG00020045553	cyprinus_carpio_hebaored
ENSCCRP00010050355	ENSCCRG00010021364	cyprinus_carpio_germanmirror
ENSCCRP00000080455	ENSCCRG00000043656	cyprinus_carpio
ENSSGRP00000052998	ENSSGRG00000028002	sinocyclocheilus_grahami
ENSSANP00000054321	ENSSANG00000027133	sinocyclocheilus_anshuiensis
ENSSRHP00000081242	ENSSRHG00000040260	sinocyclocheilus_rhinocerous
ENSCARP00000080890	ENSCARG00000038673	carassius_auratus
ENSIPUP00000015756	ENSIPUG00000010609	ictalurus_punctatus
ENSPNAP00000004986	ENSPNAG00000011336	pygocentrus_nattereri
ENSAMXP00005045926	ENSAMXG00005021138	astyanax_mexicanus_pachon
ENSAMXP00000014079	ENSAMXG00000013686	astyanax_mexicanus
ENSEEEP00000010450	ENSEEEG00000005281	electrophorus_electricus
ENSDCDP00000000259	ENSDCDG00000000142	denticeps_clupeoides
ENSCHAP00000041540	ENSCHAG00000019414	clupea_harengus
ENSPKIP00000006757	ENSPKIG00000022905	paramormyrops_kingsleyae
ENSSFOP00015010763	ENSSFOG00015005123	scleropages_formosus
ENSLOCP00000020764	ENSLOCG00000016799	lepisosteus_oculatus
ENSECRP00000001352	ENSECRG00000000922	erpetoichthys_calabaricus
ENSETEP00000006271	ENSETEG00000007715	echinops_telfairi
ENSPCAP00000008135	ENSPCAG00000008629	procavia_capensis
ENSLAFP00000012237	ENSLAFG00000014602	loxodonta_africana
ENSTSYP00000008993	ENSTSYG00000009783	carlito_syrichta
ENSCHOP00000011425	ENSCHOG00000012882	choloepus_hoffmanni
ENSDNOP00000005830	ENSDNOG00000007522	dasypus_novemcinctus
ENSRFEP00010012007	ENSRFEG00010007866	rhinolophus_ferrumequinum
ENSPVAP00000011290	ENSPVAG00000011977	pteropus_vampyrus
ENSEASP00005012905	ENSEASG00005008755	equus_asinus_asinus
ENSECAP00000005467	ENSECAG00000007080	equus_caballus
ENSCAFP00020030779	ENSCAFG00020023746	canis_lupus_dingo
ENSCAFP00000007913	ENSCAFG00000005297	canis_lupus_familiaris
ENSCAFP00040017188	ENSCAFG00040010530	canis_lupus_familiarisgreatdane
ENSCAFP00030024296	ENSCAFG00030014685	canis_lupus_familiarisbasenji
ENSVVUP00000009784	ENSVVUG00000003241	vulpes_vulpes
ENSZCAP00015017498	ENSZCAG00015011009	zalophus_californianus
ENSUTTP00000019556	ENSUTTG00000012288	ursus_thibetanus_thibetanus
ENSUAMP00000019646	ENSUAMG00000015537	ursus_americanus
ENSAMEP00000005610	ENSAMEG00000005234	ailuropoda_melanoleuca
ENSNVIP00000019388	ENSNVIG00000015109	neovison_vison
ENSMPUP00000017870	ENSMPUG00000017981	mustela_putorius_furo
ENSPTIP00000020276	ENSPTIG00000017777	panthera_tigris_altaica
ENSPLOP00000006324	ENSPLOG00000004597	panthera_leo
ENSPPRP00000006626	ENSPPRG00000002066	panthera_pardus
ENSLCNP00005007548	ENSLCNG00005004944	lynx_canadensis
ENSFCAP00000043838	ENSFCAG00000042185	felis_catus
ENSSSUP00005006980	ENSSSUG00005004439	suricata_suricatta
ENSEEUP00000004823	ENSEEUG00000005230	erinaceus_europaeus
ENSSSCP00000030260	ENSSSCG00000008533	sus_scrofa
ENSCDRP00005019088	ENSCDRG00005013130	camelus_dromedarius
ENSVPAP00000003750	ENSVPAG00000004035	vicugna_pacos
ENSSSCP00000067983	ENSSSCG00000044640	sus_scrofa
ENSCWAP00000023101	ENSCWAG00000017269	catagonus_wagneri
ENSBMSP00010012601	ENSBMSG00010009231	balaenoptera_musculus
ENSMMNP00015023914	ENSMMNG00015017398	monodon_monoceros
ENSDLEP00000028690	ENSDLEG00000020332	delphinapterus_leucas
ENSPSNP00000011120	ENSPSNG00000008011	phocoena_sinus
ENSTTRP00000007868	ENSTTRG00000008307	tursiops_truncatus
ENSCHYP00000021908	ENSCHYG00000014459	cervus_hanglu_yarkandensis
ENSMMSP00000012549	ENSMMSG00000009414	moschus_moschiferus
ENSBIXP00005028052	ENSBIXG00005029592	bos_indicus_hybrid
ENSBGRP00000010043	ENSBGRG00000006260	bos_grunniens
ENSBMUP00000016475	ENSBMUG00000012512	bos_mutus
ENSBIXP00000038394	ENSBIXG00000022209	bos_taurus_hybrid
ENSBTAP00000071584	ENSBTAG00000007379	bos_taurus
ENSBBBP00000006426	ENSBBBG00000001065	bison_bison_bison
ENSOARP00000021070	ENSOARG00000019617	ovis_aries
ENSOARP00020006737	ENSOARG00020005205	ovis_aries_rambouillet
ENSCHIP00000004260	ENSCHIG00000008213	capra_hircus
ENSCHIP00010013304	ENSCHIG00010009285	capra_hircus_blackbengal
ENSMLUP00000009886	ENSMLUG00000010803	myotis_lucifugus
ENSRBIP00000024083	ENSRBIG00000035945	rhinopithecus_bieti
ENSRROP00000006662	ENSRROG00000026006	rhinopithecus_roxellana
ENSPTEP00000007866	ENSPTEG00000008915	piliocolobus_tephrosceles
ENSCANP00000006696	ENSCANG00000022257	colobus_angolensis_palliatus
ENSCSAP00000007009	ENSCSAG00000011035	chlorocebus_sabaeus
ENSCATP00000036413	ENSCATG00000041002	cercocebus_atys
ENSMLEP00000036999	ENSMLEG00000042589	mandrillus_leucophaeus
ENSPANP00000023561	ENSPANG00000015024	papio_anubis
ENSMFAP00000019721	ENSMFAG00000032798	macaca_fascicularis
ENSMMUP00000013440	ENSMMUG00000010265	macaca_mulatta
ENSMNEP00000037805	ENSMNEG00000041926	macaca_nemestrina
ENSPPYP00000013987	ENSPPYG00000012522	pongo_abelii
ENSP00000373700	ENSG00000171094	homo_sapiens
ENSPPAP00000042138	ENSPPAG00000043650	pan_paniscus
ENSPTRP00000020259	ENSPTRG00000011796	pan_troglodytes
ENSGGOP00000004300	ENSGGOG00000004378	gorilla_gorilla
ENSNLEP00000018753	ENSNLEG00000015414	nomascus_leucogenys
ENSANAP00000035140	ENSANAG00000035118	aotus_nancymaae
ENSCJAP00000016156	ENSCJAG00000008763	callithrix_jacchus
ENSSBOP00000007680	ENSSBOG00000020720	saimiri_boliviensis_boliviensis
ENSCCAP00000031150	ENSCCAG00000033592	cebus_capucinus
ENSOGAP00000012861	ENSOGAG00000014350	otolemur_garnettii
ENSPSMP00000005579	ENSPSMG00000003531	prolemur_simus
ENSPCOP00000005853	ENSPCOG00000013944	propithecus_coquereli
ENSMICP00000000574	ENSMICG00000000637	microcebus_murinus
ENSTBEP00000014257	ENSTBEG00000016366	tupaia_belangeri
ENSMOCP00000006436	ENSMOCG00000006040	microtus_ochrogaster
ENSPEMP00000025518	ENSPEMG00000021911	peromyscus_maniculatus_bairdii
ENSMAUP00000008299	ENSMAUG00000009727	mesocricetus_auratus
ENSCGRP00000002562	ENSCGRG00000001880	cricetulus_griseus_crigri
ENSCGRP00001000711	ENSCGRG00001000547	cricetulus_griseus_chok1gshd
ENSCGRP00015032619	ENSCGRG00015024600	cricetulus_griseus_picr
ENSMUGP00000020878	ENSMUGG00000017349	meriones_unguiculatus
MGP_CAROLIEiJ_P0045607	MGP_CAROLIEiJ_G0021865	mus_caroli
MGP_SPRETEiJ_P0047507	MGP_SPRETEiJ_G0022776	mus_spretus
ENSMUSP00000083840	ENSMUSG00000055471	mus_musculus
ENSMSIP00000034802	ENSMSIG00000027978	mus_spicilegus
MGP_PahariEiJ_P0045113	MGP_PahariEiJ_G0020852	mus_pahari
ENSRNOP00000011630	ENSRNOG00000008683	rattus_norvegicus
ENSNGAP00000003903	ENSNGAG00000004733	nannospalax_galili
ENSJJAP00000012430	ENSJJAG00000015463	jaculus_jaculus
ENSDORP00000012877	ENSDORG00000013694	dipodomys_ordii
ENSCCNP00000002014	ENSCCNG00000002022	castor_canadensis
ENSHGLP00000013340	ENSHGLG00000009536	heterocephalus_glaber_female
ENSHGLP00100013271	ENSHGLG00100009823	heterocephalus_glaber_male
ENSFDAP00000015847	ENSFDAG00000004013	fukomys_damarensis
ENSODEP00000008160	ENSODEG00000006085	octodon_degus
ENSCLAP00000011324	ENSCLAG00000007813	chinchilla_lanigera
ENSCPOP00000007403	ENSCPOG00000008234	cavia_porcellus
ENSCAPP00000017815	ENSCAPG00000017370	cavia_aperea
ENSSVLP00005032141	ENSSVLG00005025217	sciurus_vulgaris
ENSSDAP00000006426	ENSSDAG00000005926	spermophilus_dauricus
ENSSTOP00000002519	ENSSTOG00000002811	ictidomys_tridecemlineatus
ENSUPAP00010006553	ENSUPAG00010002138	urocitellus_parryii
ENSMMMP00000022621	ENSMMMG00000019224	marmota_marmota_marmota
ENSOCUP00000045410	ENSOCUG00000001085	oryctolagus_cuniculus
ENSOPRP00000006699	ENSOPRG00000007284	ochotona_princeps
ENSMODP00000019385	ENSMODG00000015531	monodelphis_domestica
ENSPCIP00000034645	ENSPCIG00000023070	phascolarctos_cinereus
ENSVURP00010026526	ENSVURG00010020294	vombatus_ursinus
ENSMEUP00000000826	ENSMEUG00000000874	notamacropus_eugenii
ENSSHAP00000013737	ENSSHAG00000011747	sarcophilus_harrisii
ENSOANP00000022813	ENSOANG00000014473	ornithorhynchus_anatinus
ENSNMEP00000003768	ENSNMEG00000003286	numida_meleagris
ENSMGAP00000005260	ENSMGAG00000005339	meleagris_gallopavo
ENSCPIP00010017857	ENSCPIG00010014262	chrysolophus_pictus
ENSPCLP00000004078	ENSPCLG00000003473	phasianus_colchicus
ENSPSTP00000017960	ENSPSTG00000012790	pavo_cristatus
ENSPSTP00000019081	ENSPSTG00000013348	pavo_cristatus
ENSGALP00000070314	ENSGALG00000009034	gallus_gallus
ENSPSTP00000005497	ENSPSTG00000003881	pavo_cristatus
ENSCJPP00005001316	ENSCJPG00005001356	coturnix_japonica
ENSABRP00000021335	ENSABRG00000017095	anser_brachyrhynchus
ENSACDP00005019537	ENSACDG00005013521	anser_cygnoides
ENSCMMP00000018033	ENSCMMG00000010960	cairina_moschata_domestica
ENSAPLP00000012833	ENSAPLG00000013002	anas_platyrhynchos_platyrhynchos
ENSAPLP00020026370	ENSAPLG00020017961	anas_platyrhynchos
ENSAZOP00000004625	ENSAZOG00000002960	anas_zonorhyncha
ENSFTIP00000024343	ENSFTIG00000015556	falco_tinnunculus
ENSMVIP00005028097	ENSMVIG00005019559	manacus_vitellinus
ENSLCOP00000008891	ENSLCOG00000006504	lepidothrix_coronata
ENSCUSP00005009604	ENSCUSG00005005835	catharus_ustulatus
ENSFALP00000011804	ENSFALG00000011275	ficedula_albicollis
ENSLSDP00000023020	ENSLSDG00000016181	lonchura_striata_domestica
ENSEGOP00005003725	ENSEGOG00005002933	erythrura_gouldiae
ENSSCAP00000021332	ENSSCAG00000015259	serinus_canaria
ENSZALP00000009604	ENSZALG00000006354	zonotrichia_albicollis
ENSJHYP00000020536	ENSJHYG00000014899	junco_hyemalis
ENSCPVP00000009782	ENSCPVG00000006495	camarhynchus_parvulus
ENSGFOP00000020999	ENSGFOG00000013864	geospiza_fortis
ENSCRFP00000013919	ENSCRFG00000010774	stachyris_ruficeps
ENSZLMP00000019108	ENSZLMG00000013202	zosterops_lateralis_melanops
ENSCCEP00000020861	ENSCCEG00000018928	cyanistes_caeruleus
ENSPMJP00000011138	ENSPMJG00000004415	parus_major
ENSCMUP00000027927	ENSCMUG00000016779	corvus_moneduloides
ENSMCSP00000019639	ENSMCSG00000013765	malurus_cyaneus_samueli
ENSCPUP00000023086	ENSCPUG00000015607	calidris_pugnax
ENSCPGP00000026145	ENSCPGG00000017578	calidris_pygmaea
ENSACCP00020017212	ENSACCG00020011800	aquila_chrysaetos_chrysaetos
ENSANIP00000015988	ENSANIG00000009982	accipiter_nisus
ENSBJAP00000024889	ENSBJAG00000015896	buteo_japonicus
ENSSOCP00000022112	ENSSOCG00000016464	strix_occidentalis_caurina
ENSOSUP00000011062	ENSOSUG00000007475	otus_sunia
ENSBOBP00000021709	ENSBOBG00000013141	bubo_bubo
ENSMUNP00000003625	ENSMUNG00000001045	melopsittacus_undulatus
ENSSHBP00005013927	ENSSHBG00005010993	strigops_habroptila
ENSACOP00000005287	ENSACOG00000003748	amazona_collaria
ENSNPEP00000003929	ENSNPEG00000003008	nothoprocta_perdicaria
ENSDNVP00000023586	ENSDNVG00000016019	dromaius_novaehollandiae
ENSAHAP00000002083	ENSAHAG00000001728	apteryx_haastii
ENSAHAP00000002052	ENSAHAG00000001699	apteryx_haastii
ENSAOWP00000015853	ENSAOWG00000010793	apteryx_owenii
ENSAOWP00000015845	ENSAOWG00000010788	apteryx_owenii
ENSARWP00000000079	ENSARWG00000000084	apteryx_rowi
ENSSCUP00000005580	ENSSCUG00000004112	struthio_camelus_australis
ENSCPRP00005013467	ENSCPRG00005008660	crocodylus_porosus
ENSPCEP00000007301	ENSPCEG00000005848	pelusios_castaneus
ENSPSIP00000011724	ENSPSIG00000010494	pelodiscus_sinensis
ENSCPBP00000015211	ENSCPBG00000001001	chrysemys_picta_bellii
ENSCSRP00000010781	ENSCSRG00000007970	chelydra_serpentina
ENSGAGP00000031575	ENSGAGG00000022674	gopherus_agassizii
ENSGEVP00005018875	ENSGEVG00005013313	gopherus_evgoodei
ENSCABP00000023227	ENSCABG00000017103	chelonoidis_abingdonii
ENSTMTP00000009814	ENSTMTG00000006787	terrapene_carolina_triunguis
ENSSMRP00000005478	ENSSMRG00000001670	salvator_merianae
ENSPMRP00000002697	ENSPMRG00000001535	podarcis_muralis
ENSPVIP00000034992	ENSPVIG00000025559	pogona_vitticeps
ENSACAP00000008904	ENSACAG00000008958	anolis_carolinensis
ENSVKKP00000027691	ENSVKKG00000017984	varanus_komodoensis
ENSPTXP00000018495	ENSPTXG00000012753	pseudonaja_textilis
ENSNSUP00000012599	ENSNSUG00000009442	notechis_scutatus
ENSNNAP00000024119	ENSNNAG00000015850	naja_naja
ENSLLTP00000003137	ENSLLTG00000002372	laticauda_laticaudata
ENSSPUP00000008379	ENSSPUG00000006491	sphenodon_punctatus
ENSLLEP00000020919	ENSLLEG00000013067	leptobrachium_leishanense
ENSXETP00000094602	ENSXETG00000031142	xenopus_tropicalis
ENSLACP00000016684	ENSLACG00000014697	latimeria_chalumnae
