ENSCMIP00000002388	ENSCMIG00000001417	callorhinchus_milii
ENSEEEP00000042417	ENSEEEG00000020026	electrophorus_electricus
ENSDLAP00005005786	ENSDLAG00005002855	dicentrarchus_labrax
ENSACAP00000011408	ENSACAG00000011353	anolis_carolinensis
ENSPVIP00000013898	ENSPVIG00000010747	pogona_vitticeps
ENSLLTP00000013710	ENSLLTG00000010506	laticauda_laticaudata
ENSSMRP00000003382	ENSSMRG00000002836	salvator_merianae
ENSPMRP00000018501	ENSPMRG00000012153	podarcis_muralis
ENSVKKP00000020829	ENSVKKG00000013983	varanus_komodoensis
ENSNNAP00000016496	ENSNNAG00000011098	naja_naja
ENSPTXP00000017627	ENSPTXG00000012125	pseudonaja_textilis
ENSLLTP00000010546	ENSLLTG00000008067	laticauda_laticaudata
ENSPCEP00000006017	ENSPCEG00000004880	pelusios_castaneus
ENSCPBP00000006307	ENSCPBG00000005031	chrysemys_picta_bellii
ENSTMTP00000013950	ENSTMTG00000010084	terrapene_carolina_triunguis
ENSGEVP00005022680	ENSGEVG00005015938	gopherus_evgoodei
ENSGAGP00000011399	ENSGAGG00000008799	gopherus_agassizii
ENSXETP00000069501	ENSXETG00000038553	xenopus_tropicalis
ENSXETP00000024417	ENSXETG00000011170	xenopus_tropicalis
ENSLLEP00000004493	ENSLLEG00000002871	leptobrachium_leishanense
ENSLOCP00000016850	ENSLOCG00000013666	lepisosteus_oculatus
ENSXETP00000067572	ENSXETG00000036321	xenopus_tropicalis
ENSGMOP00000010166	ENSGMOG00000009497	gadus_morhua
ENSLCRP00005053095	ENSLCRG00005019756	larimichthys_crocea
ENSSLUP00000038692	ENSSLUG00000016628	sander_lucioperca
ENSSAUP00010006575	ENSSAUG00010003059	sparus_aurata
ENSTRUP00000083092	ENSTRUG00000028576	takifugu_rubripes
ENSMMOP00000014520	ENSMMOG00000011101	mola_mola
ENSBSLP00000004914	ENSBSLG00000002248	betta_splendens
ENSATEP00000026831	ENSATEG00000018549	anabas_testudineus
ENSATEP00000027058	ENSATEG00000018672	anabas_testudineus
ENSMAMP00000016369	ENSMAMG00000011060	mastacembelus_armatus
ENSMALP00000006656	ENSMALG00000004724	monopterus_albus
ENSSDUP00000019213	ENSSDUG00000013984	seriola_dumerili
ENSCSEP00000009124	ENSCSEG00000005849	cynoglossus_semilaevis
ENSLCAP00010044703	ENSLCAG00010020755	lates_calcarifer
ENSGACP00000001496	ENSGACG00000001154	gasterosteus_aculeatus
ENSCLMP00005038233	ENSCLMG00005017644	cyclopterus_lumpus
ENSPRNP00000049857	ENSPRNG00000023731	parambassis_ranga
ENSOABP00000019930	ENSOABG00000009631	oreochromis_aureus
ENSONIP00000034204	ENSONIG00000004584	oreochromis_niloticus
ENSNBRP00000030687	ENSNBRG00000023338	neolamprologus_brichardi
ENSNBRP00000030696	ENSNBRG00000023345	neolamprologus_brichardi
ENSACLP00000011869	ENSACLG00000008110	astatotilapia_calliptera
ENSACLP00000017250	ENSACLG00000011687	astatotilapia_calliptera
ENSMZEP00005037159	ENSMZEG00005027688	maylandia_zebra
ENSHBUP00000026238	ENSHBUG00000008776	haplochromis_burtoni
ENSPNYP00000020528	ENSPNYG00000015502	pundamilia_nyererei
ENSCVAP00000029398	ENSCVAG00000017144	cyprinodon_variegatus
ENSOMEP00000025791	ENSOMEG00000000170	oryzias_melastigma
