ENSCMIP00000007770	ENSCMIG00000004195	callorhinchus_milii
ENSEBUP00000008446	ENSEBUG00000005463	eptatretus_burgeri
ENSLACP00000007262	ENSLACG00000006441	latimeria_chalumnae
ENSXETP00000091273	ENSXETG00000009580	xenopus_tropicalis
ENSLLEP00000040418	ENSLLEG00000024464	leptobrachium_leishanense
ENSCPRP00005024926	ENSCPRG00005017293	crocodylus_porosus
ENSPCEP00000012329	ENSPCEG00000008124	pelusios_castaneus
ENSPSIP00000011600	ENSPSIG00000010431	pelodiscus_sinensis
ENSCSRP00000024855	ENSCSRG00000018299	chelydra_serpentina
ENSTMTP00000026447	ENSTMTG00000019017	terrapene_carolina_triunguis
ENSCPBP00000003299	ENSCPBG00000002668	chrysemys_picta_bellii
ENSCABP00000026311	ENSCABG00000019317	chelonoidis_abingdonii
ENSGAGP00000008994	ENSGAGG00000007104	gopherus_agassizii
ENSGEVP00005024115	ENSGEVG00005015621	gopherus_evgoodei
ENSNMEP00000025068	ENSNMEG00000021265	numida_meleagris
ENSCJPP00005010927	ENSCJPG00005009050	coturnix_japonica
ENSCPIP00010017859	ENSCPIG00010014263	chrysolophus_pictus
ENSMGAP00000010063	ENSMGAG00000009720	meleagris_gallopavo
ENSPSTP00000015050	ENSPSTG00000010675	pavo_cristatus
ENSGALP00000016165	ENSGALG00000009957	gallus_gallus
ENSAPLP00020002148	ENSAPLG00020000994	anas_platyrhynchos
ENSAZOP00000018742	ENSAZOG00000012198	anas_zonorhyncha
ENSACDP00005025652	ENSACDG00005018572	anser_cygnoides
ENSABRP00000021320	ENSABRG00000018130	anser_brachyrhynchus
ENSCPRP00005024923	ENSCPRG00005017290	crocodylus_porosus
ENSPCLP00000004367	ENSPCLG00000003795	phasianus_colchicus
ENSSOCP00000007803	ENSSOCG00000005959	strix_occidentalis_caurina
ENSCMMP00000000640	ENSCMMG00000000443	cairina_moschata_domestica
ENSAPLP00000009365	ENSAPLG00000009614	anas_platyrhynchos_platyrhynchos
ENSFTIP00000022782	ENSFTIG00000014668	falco_tinnunculus
ENSCPUP00000004169	ENSCPUG00000003112	calidris_pugnax
ENSCPGP00000015851	ENSCPGG00000011158	calidris_pygmaea
ENSACOP00000003111	ENSACOG00000002157	amazona_collaria
ENSSHBP00005017072	ENSSHBG00005014813	strigops_habroptila
ENSMUNP00000011512	ENSMUNG00000009063	melopsittacus_undulatus
ENSFALP00000005869	ENSFALG00000005633	ficedula_albicollis
ENSCCEP00000017438	ENSCCEG00000016133	cyanistes_caeruleus
ENSPMJP00000026701	ENSPMJG00000019485	parus_major
ENSCRFP00000015802	ENSCRFG00000012149	stachyris_ruficeps
ENSZLMP00000010885	ENSZLMG00000007584	zosterops_lateralis_melanops
ENSSCAP00000000038	ENSSCAG00000000036	serinus_canaria
ENSTGUP00000007349	ENSTGUG00000007100	taeniopygia_guttata
ENSEGOP00005021670	ENSEGOG00005017467	erythrura_gouldiae
ENSJHYP00000005574	ENSJHYG00000004427	junco_hyemalis
ENSZALP00000008716	ENSZALG00000007563	zonotrichia_albicollis
ENSGFOP00000010212	ENSGFOG00000007112	geospiza_fortis
ENSCPVP00000013417	ENSCPVG00000009824	camarhynchus_parvulus
ENSCMUP00000012826	ENSCMUG00000008060	corvus_moneduloides
ENSMCSP00000009000	ENSMCSG00000006159	malurus_cyaneus_samueli
ENSMVIP00005018487	ENSMVIG00005013106	manacus_vitellinus
ENSLCOP00000001304	ENSLCOG00000001070	lepidothrix_coronata
ENSBOBP00000009308	ENSBOBG00000005868	bubo_bubo
ENSACUP00000010112	ENSACUG00000006737	athene_cunicularia
ENSOSUP00000016141	ENSOSUG00000011534	otus_sunia
ENSBJAP00000023743	ENSBJAG00000015322	buteo_japonicus
ENSBJAP00000023745	ENSBJAG00000015323	buteo_japonicus
ENSANIP00000009998	ENSANIG00000006755	accipiter_nisus
ENSSOCP00000007726	ENSSOCG00000005929	strix_occidentalis_caurina
ENSLSDP00000016600	ENSLSDG00000011944	lonchura_striata_domestica
ENSCUSP00005002178	ENSCUSG00005001485	catharus_ustulatus
ENSACCP00020010545	ENSACCG00020007213	aquila_chrysaetos_chrysaetos
ENSNPEP00000018346	ENSNPEG00000013666	nothoprocta_perdicaria
ENSSCUP00000011441	ENSSCUG00000008305	struthio_camelus_australis
ENSDNVP00000002595	ENSDNVG00000001862	dromaius_novaehollandiae
ENSAOWP00000014974	ENSAOWG00000010156	apteryx_owenii
ENSARWP00000001704	ENSARWG00000001354	apteryx_rowi
ENSAHAP00000018598	ENSAHAG00000013169	apteryx_haastii
ENSPVIP00000030443	ENSPVIG00000022409	pogona_vitticeps
ENSACAP00000013085	ENSACAG00000013254	anolis_carolinensis
ENSVKKP00000005053	ENSVKKG00000003754	varanus_komodoensis
ENSNNAP00000006052	ENSNNAG00000004095	naja_naja
ENSNSUP00000020863	ENSNSUG00000015171	notechis_scutatus
ENSNSUP00000020862	ENSNSUG00000015170	notechis_scutatus
ENSNSUP00000021132	ENSNSUG00000015349	notechis_scutatus
ENSNSUP00000021131	ENSNSUG00000015348	notechis_scutatus
ENSPTXP00000001507	ENSPTXG00000001151	pseudonaja_textilis
ENSLLTP00000005556	ENSLLTG00000004065	laticauda_laticaudata
ENSSMRP00000023740	ENSSMRG00000018421	salvator_merianae
ENSPMRP00000017507	ENSPMRG00000011565	podarcis_muralis
ENSSPUP00000008887	ENSSPUG00000006901	sphenodon_punctatus
ENSSPUP00000008853	ENSSPUG00000006885	sphenodon_punctatus
ENSOANP00000037322	ENSOANG00000008211	ornithorhynchus_anatinus
ENSETEP00000013174	ENSETEG00000016249	echinops_telfairi
ENSLAFP00000016252	ENSLAFG00000021857	loxodonta_africana
ENSPCAP00000014922	ENSPCAG00000015886	procavia_capensis
ENSPVAP00000010801	ENSPVAG00000011456	pteropus_vampyrus
ENSRFEP00010009887	ENSRFEG00010006700	rhinolophus_ferrumequinum
ENSMLUP00000011457	ENSMLUG00000012578	myotis_lucifugus
ENSPTIP00000023342	ENSPTIG00000019808	panthera_tigris_altaica
ENSPPRP00000006574	ENSPPRG00000001962	panthera_pardus
ENSPLOP00000012969	ENSPLOG00000009453	panthera_leo
ENSFCAP00000014016	ENSFCAG00000015111	felis_catus
ENSLCNP00005009894	ENSLCNG00005006451	lynx_canadensis
ENSSSUP00005027920	ENSSSUG00005018044	suricata_suricatta
ENSCAFP00020022331	ENSCAFG00020017639	canis_lupus_dingo
ENSCAFP00030016705	ENSCAFG00030010257	canis_lupus_familiarisbasenji
ENSCAFP00000007922	ENSCAFG00000005288	canis_lupus_familiaris
ENSCAFP00040012985	ENSCAFG00040008029	canis_lupus_familiarisgreatdane
ENSVVUP00000011716	ENSVVUG00000008529	vulpes_vulpes
ENSNVIP00000021657	ENSNVIG00000016924	neovison_vison
ENSMPUP00000013660	ENSMPUG00000013763	mustela_putorius_furo
ENSUMAP00000033790	ENSUMAG00000024352	ursus_maritimus
ENSUAMP00000001293	ENSUAMG00000000981	ursus_americanus
ENSUTTP00000034833	ENSUTTG00000022305	ursus_thibetanus_thibetanus
ENSAMEP00000001831	ENSAMEG00000001699	ailuropoda_melanoleuca
ENSZCAP00015014776	ENSZCAG00015009333	zalophus_californianus
ENSCDRP00005010392	ENSCDRG00005007344	camelus_dromedarius
ENSTTRP00000007671	ENSTTRG00000008097	tursiops_truncatus
ENSPSNP00000003037	ENSPSNG00000002270	phocoena_sinus
ENSDLEP00000030459	ENSDLEG00000021678	delphinapterus_leucas
ENSMMNP00015009658	ENSMMNG00015007163	monodon_monoceros
ENSPCTP00005026300	ENSPCTG00005018633	physeter_catodon
ENSBMSP00010014680	ENSBMSG00010010706	balaenoptera_musculus
