ENSCMIP00000023582	ENSCMIG00000010455	callorhinchus_milii
ENSLACP00000015944	ENSLACG00000014040	latimeria_chalumnae
ENSSHAP00000009398	ENSSHAG00000008131	sarcophilus_harrisii
ENSMODP00000060252	ENSMODG00000002627	monodelphis_domestica
ENSMEUP00000010227	ENSMEUG00000011195	notamacropus_eugenii
ENSPCIP00000034690	ENSPCIG00000025660	phascolarctos_cinereus
ENSVURP00010000423	ENSVURG00010000379	vombatus_ursinus
ENSDNOP00000010644	ENSDNOG00000013729	dasypus_novemcinctus
ENSFDAP00000017899	ENSFDAG00000010248	fukomys_damarensis
ENSHGLP00100013206	ENSHGLG00100009781	heterocephalus_glaber_male
ENSHGLP00000015614	ENSHGLG00000011167	heterocephalus_glaber_female
ENSODEP00000018360	ENSODEG00000013528	octodon_degus
ENSCLAP00000018891	ENSCLAG00000012937	chinchilla_lanigera
ENSCPOP00000000876	ENSCPOG00000000977	cavia_porcellus
ENSCAPP00000004322	ENSCAPG00000006879	cavia_aperea
ENSSVLP00005015108	ENSSVLG00005012108	sciurus_vulgaris
ENSOCUP00000010881	ENSOCUG00000012637	oryctolagus_cuniculus
ENSPCOP00000018998	ENSPCOG00000021424	propithecus_coquereli
ENSMICP00000050695	ENSMICG00000049312	microcebus_murinus
ENSPSMP00000028147	ENSPSMG00000019601	prolemur_simus
ENSETEP00000005089	ENSETEG00000006271	echinops_telfairi
ENSPCAP00000007193	ENSPCAG00000007690	procavia_capensis
ENSCHYP00000009682	ENSCHYG00000006169	cervus_hanglu_yarkandensis
ENSMMSP00000014681	ENSMMSG00000011138	moschus_moschiferus
ENSCHIP00010018114	ENSCHIG00010013117	capra_hircus_blackbengal
ENSCHIP00000002409	ENSCHIG00000005276	capra_hircus
ENSOARP00020002756	ENSOARG00020002164	ovis_aries_rambouillet
ENSOARP00000022111	ENSOARG00000020575	ovis_aries
ENSBIXP00000039803	ENSBIXG00000023788	bos_taurus_hybrid
ENSBIXP00005040158	ENSBIXG00005022730	bos_indicus_hybrid
ENSBTAP00000006988	ENSBTAG00000005313	bos_taurus
ENSBMUP00000024796	ENSBMUG00000018620	bos_mutus
ENSBGRP00000005011	ENSBGRG00000003058	bos_grunniens
ENSBBBP00000025852	ENSBBBG00000021306	bison_bison_bison
ENSCWAP00000023053	ENSCWAG00000017525	catagonus_wagneri
ENSSSCP00000012556	ENSSSCG00000026516	sus_scrofa
ENSSSUP00005014648	ENSSSUG00005009388	suricata_suricatta
ENSFCAP00000008174	ENSFCAG00000008818	felis_catus
ENSLCNP00005019484	ENSLCNG00005012680	lynx_canadensis
ENSPLOP00000010778	ENSPLOG00000007869	panthera_leo
ENSPPRP00000001514	ENSPPRG00000024073	panthera_pardus
ENSPTIP00000023921	ENSPTIG00000020201	panthera_tigris_altaica
ENSNVIP00000017363	ENSNVIG00000013553	neovison_vison
ENSMPUP00000002839	ENSMPUG00000002868	mustela_putorius_furo
ENSCAFP00020003061	ENSCAFG00020002585	canis_lupus_dingo
ENSCAFP00030013938	ENSCAFG00030008669	canis_lupus_familiarisbasenji
ENSCAFP00040040774	ENSCAFG00040025059	canis_lupus_familiarisgreatdane
ENSCAFP00000019282	ENSCAFG00000013005	canis_lupus_familiaris
ENSVVUP00000016685	ENSVVUG00000012282	vulpes_vulpes
ENSZCAP00015005091	ENSZCAG00015003275	zalophus_californianus
ENSUAMP00000024603	ENSUAMG00000019196	ursus_americanus
ENSUMAP00000006660	ENSUMAG00000005220	ursus_maritimus
ENSUTTP00000023434	ENSUTTG00000014932	ursus_thibetanus_thibetanus
ENSAMEP00000017884	ENSAMEG00000016897	ailuropoda_melanoleuca
ENSDORP00000002896	ENSDORG00000003084	dipodomys_ordii
ENSSDAP00000018275	ENSSDAG00000016706	spermophilus_dauricus
ENSSTOP00000029962	ENSSTOG00000009427	ictidomys_tridecemlineatus
ENSUPAP00010003193	ENSUPAG00010002608	urocitellus_parryii
ENSMMMP00000008966	ENSMMMG00000007987	marmota_marmota_marmota
ENSTSYP00000017519	ENSTSYG00000033553	carlito_syrichta
ENSOGAP00000017746	ENSOGAG00000032936	otolemur_garnettii
ENSPTEP00000024959	ENSPTEG00000025340	piliocolobus_tephrosceles
ENSRROP00000004589	ENSRROG00000018942	rhinopithecus_roxellana
ENSRBIP00000010543	ENSRBIG00000029113	rhinopithecus_bieti
ENSCANP00000013788	ENSCANG00000030329	colobus_angolensis_palliatus
ENSCSAP00000010002	ENSCSAG00000013918	chlorocebus_sabaeus
ENSMNEP00000037783	ENSMNEG00000041937	macaca_nemestrina
ENSMFAP00000031973	ENSMFAG00000037014	macaca_fascicularis
ENSMMUP00000004406	ENSMMUG00000003304	macaca_mulatta
ENSPANP00000034894	ENSPANG00000020586	papio_anubis
ENSMLEP00000040531	ENSMLEG00000044283	mandrillus_leucophaeus
ENSCATP00000032432	ENSCATG00000039267	cercocebus_atys
ENSTGEP00000027493	ENSTGEG00000022194	theropithecus_gelada
ENSGGOP00000037377	ENSGGOG00000016281	gorilla_gorilla
ENSP00000332118	ENSG00000182580	homo_sapiens
ENSPPAP00000022266	ENSPPAG00000034296	pan_paniscus
ENSPTRP00000072944	ENSPTRG00000015696	pan_troglodytes
ENSNLEP00000007624	ENSNLEG00000006254	nomascus_leucogenys
ENSANAP00000000409	ENSANAG00000002566	aotus_nancymaae
ENSCCAP00000007544	ENSCCAG00000021502	cebus_capucinus
ENSCJAP00000071736	ENSCJAG00000014911	callithrix_jacchus
ENSSBOP00000035180	ENSSBOG00000033735	saimiri_boliviensis_boliviensis
ENSCCNP00000016831	ENSCCNG00000017089	castor_canadensis
ENSNGAP00000024891	ENSNGAG00000023003	nannospalax_galili
ENSMUGP00000002276	ENSMUGG00000002059	meriones_unguiculatus
ENSRNOP00000039489	ENSRNOG00000031801	rattus_norvegicus
MGP_SPRETEiJ_P0042869	MGP_SPRETEiJ_G0021489	mus_spretus
ENSMSIP00000002386	ENSMSIG00000002110	mus_spicilegus
ENSMUSP00000006112	ENSMUSG00000005958	mus_musculus
MGP_CAROLIEiJ_P0041011	MGP_CAROLIEiJ_G0020593	mus_caroli
MGP_PahariEiJ_P0028384	MGP_PahariEiJ_G0016297	mus_pahari
ENSCGRP00001012026	ENSCGRG00001013531	cricetulus_griseus_chok1gshd
ENSCGRP00000003033	ENSCGRG00000002220	cricetulus_griseus_crigri
ENSCGRP00015035069	ENSCGRG00015026327	cricetulus_griseus_picr
ENSMAUP00000012286	ENSMAUG00000012646	mesocricetus_auratus
ENSPEMP00000028860	ENSPEMG00000024277	peromyscus_maniculatus_bairdii
ENSMOCP00000017192	ENSMOCG00000015859	microtus_ochrogaster
ENSMLUP00000013401	ENSMLUG00000014723	myotis_lucifugus
ENSEEUP00000003374	ENSEEUG00000003686	erinaceus_europaeus
