ENSLACP00000014775	ENSLACG00000013005	latimeria_chalumnae
ENSPSIP00000009561	ENSPSIG00000008700	pelodiscus_sinensis
ENSCSRP00000003448	ENSCSRG00000002611	chelydra_serpentina
ENSCPBP00000020631	ENSCPBG00000014838	chrysemys_picta_bellii
ENSCABP00000030698	ENSCABG00000022443	chelonoidis_abingdonii
ENSTMTP00000027363	ENSTMTG00000019966	terrapene_carolina_triunguis
ENSGEVP00005018279	ENSGEVG00005012967	gopherus_evgoodei
ENSGAGP00000015308	ENSGAGG00000011545	gopherus_agassizii
ENSPCEP00000003776	ENSPCEG00000003001	pelusios_castaneus
ENSCPRP00005010222	ENSCPRG00005007286	crocodylus_porosus
ENSACDP00005021178	ENSACDG00005015336	anser_cygnoides
ENSABRP00000022225	ENSABRG00000018840	anser_brachyrhynchus
ENSCMMP00000013026	ENSCMMG00000008175	cairina_moschata_domestica
ENSAZOP00000015613	ENSAZOG00000010053	anas_zonorhyncha
ENSAPLP00020004873	ENSAPLG00020003605	anas_platyrhynchos
ENSAPLP00000028084	ENSAPLG00000009277	anas_platyrhynchos_platyrhynchos
ENSNMEP00000024479	ENSNMEG00000020794	numida_meleagris
ENSCJPP00005021230	ENSCJPG00005016989	coturnix_japonica
ENSCPIP00010012479	ENSCPIG00010009785	chrysolophus_pictus
ENSPCLP00000007898	ENSPCLG00000006614	phasianus_colchicus
ENSMGAP00000005719	ENSMGAG00000005702	meleagris_gallopavo
ENSGALP00000012356	ENSGALG00000007646	gallus_gallus
ENSPSTP00000016522	ENSPSTG00000011748	pavo_cristatus
ENSACUP00000008495	ENSACUG00000005769	athene_cunicularia
ENSBOBP00000001537	ENSBOBG00000001053	bubo_bubo
ENSOSUP00000011419	ENSOSUG00000008239	otus_sunia
ENSACCP00020016777	ENSACCG00020011472	aquila_chrysaetos_chrysaetos
ENSANIP00000011916	ENSANIG00000008057	accipiter_nisus
ENSSHBP00005008080	ENSSHBG00005007043	strigops_habroptila
ENSSHBP00005008052	ENSSHBG00005007030	strigops_habroptila
ENSACOP00000009953	ENSACOG00000006923	amazona_collaria
ENSBJAP00000011035	ENSBJAG00000007495	buteo_japonicus
ENSFTIP00000006673	ENSFTIG00000004588	falco_tinnunculus
ENSCPGP00000019019	ENSCPGG00000013304	calidris_pygmaea
ENSCPUP00000026049	ENSCPUG00000017546	calidris_pugnax
ENSMUNP00000005327	ENSMUNG00000004378	melopsittacus_undulatus
ENSCMUP00000009318	ENSCMUG00000005983	corvus_moneduloides
ENSJHYP00000001233	ENSJHYG00000001072	junco_hyemalis
ENSZALP00000008406	ENSZALG00000007328	zonotrichia_albicollis
ENSCPVP00000019145	ENSCPVG00000013967	camarhynchus_parvulus
ENSGFOP00000005153	ENSGFOG00000003651	geospiza_fortis
ENSSCAP00000022500	ENSSCAG00000016173	serinus_canaria
ENSTGUP00000005852	ENSTGUG00000005652	taeniopygia_guttata
ENSLSDP00000016974	ENSLSDG00000012196	lonchura_striata_domestica
ENSEGOP00005012398	ENSEGOG00005009747	erythrura_gouldiae
ENSCUSP00005027060	ENSCUSG00005016710	catharus_ustulatus
ENSFALP00000011235	ENSFALG00000010768	ficedula_albicollis
ENSCRFP00000005479	ENSCRFG00000004414	stachyris_ruficeps
ENSPMJP00000016137	ENSPMJG00000012221	parus_major
ENSCCEP00000000201	ENSCCEG00000000313	cyanistes_caeruleus
ENSCCEP00000021694	ENSCCEG00000019654	cyanistes_caeruleus
ENSLCOP00000015934	ENSLCOG00000011379	lepidothrix_coronata
ENSMVIP00005023255	ENSMVIG00005016305	manacus_vitellinus
ENSSCUP00000025184	ENSSCUG00000018461	struthio_camelus_australis
ENSDNVP00000003303	ENSDNVG00000002340	dromaius_novaehollandiae
ENSAHAP00000027523	ENSAHAG00000019158	apteryx_haastii
ENSAHAP00000027521	ENSAHAG00000019157	apteryx_haastii
ENSAOWP00000021649	ENSAOWG00000014628	apteryx_owenii
ENSAOWP00000021632	ENSAOWG00000014620	apteryx_owenii
ENSARWP00000018243	ENSARWG00000012543	apteryx_rowi
ENSARWP00000018249	ENSARWG00000012548	apteryx_rowi
ENSSMRP00000015586	ENSSMRG00000012121	salvator_merianae
ENSPMRP00000029937	ENSPMRG00000019355	podarcis_muralis
ENSVKKP00000014739	ENSVKKG00000010137	varanus_komodoensis
ENSPVIP00000006850	ENSPVIG00000005641	pogona_vitticeps
ENSACAP00000023111	ENSACAG00000028504	anolis_carolinensis
ENSACAP00000000968	ENSACAG00000000690	anolis_carolinensis
ENSPTXP00000014861	ENSPTXG00000010272	pseudonaja_textilis
ENSNNAP00000016824	ENSNNAG00000011309	naja_naja
ENSSPUP00000016175	ENSSPUG00000012518	sphenodon_punctatus
