ENSEBUP00000024371	ENSEBUG00000015014	eptatretus_burgeri
ENSCMIP00000021975	ENSCMIG00000009867	callorhinchus_milii
ENSLACP00000015263	ENSLACG00000013435	latimeria_chalumnae
ENSPCEP00000007243	ENSPCEG00000005806	pelusios_castaneus
ENSGEVP00005028712	ENSGEVG00005020173	gopherus_evgoodei
ENSGAGP00000021287	ENSGAGG00000015622	gopherus_agassizii
ENSCPBP00000009269	ENSCPBG00000007168	chrysemys_picta_bellii
ENSTMTP00000011137	ENSTMTG00000007665	terrapene_carolina_triunguis
ENSCSRP00000020782	ENSCSRG00000015462	chelydra_serpentina
ENSCSRP00000015433	ENSCSRG00000011816	chelydra_serpentina
ENSPSIP00000017523	ENSPSIG00000015326	pelodiscus_sinensis
ENSCPRP00005014498	ENSCPRG00005010146	crocodylus_porosus
ENSNPEP00000019171	ENSNPEG00000014288	nothoprocta_perdicaria
ENSARWP00000009195	ENSARWG00000006428	apteryx_rowi
ENSARWP00000017887	ENSARWG00000012244	apteryx_rowi
ENSAOWP00000012846	ENSAOWG00000008711	apteryx_owenii
ENSDNVP00000018433	ENSDNVG00000012888	dromaius_novaehollandiae
ENSSCUP00000005873	ENSSCUG00000004369	struthio_camelus_australis
ENSNMEP00000010550	ENSNMEG00000009966	numida_meleagris
ENSGALP00000054618	ENSGALG00000036883	gallus_gallus
ENSMGAP00000009217	ENSMGAG00000008925	meleagris_gallopavo
ENSCPIP00010003664	ENSCPIG00010002846	chrysolophus_pictus
ENSPCLP00000001084	ENSPCLG00000000906	phasianus_colchicus
ENSCJPP00005014598	ENSCJPG00005012168	coturnix_japonica
ENSABRP00000006522	ENSABRG00000005986	anser_brachyrhynchus
ENSACDP00005005869	ENSACDG00005004294	anser_cygnoides
ENSAPLP00020023705	ENSAPLG00020016327	anas_platyrhynchos
ENSAPLP00000010756	ENSAPLG00000010894	anas_platyrhynchos_platyrhynchos
ENSAZOP00000011830	ENSAZOG00000007588	anas_zonorhyncha
ENSCMMP00000007250	ENSCMMG00000004613	cairina_moschata_domestica
ENSMVIP00005009862	ENSMVIG00005007256	manacus_vitellinus
ENSLCOP00000016733	ENSLCOG00000011905	lepidothrix_coronata
ENSZLMP00000009173	ENSZLMG00000006456	zosterops_lateralis_melanops
ENSCRFP00000019223	ENSCRFG00000014416	stachyris_ruficeps
ENSJHYP00000020292	ENSJHYG00000015113	junco_hyemalis
ENSZALP00000008255	ENSZALG00000007196	zonotrichia_albicollis
ENSCPVP00000016755	ENSCPVG00000012256	camarhynchus_parvulus
ENSGFOP00000012991	ENSGFOG00000008894	geospiza_fortis
ENSSCAP00000012686	ENSSCAG00000009475	serinus_canaria
ENSLSDP00000023812	ENSLSDG00000016706	lonchura_striata_domestica
ENSTGUP00000005389	ENSTGUG00000005136	taeniopygia_guttata
ENSEGOP00005013792	ENSEGOG00005011112	erythrura_gouldiae
ENSCUSP00005020867	ENSCUSG00005013205	catharus_ustulatus
ENSFALP00000010547	ENSFALG00000010094	ficedula_albicollis
ENSCCEP00000004814	ENSCCEG00000005286	cyanistes_caeruleus
ENSCCEP00000006304	ENSCCEG00000005645	cyanistes_caeruleus
ENSPMJP00000013462	ENSPMJG00000010222	parus_major
ENSCMUP00000022452	ENSCMUG00000013796	corvus_moneduloides
ENSMCSP00000012615	ENSMCSG00000008636	malurus_cyaneus_samueli
ENSACUP00000018828	ENSACUG00000012642	athene_cunicularia
ENSOSUP00000020713	ENSOSUG00000014431	otus_sunia
ENSBOBP00000018942	ENSBOBG00000011636	bubo_bubo
ENSCPGP00000016868	ENSCPGG00000011830	calidris_pygmaea
ENSCPUP00000012856	ENSCPUG00000009135	calidris_pugnax
ENSANIP00000009665	ENSANIG00000006454	accipiter_nisus
ENSBJAP00000007882	ENSBJAG00000005501	buteo_japonicus
ENSACCP00020019446	ENSACCG00020013383	aquila_chrysaetos_chrysaetos
ENSFTIP00000010950	ENSFTIG00000007337	falco_tinnunculus
ENSSHBP00005012144	ENSSHBG00005009888	strigops_habroptila
ENSACOP00000017245	ENSACOG00000011946	amazona_collaria
ENSMUNP00000022432	ENSMUNG00000016856	melopsittacus_undulatus
ENSPVIP00000023583	ENSPVIG00000017818	pogona_vitticeps
ENSACAP00000008564	ENSACAG00000008309	anolis_carolinensis
