ENSCMIP00000032801	ENSCMIG00000014026	callorhinchus_milii
ENSDCDP00000014552	ENSDCDG00000010895	denticeps_clupeoides
ENSHHUP00000033297	ENSHHUG00000021053	hucho_hucho
ENSOTSP00005087762	ENSOTSG00005041340	oncorhynchus_tshawytscha
ENSSSAP00000047538	ENSSSAG00000048073	salmo_salar
ENSSTUP00000087122	ENSSTUG00000038382	salmo_trutta
ENSOKIP00005074802	ENSOKIG00005032295	oncorhynchus_kisutch
ENSOMYP00000028470	ENSOMYG00000013330	oncorhynchus_mykiss
ENSHHUP00000018316	ENSHHUG00000011420	hucho_hucho
ENSSSAP00000088974	ENSSSAG00000070303	salmo_salar
ENSSTUP00000057840	ENSSTUG00000024717	salmo_trutta
ENSOMYP00000023149	ENSOMYG00000011075	oncorhynchus_mykiss
ENSOKIP00005046851	ENSOKIG00005019723	oncorhynchus_kisutch
ENSOTSP00005056325	ENSOTSG00005027184	oncorhynchus_tshawytscha
ENSOTSP00005096609	ENSOTSG00005044742	oncorhynchus_tshawytscha
ENSELUP00000066346	ENSELUG00000002774	esox_lucius
ENSGMOP00000015242	ENSGMOG00000014238	gadus_morhua
ENSMMDP00005055094	ENSMMDG00005024674	myripristis_murdjan
ENSHCOP00000008846	ENSHCOG00000011200	hippocampus_comes
ENSCSEP00000018142	ENSCSEG00000011619	cynoglossus_semilaevis
ENSSORP00005049974	ENSSORG00005022675	sphaeramia_orbicularis
ENSBSLP00000007629	ENSBSLG00000003726	betta_splendens
ENSPRNP00000008122	ENSPRNG00000004853	parambassis_ranga
ENSSPAP00000010441	ENSSPAG00000007925	stegastes_partitus
ENSAPOP00000026936	ENSAPOG00000011099	acanthochromis_polyacanthus
ENSAOCP00000031316	ENSAOCG00000022918	amphiprion_ocellaris
ENSAPEP00000004298	ENSAPEG00000003079	amphiprion_percula
ENSMZEP00005012844	ENSMZEG00005009643	maylandia_zebra
ENSPNYP00000014736	ENSPNYG00000011160	pundamilia_nyererei
ENSNBRP00000015240	ENSNBRG00000011797	neolamprologus_brichardi
ENSOABP00000006627	ENSOABG00000002955	oreochromis_aureus
ENSHBUP00000008705	ENSHBUG00000010215	haplochromis_burtoni
ENSMZEP00005005841	ENSMZEG00005004526	maylandia_zebra
ENSACLP00000026973	ENSACLG00000018347	astatotilapia_calliptera
ENSONIP00000018871	ENSONIG00000014990	oreochromis_niloticus
ENSACIP00000006450	ENSACIG00000005047	amphilophus_citrinellus
ENSMAMP00000002795	ENSMAMG00000001925	mastacembelus_armatus
ENSMALP00000014732	ENSMALG00000010309	monopterus_albus
ENSLCRP00005030773	ENSLCRG00005012194	larimichthys_crocea
ENSSMAP00000031683	ENSSMAG00000019401	scophthalmus_maximus
ENSSDUP00000030731	ENSSDUG00000022128	seriola_dumerili
ENSLBEP00000002303	ENSLBEG00000001785	labrus_bergylta
ENSATEP00000021067	ENSATEG00000014637	anabas_testudineus
ENSENLP00000030785	ENSENLG00000013649	echeneis_naucrates
ENSSLDP00000002800	ENSSLDG00000002210	seriola_lalandi_dorsalis
ENSLCAP00010060929	ENSLCAG00010028330	lates_calcarifer
ENSTRUP00000069699	ENSTRUG00000009674	takifugu_rubripes
ENSTNIP00000018873	ENSTNIG00000015792	tetraodon_nigroviridis
ENSMMOP00000017096	ENSMMOG00000013027	mola_mola
