ENSPMAP00000007345	ENSPMAG00000006662	petromyzon_marinus
ENSEBUP00000004414	ENSEBUG00000003117	eptatretus_burgeri
ENSEBUP00000024946	ENSEBUG00000015406	eptatretus_burgeri
ENSEBUP00000025683	ENSEBUG00000015805	eptatretus_burgeri
ENSCMIP00000012919	ENSCMIG00000006547	callorhinchus_milii
ENSSPUP00000015759	ENSSPUG00000012177	sphenodon_punctatus
ENSSMRP00000022086	ENSSMRG00000017157	salvator_merianae
ENSPVIP00000021213	ENSPVIG00000016134	pogona_vitticeps
ENSACAP00000015376	ENSACAG00000015531	anolis_carolinensis
ENSVKKP00000006493	ENSVKKG00000004707	varanus_komodoensis
ENSLLTP00000017512	ENSLLTG00000013291	laticauda_laticaudata
ENSNNAP00000021230	ENSNNAG00000014016	naja_naja
ENSLLTP00000009469	ENSLLTG00000007206	laticauda_laticaudata
ENSNNAP00000021283	ENSNNAG00000014072	naja_naja
ENSPTXP00000019554	ENSPTXG00000013509	pseudonaja_textilis
ENSNSUP00000024021	ENSNSUG00000017380	notechis_scutatus
ENSPMRP00000009901	ENSPMRG00000006617	podarcis_muralis
ENSPCEP00000024505	ENSPCEG00000018509	pelusios_castaneus
ENSCSRP00000010354	ENSCSRG00000007757	chelydra_serpentina
ENSGAGP00000010215	ENSGAGG00000008005	gopherus_agassizii
ENSGEVP00005005705	ENSGEVG00005004047	gopherus_evgoodei
ENSCABP00000017834	ENSCABG00000013256	chelonoidis_abingdonii
ENSCPBP00000012841	ENSCPBG00000009658	chrysemys_picta_bellii
ENSTMTP00000030613	ENSTMTG00000022078	terrapene_carolina_triunguis
ENSPSIP00000014682	ENSPSIG00000013142	pelodiscus_sinensis
ENSCPRP00005017755	ENSCPRG00005012357	crocodylus_porosus
ENSLCOP00000010058	ENSLCOG00000007303	lepidothrix_coronata
ENSMVIP00005000222	ENSMVIG00005000221	manacus_vitellinus
ENSMCSP00000021148	ENSMCSG00000014792	malurus_cyaneus_samueli
ENSCMUP00000015299	ENSCMUG00000009542	corvus_moneduloides
ENSPMJP00000010304	ENSPMJG00000008134	parus_major
ENSCCEP00000010050	ENSCCEG00000010101	cyanistes_caeruleus
ENSZLMP00000015171	ENSZLMG00000010549	zosterops_lateralis_melanops
ENSCRFP00000001666	ENSCRFG00000001410	stachyris_ruficeps
ENSZALP00000012300	ENSZALG00000010343	zonotrichia_albicollis
ENSJHYP00000020022	ENSJHYG00000015181	junco_hyemalis
ENSCPVP00000015316	ENSCPVG00000011216	camarhynchus_parvulus
ENSGFOP00000000129	ENSGFOG00000000114	geospiza_fortis
ENSSCAP00000016102	ENSSCAG00000011805	serinus_canaria
ENSLSDP00000013561	ENSLSDG00000009829	lonchura_striata_domestica
ENSTGUP00000000996	ENSTGUG00000000965	taeniopygia_guttata
ENSEGOP00005014449	ENSEGOG00005011798	erythrura_gouldiae
ENSCUSP00005017304	ENSCUSG00005011099	catharus_ustulatus
ENSFALP00000008277	ENSFALG00000007905	ficedula_albicollis
ENSFTIP00000016705	ENSFTIG00000011026	falco_tinnunculus
ENSACCP00020020717	ENSACCG00020014270	aquila_chrysaetos_chrysaetos
ENSBJAP00000007643	ENSBJAG00000005361	buteo_japonicus
ENSANIP00000012457	ENSANIG00000008431	accipiter_nisus
ENSOSUP00000002887	ENSOSUG00000002046	otus_sunia
ENSSOCP00000012214	ENSSOCG00000009252	strix_occidentalis_caurina
ENSBOBP00000013287	ENSBOBG00000008401	bubo_bubo
ENSACUP00000016879	ENSACUG00000011332	athene_cunicularia
ENSCPGP00000024056	ENSCPGG00000016614	calidris_pygmaea
ENSCPUP00000003274	ENSCPUG00000002447	calidris_pugnax
ENSACOP00000008243	ENSACOG00000005763	amazona_collaria
ENSMUNP00000002680	ENSMUNG00000002335	melopsittacus_undulatus
ENSSHBP00005006718	ENSSHBG00005005702	strigops_habroptila
ENSCMMP00000012571	ENSCMMG00000007968	cairina_moschata_domestica
ENSAPLP00020025953	ENSAPLG00020017766	anas_platyrhynchos
ENSAPLP00000012815	ENSAPLG00000013023	anas_platyrhynchos_platyrhynchos
ENSAZOP00000006320	ENSAZOG00000004073	anas_zonorhyncha
ENSACDP00005001216	ENSACDG00005000832	anser_cygnoides
