ENSCINP00000026874	ENSCING00000000360	ciona_intestinalis
ENSPMAP00000004624	ENSPMAG00000004216	petromyzon_marinus
ENSEBUP00000002759	ENSEBUG00000002096	eptatretus_burgeri
ENSEBUP00000018774	ENSEBUG00000011713	eptatretus_burgeri
ENSSVLP00005028977	ENSSVLG00005022902	sciurus_vulgaris
ENSSVLP00005028997	ENSSVLG00005022926	sciurus_vulgaris
ENSCMIP00000008966	ENSCMIG00000004782	callorhinchus_milii
ENSLACP00000020423	ENSLACG00000017950	latimeria_chalumnae
ENSECRP00000000174	ENSECRG00000000115	erpetoichthys_calabaricusdrosophila_melanogaster
ENSHCOP00000014794	ENSHCOG00000018285	hippocampus_comes
ENSPKIP00000041008	ENSPKIG00000017740	paramormyrops_kingsleyae
ENSSFOP00015011388	ENSSFOG00015007363	scleropages_formosus
ENSHHUP00000001607	ENSHHUG00000000856	hucho_hucho
ENSSTUP00000093053	ENSSTUG00000041039	salmo_trutta
ENSSSAP00000109780	ENSSSAG00000077487	salmo_salar
ENSOKIP00005109113	ENSOKIG00005047749	oncorhynchus_kisutch
ENSOTSP00005102739	ENSOTSG00005047145	oncorhynchus_tshawytscha
ENSOMYP00000098997	ENSOMYG00000044878	oncorhynchus_mykiss
ENSHHUP00000084132	ENSHHUG00000048717	hucho_hucho
ENSSSAP00000005538	ENSSSAG00000002603	salmo_salar
ENSSTUP00000005745	ENSSTUG00000002413	salmo_trutta
ENSOKIP00005112265	ENSOKIG00005048784	oncorhynchus_kisutch
ENSOTSP00005016973	ENSOTSG00005008040	oncorhynchus_tshawytscha
ENSOMYP00000101813	ENSOMYG00000045937	oncorhynchus_mykiss
ENSELUP00000039688	ENSELUG00000020150	esox_lucius
ENSLOCP00000017457	ENSLOCG00000014171	lepisosteus_oculatus
ENSPKIP00000032466	ENSPKIG00000012555	paramormyrops_kingsleyae
ENSSFOP00015068580	ENSSFOG00015022775	scleropages_formosus
ENSLOCP00000000392	ENSLOCG00000000360	lepisosteus_oculatus
ENSDCDP00000012194	ENSDCDG00000007121	denticeps_clupeoides
ENSCHAP00000015630	ENSCHAG00000007181	clupea_harengus
ENSSGRP00000032376	ENSSGRG00000017416	sinocyclocheilus_grahami
ENSSANP00000014499	ENSSANG00000007682	sinocyclocheilus_anshuiensis
ENSSRHP00000013108	ENSSRHG00000007437	sinocyclocheilus_rhinocerous
ENSSRHP00000025080	ENSSRHG00000013149	sinocyclocheilus_rhinocerous
ENSSGRP00000026399	ENSSGRG00000015205	sinocyclocheilus_grahami
ENSSANP00000085345	ENSSANG00000042376	sinocyclocheilus_anshuiensis
ENSCARP00000018161	ENSCARG00000007891	carassius_auratus
ENSCARP00000026902	ENSCARG00000010035	carassius_auratus
ENSCCRP00000088571	ENSCCRG00000048116	cyprinus_carpio
ENSCCRP00015085783	ENSCCRG00015033439	cyprinus_carpio_huanghe
ENSCCRP00010106392	ENSCCRG00010045283	cyprinus_carpio_germanmirror
ENSCCRP00020081860	ENSCCRG00020036531	cyprinus_carpio_hebaored
ENSCCRP00010033512	ENSCCRG00010012738	cyprinus_carpio_germanmirror
ENSCCRP00020020617	ENSCCRG00020008598	cyprinus_carpio_hebaored
ENSCCRP00015068919	ENSCCRG00015027002	cyprinus_carpio_huanghe
ENSDARP00000146228	ENSDARG00000112045	danio_rerio
ENSIPUP00000010649	ENSIPUG00000007233	ictalurus_punctatus
ENSPNAP00000001498	ENSPNAG00000000784	pygocentrus_nattereri
ENSAMXP00000048707	ENSAMXG00000009805	astyanax_mexicanus
ENSAMXP00005011194	ENSAMXG00005006144	astyanax_mexicanus_pachon
ENSEEEP00000004758	ENSEEEG00000002447	electrophorus_electricus
ENSGMOP00000019910	ENSGMOG00000018488	gadus_morhua
ENSNFUP00015024585	ENSNFUG00015011765	nothobranchius_furzeri
ENSKMAP00000012066	ENSKMAG00000008992	kryptolebias_marmoratus
ENSOJAP00000020823	ENSOJAG00000009489	oryzias_javanicus
ENSOMEP00000020448	ENSOMEG00000022298	oryzias_melastigma
ENSORLP00015007857	ENSORLG00015008816	oryzias_latipes_hsok
ENSORLP00020019006	ENSORLG00020019978	oryzias_latipes_hni
ENSORLP00000001378	ENSORLG00000001116	oryzias_latipes
ENSOSIP00000024228	ENSOSIG00000012736	oryzias_sinensis
ENSCVAP00000025125	ENSCVAG00000009671	cyprinodon_variegatus
ENSGAFP00000023673	ENSGAFG00000015970	gambusia_affinis
ENSXMAP00000036785	ENSXMAG00000005926	xiphophorus_maculatus
ENSXCOP00000013043	ENSXCOG00000009870	xiphophorus_couchianus
ENSPFOP00000015691	ENSPFOG00000015514	poecilia_formosa
ENSPMEP00000017404	ENSPMEG00000020214	poecilia_mexicana
ENSPLAP00000002875	ENSPLAG00000004248	poecilia_latipinna
ENSPREP00000026850	ENSPREG00000018073	poecilia_reticulata
ENSFHEP00000033946	ENSFHEG00000021376	fundulus_heteroclitus
ENSACIP00000031164	ENSACIG00000024084	amphilophus_citrinellus
ENSNBRP00000006938	ENSNBRG00000005312	neolamprologus_brichardi
ENSHBUP00000033053	ENSHBUG00000019729	haplochromis_burtoni
ENSACLP00000029680	ENSACLG00000020116	astatotilapia_calliptera
ENSPNYP00000030059	ENSPNYG00000022656	pundamilia_nyererei
ENSMZEP00005032549	ENSMZEG00005024245	maylandia_zebra
ENSOABP00000052165	ENSOABG00000023108	oreochromis_aureus
ENSONIP00000072861	ENSONIG00000003873	oreochromis_niloticus
ENSGWIP00000021010	ENSGWIG00000011335	gouania_willdenowi
ENSBSLP00000057369	ENSBSLG00000026684	betta_splendens
ENSNMLP00000014023	ENSNMLG00000004723	neogobius_melanostomus
ENSPMGP00000018758	ENSPMGG00000015291	periophthalmus_magnuspinnatus
ENSTNIP00000022203	ENSTNIG00000019013	tetraodon_nigroviridis
