ENSLOCP00000010043	ENSLOCG00000008258	lepisosteus_oculatus
ENSPKIP00000010198	ENSPKIG00000025012	paramormyrops_kingsleyae
ENSSFOP00015076548	ENSSFOG00015001886	scleropages_formosus
ENSHHUP00000015663	ENSHHUG00000009768	hucho_hucho
ENSOTSP00005025592	ENSOTSG00005012063	oncorhynchus_tshawytscha
ENSBSLP00000027934	ENSBSLG00000013951	betta_splendens
ENSDARP00000113830	ENSDARG00000057729	danio_rerio
ENSCCRP00020000469	ENSCCRG00020000283	cyprinus_carpio_hebaored
ENSCCRP00015046617	ENSCCRG00015019297	cyprinus_carpio_huanghe
ENSCCRP00010019180	ENSCCRG00010008301	cyprinus_carpio_germanmirror
ENSCCRP00000041570	ENSCCRG00000022137	cyprinus_carpio
ENSSGRP00000026877	ENSSGRG00000015476	sinocyclocheilus_grahami
ENSSRHP00000025683	ENSSRHG00000013466	sinocyclocheilus_rhinocerous
ENSCARP00000064277	ENSCARG00000028677	carassius_auratus
ENSCARP00000014125	ENSCARG00000006621	carassius_auratus
ENSCCRP00010063781	ENSCCRG00010027216	cyprinus_carpio_germanmirror
ENSCCRP00020006622	ENSCCRG00020003683	cyprinus_carpio_hebaored
ENSCCRP00015043989	ENSCCRG00015018262	cyprinus_carpio_huanghe
ENSCCRP00000068743	ENSCCRG00000037033	cyprinus_carpio
ENSSGRP00000045565	ENSSGRG00000024438	sinocyclocheilus_grahami
ENSSRHP00000040193	ENSSRHG00000020455	sinocyclocheilus_rhinocerous
ENSSANP00000063899	ENSSANG00000031868	sinocyclocheilus_anshuiensis
ENSEEEP00000026225	ENSEEEG00000012652	electrophorus_electricus
ENSPNAP00000031877	ENSPNAG00000019491	pygocentrus_nattereri
ENSAMXP00005005391	ENSAMXG00005003331	astyanax_mexicanus_pachon
ENSAMXP00000037723	ENSAMXG00000019501	astyanax_mexicanus
ENSIPUP00000010588	ENSIPUG00000007232	ictalurus_punctatus
ENSCHAP00000001570	ENSCHAG00000001157	clupea_harengus
ENSDCDP00000022843	ENSDCDG00000017412	denticeps_clupeoides
ENSGMOP00000004182	ENSGMOG00000003925	gadus_morhua
ENSCGOP00000030198	ENSCGOG00000014007	cottoperca_gobio
ENSCLMP00005046010	ENSCLMG00005021196	cyclopterus_lumpus
ENSGACP00000013847	ENSGACG00000010474	gasterosteus_aculeatus
ENSSLUP00000039591	ENSSLUG00000017737	sander_lucioperca
ENSSDUP00000014172	ENSSDUG00000010243	seriola_dumerili
ENSSLDP00000008645	ENSSLDG00000006822	seriola_lalandi_dorsalis
ENSSPAP00000019321	ENSSPAG00000014553	stegastes_partitus
ENSPRNP00000053615	ENSPRNG00000025257	parambassis_ranga
ENSNMLP00000005427	ENSNMLG00000003976	neogobius_melanostomus
ENSPMGP00000024817	ENSPMGG00000020084	periophthalmus_magnuspinnatus
ENSSORP00005028558	ENSSORG00005013665	sphaeramia_orbicularis
ENSBSLP00000027874	ENSBSLG00000013898	betta_splendens
ENSLCAP00010021459	ENSLCAG00010010123	lates_calcarifer
ENSENLP00000039463	ENSENLG00000017019	echeneis_naucrates
ENSSLDP00000029997	ENSSLDG00000023134	seriola_lalandi_dorsalis
ENSCSEP00000030203	ENSCSEG00000019340	cynoglossus_semilaevis
ENSSMAP00000019893	ENSSMAG00000012199	scophthalmus_maximus
ENSMALP00000015171	ENSMALG00000010669	monopterus_albus
ENSONIP00000016158	ENSONIG00000012839	oreochromis_niloticus
ENSOABP00000045787	ENSOABG00000020542	oreochromis_aureus
ENSNBRP00000002388	ENSNBRG00000001783	neolamprologus_brichardi
ENSPNYP00000030952	ENSPNYG00000023319	pundamilia_nyererei
ENSHBUP00000029827	ENSHBUG00000014458	haplochromis_burtoni
ENSMZEP00005022324	ENSMZEG00005016730	maylandia_zebra
ENSACLP00000033898	ENSACLG00000022965	astatotilapia_calliptera
ENSACIP00000030032	ENSACIG00000023243	amphilophus_citrinellus
ENSOSIP00000006774	ENSOSIG00000004565	oryzias_sinensis
ENSORLP00020024783	ENSORLG00020006315	oryzias_latipes_hni
ENSORLP00000014885	ENSORLG00000011883	oryzias_latipes
ENSORLP00015011504	ENSORLG00015000903	oryzias_latipes_hsok
ENSOMEP00000010798	ENSOMEG00000012091	oryzias_melastigma
ENSOJAP00000022588	ENSOJAG00000011592	oryzias_javanicus
ENSNFUP00015003311	ENSNFUG00015001699	nothobranchius_furzeri
ENSKMAP00000008853	ENSKMAG00000006653	kryptolebias_marmoratus
ENSXMAP00000011821	ENSXMAG00000011685	xiphophorus_maculatus
ENSXCOP00000025934	ENSXCOG00000019373	xiphophorus_couchianus
