ENSCMIP00000047138	ENSCMIG00000019330	callorhinchus_milii
ENSLLEP00000039581	ENSLLEG00000025131	leptobrachium_leishanense
ENSXETP00000090079	ENSXETG00000037537	xenopus_tropicalis
ENSPCEP00000020231	ENSPCEG00000015600	pelusios_castaneus
ENSCPBP00000026529	ENSCPBG00000018832	chrysemys_picta_bellii
ENSTMTP00000001653	ENSTMTG00000001045	terrapene_carolina_triunguis
ENSGEVP00005024689	ENSGEVG00005016750	gopherus_evgoodei
ENSGAGP00000011948	ENSGAGG00000009201	gopherus_agassizii
ENSCABP00000010777	ENSCABG00000008064	chelonoidis_abingdonii
ENSCSRP00000000285	ENSCSRG00000000186	chelydra_serpentina
ENSPSIP00000010183	ENSPSIG00000008974	pelodiscus_sinensis
ENSACCP00020009891	ENSACCG00020006739	aquila_chrysaetos_chrysaetos
ENSLCOP00000023084	ENSLCOG00000016202	lepidothrix_coronata
ENSMVIP00005025708	ENSMVIG00005017938	manacus_vitellinus
ENSMCSP00000000171	ENSMCSG00000000121	malurus_cyaneus_samueli
ENSZLMP00000000266	ENSZLMG00000000150	zosterops_lateralis_melanops
ENSCRFP00000017196	ENSCRFG00000013102	stachyris_ruficeps
ENSPMJP00000018726	ENSPMJG00000014055	parus_major
ENSCCEP00000015818	ENSCCEG00000014917	cyanistes_caeruleus
ENSCPVP00000001393	ENSCPVG00000001030	camarhynchus_parvulus
ENSGFOP00000011312	ENSGFOG00000007810	geospiza_fortis
ENSJHYP00000022795	ENSJHYG00000017098	junco_hyemalis
ENSZALP00000006156	ENSZALG00000005610	zonotrichia_albicollis
ENSSCAP00000020413	ENSSCAG00000014691	serinus_canaria
ENSLSDP00000002081	ENSLSDG00000001641	lonchura_striata_domestica
ENSTGUP00000034475	ENSTGUG00000011909	taeniopygia_guttata
ENSEGOP00005000810	ENSEGOG00005000675	erythrura_gouldiae
ENSFALP00000011585	ENSFALG00000011085	ficedula_albicollis
ENSCMUP00000001644	ENSCMUG00000001090	corvus_moneduloides
