ENSLLEP00000019644	ENSLLEG00000011745	leptobrachium_leishanense
ENSSPUP00000021939	ENSSPUG00000016821	sphenodon_punctatus
ENSPSIP00000002077	ENSPSIG00000002083	pelodiscus_sinensis
ENSTMTP00000031040	ENSTMTG00000022322	terrapene_carolina_triunguis
ENSCPBP00000013903	ENSCPBG00000010362	chrysemys_picta_bellii
ENSGEVP00005027025	ENSGEVG00005019015	gopherus_evgoodei
ENSGAGP00000015955	ENSGAGG00000012008	gopherus_agassizii
ENSCABP00000019933	ENSCABG00000014629	chelonoidis_abingdonii
ENSCSRP00000020367	ENSCSRG00000015476	chelydra_serpentina
ENSPCEP00000018713	ENSPCEG00000013847	pelusios_castaneus
ENSNPEP00000005776	ENSNPEG00000004360	nothoprocta_perdicaria
ENSSCUP00000006374	ENSSCUG00000004724	struthio_camelus_australis
ENSAOWP00000017499	ENSAOWG00000011943	apteryx_owenii
ENSARWP00000001204	ENSARWG00000000977	apteryx_rowi
ENSAHAP00000022801	ENSAHAG00000015964	apteryx_haastii
ENSDNVP00000022974	ENSDNVG00000015979	dromaius_novaehollandiae
ENSABRP00000024980	ENSABRG00000020967	anser_brachyrhynchus
ENSACDP00005012173	ENSACDG00005008984	anser_cygnoides
ENSCMMP00000007715	ENSCMMG00000004884	cairina_moschata_domestica
ENSAZOP00000019087	ENSAZOG00000012420	anas_zonorhyncha
ENSAPLP00000015151	ENSAPLG00000015180	anas_platyrhynchos_platyrhynchos
ENSAPLP00020023813	ENSAPLG00020016505	anas_platyrhynchos
ENSCJPP00005007402	ENSCJPG00005006826	coturnix_japonica
ENSMGAP00000006439	ENSMGAG00000006426	meleagris_gallopavo
ENSPCLP00000021432	ENSPCLG00000018787	phasianus_colchicus
ENSCPIP00010000454	ENSCPIG00010000372	chrysolophus_pictus
ENSGALP00000007541	ENSGALG00000004741	gallus_gallus
ENSPSTP00000011027	ENSPSTG00000007656	pavo_cristatus
ENSNMEP00000020313	ENSNMEG00000017444	numida_meleagris
ENSANIP00000016231	ENSANIG00000011040	accipiter_nisus
ENSACCP00020015433	ENSACCG00020010571	aquila_chrysaetos_chrysaetos
ENSBJAP00000015913	ENSBJAG00000010523	buteo_japonicus
ENSACUP00000021635	ENSACUG00000014467	athene_cunicularia
ENSSOCP00000010437	ENSSOCG00000007883	strix_occidentalis_caurina
ENSBOBP00000023821	ENSBOBG00000014223	bubo_bubo
ENSOSUP00000022772	ENSOSUG00000015616	otus_sunia
ENSCPGP00000006403	ENSCPGG00000004610	calidris_pygmaea
ENSCPUP00000029759	ENSCPUG00000019930	calidris_pugnax
ENSFTIP00000016452	ENSFTIG00000010903	falco_tinnunculus
ENSSHBP00005006695	ENSSHBG00005005860	strigops_habroptila
ENSACOP00000009480	ENSACOG00000006608	amazona_collaria
ENSMUNP00000021550	ENSMUNG00000016260	melopsittacus_undulatus
ENSLCOP00000011354	ENSLCOG00000008235	lepidothrix_coronata
ENSMVIP00005003331	ENSMVIG00005002472	manacus_vitellinus
ENSCMUP00000000975	ENSCMUG00000000720	corvus_moneduloides
ENSSCAP00000022951	ENSSCAG00000016443	serinus_canaria
ENSGFOP00000014981	ENSGFOG00000010250	geospiza_fortis
ENSCPVP00000016814	ENSCPVG00000012301	camarhynchus_parvulus
ENSZALP00000013296	ENSZALG00000011072	zonotrichia_albicollis
ENSJHYP00000020756	ENSJHYG00000015535	junco_hyemalis
ENSTGUP00000037069	ENSTGUG00000017194	taeniopygia_guttata
ENSLSDP00000021222	ENSLSDG00000015018	lonchura_striata_domestica
ENSEGOP00005019266	ENSEGOG00005015363	erythrura_gouldiae
ENSMCSP00000016562	ENSMCSG00000011647	malurus_cyaneus_samueli
ENSCUSP00005009845	ENSCUSG00005006237	catharus_ustulatus
ENSFALP00000010926	ENSFALG00000010435	ficedula_albicollis
ENSCRFP00000010007	ENSCRFG00000007824	stachyris_ruficeps
ENSZLMP00000006785	ENSZLMG00000004532	zosterops_lateralis_melanops
ENSPMJP00000003135	ENSPMJG00000002774	parus_major
ENSCCEP00000016682	ENSCCEG00000015570	cyanistes_caeruleus
ENSANIP00000026127	ENSANIG00000017556	accipiter_nisus
ENSCPRP00005021170	ENSCPRG00005014740	crocodylus_porosus
ENSNNAP00000017440	ENSNNAG00000011681	naja_naja
ENSLLTP00000015432	ENSLLTG00000011833	laticauda_laticaudata
ENSLLTP00000015460	ENSLLTG00000011849	laticauda_laticaudata
ENSNSUP00000003412	ENSNSUG00000002689	notechis_scutatus
ENSLLTP00000015453	ENSLLTG00000011842	laticauda_laticaudata
ENSPTXP00000023612	ENSPTXG00000016405	pseudonaja_textilis
ENSACAP00000020198	ENSACAG00000022723	anolis_carolinensis
ENSACAP00000008227	ENSACAG00000008140	anolis_carolinensis
ENSSMRP00000011210	ENSSMRG00000008819	salvator_merianae
ENSPMRP00000013245	ENSPMRG00000008863	podarcis_muralis
ENSPVIP00000016095	ENSPVIG00000012448	pogona_vitticeps
ENSVKKP00000024053	ENSVKKG00000015674	varanus_komodoensis
ENSMODP00000020127	ENSMODG00000016114	monodelphis_domestica
