ENSECRP00000030690	ENSECRG00000020786	erpetoichthys_calabaricus
ENSLOCP00000010481	ENSLOCG00000008620	lepisosteus_oculatus
ENSPKIP00000040158	ENSPKIG00000017224	paramormyrops_kingsleyae
ENSCARP00000044537	ENSCARG00000019194	carassius_auratus
ENSCCRP00010083507	ENSCCRG00010036472	cyprinus_carpio_germanmirror
ENSCCRP00015040787	ENSCCRG00015016946	cyprinus_carpio_huanghe
ENSCCRP00000032495	ENSCCRG00000017498	cyprinus_carpio
ENSSRHP00000066219	ENSSRHG00000032957	sinocyclocheilus_rhinocerous
ENSSGRP00000076859	ENSSGRG00000038889	sinocyclocheilus_grahami
ENSSANP00000101446	ENSSANG00000049806	sinocyclocheilus_anshuiensis
ENSCCRP00015080334	ENSCCRG00015032491	cyprinus_carpio_huanghe
ENSCCRP00000005090	ENSCCRG00000003029	cyprinus_carpio
ENSCCRP00000065207	ENSCCRG00000035109	cyprinus_carpio
ENSCCRP00010030853	ENSCCRG00010013191	cyprinus_carpio_germanmirror
ENSCCRP00020116847	ENSCCRG00020052646	cyprinus_carpio_hebaored
ENSSGRP00000097661	ENSSGRG00000048748	sinocyclocheilus_grahami
ENSSANP00000004032	ENSSANG00000002213	sinocyclocheilus_anshuiensis
ENSSRHP00000068551	ENSSRHG00000034090	sinocyclocheilus_rhinocerous
ENSCARP00000114158	ENSCARG00000058895	carassius_auratus
ENSDARP00000098121	ENSDARG00000076324	danio_rerio
ENSAMXP00000046428	ENSAMXG00000020711	astyanax_mexicanus
ENSPNAP00000011208	ENSPNAG00000016849	pygocentrus_nattereri
ENSIPUP00000004614	ENSIPUG00000003243	ictalurus_punctatus
ENSEEEP00000008916	ENSEEEG00000004602	electrophorus_electricus
ENSDCDP00000040300	ENSDCDG00000026478	denticeps_clupeoides
ENSCHAP00000021390	ENSCHAG00000010751	clupea_harengus
ENSOKIP00005105359	ENSOKIG00005046371	oncorhynchus_kisutch
ENSOTSP00005022874	ENSOTSG00005010881	oncorhynchus_tshawytscha
ENSOMYP00000035557	ENSOMYG00000016506	oncorhynchus_mykiss
ENSSTUP00000011003	ENSSTUG00000005236	salmo_trutta
ENSSSAP00000020640	ENSSSAG00000009888	salmo_salar
ENSSTUP00000084551	ENSSTUG00000037161	salmo_trutta
ENSHHUP00000050581	ENSHHUG00000030517	hucho_hucho
ENSHHUP00000035685	ENSHHUG00000022459	hucho_hucho
ENSELUP00000005709	ENSELUG00000006709	esox_lucius
