ENSCMIP00000025838	ENSCMIG00000011295	callorhinchus_milii
ENSECRP00000030223	ENSECRG00000020519	erpetoichthys_calabaricus
ENSECRP00000030248	ENSECRG00000020535	erpetoichthys_calabaricus
ENSEEEP00000034453	ENSEEEG00000016399	electrophorus_electricus
ENSAMXP00005010207	ENSAMXG00005005547	astyanax_mexicanus_pachon
ENSAMXP00000049384	ENSAMXG00000039792	astyanax_mexicanus
ENSPNAP00000007777	ENSPNAG00000007107	pygocentrus_nattereri
ENSIPUP00000033398	ENSIPUG00000022403	ictalurus_punctatus
ENSSANP00000010642	ENSSANG00000005847	sinocyclocheilus_anshuiensis
ENSSRHP00000078001	ENSSRHG00000038680	sinocyclocheilus_rhinocerous
ENSSGRP00000073390	ENSSGRG00000037372	sinocyclocheilus_grahami
ENSCCRP00015071460	ENSCCRG00015028614	cyprinus_carpio_huanghe
ENSCCRP00000048342	ENSCCRG00000025777	cyprinus_carpio
ENSCCRP00010112679	ENSCCRG00010049650	cyprinus_carpio_germanmirror
ENSCCRP00020108373	ENSCCRG00020049335	cyprinus_carpio_hebaored
ENSCARP00000063254	ENSCARG00000028032	carassius_auratus
ENSCARP00000034603	ENSCARG00000015022	carassius_auratus
ENSCCRP00015040646	ENSCCRG00015016561	cyprinus_carpio_huanghe
ENSCCRP00020007094	ENSCCRG00020003846	cyprinus_carpio_hebaored
ENSCCRP00010005744	ENSCCRG00010002320	cyprinus_carpio_germanmirror
ENSCCRP00000010666	ENSCCRG00000005300	cyprinus_carpio
ENSSRHP00000081940	ENSSRHG00000040589	sinocyclocheilus_rhinocerous
ENSSANP00000095284	ENSSANG00000046938	sinocyclocheilus_anshuiensis
ENSSGRP00000004463	ENSSGRG00000002787	sinocyclocheilus_grahami
ENSCARP00000125988	ENSCARG00000065763	carassius_auratus
ENSDARP00000140914	ENSDARG00000086214	danio_rerio
ENSCHAP00000006728	ENSCHAG00000003845	clupea_harengus
ENSDCDP00000029723	ENSDCDG00000021018	denticeps_clupeoides
ENSELUP00000016805	ENSELUG00000016689	esox_lucius
ENSOKIP00005101651	ENSOKIG00005044741	oncorhynchus_kisutch
ENSOKIP00005093006	ENSOKIG00005040435	oncorhynchus_kisutch
ENSMMDP00005006955	ENSMMDG00005003805	myripristis_murdjan
ENSATEP00000008037	ENSATEG00000005562	anabas_testudineus
ENSMAMP00000009842	ENSMAMG00000006607	mastacembelus_armatus
ENSSMAP00000017770	ENSSMAG00000010859	scophthalmus_maximus
ENSENLP00000038611	ENSENLG00000016683	echeneis_naucrates
ENSSLDP00000020089	ENSSLDG00000015705	seriola_lalandi_dorsalis
ENSSDUP00000011467	ENSSDUG00000008337	seriola_dumerili
ENSLCAP00010058091	ENSLCAG00010027075	lates_calcarifer
ENSCLMP00005042548	ENSCLMG00005019805	cyclopterus_lumpus
ENSCGOP00000001528	ENSCGOG00000000853	cottoperca_gobio
ENSSLUP00000058248	ENSSLUG00000024999	sander_lucioperca
ENSLCRP00005044850	ENSLCRG00005016786	larimichthys_crocea
ENSDLAP00005046743	ENSDLAG00005020387	dicentrarchus_labrax
ENSSORP00005046814	ENSSORG00005021424	sphaeramia_orbicularis
ENSSAUP00010058346	ENSSAUG00010023776	sparus_aurata
ENSTRUP00000059283	ENSTRUG00000002667	takifugu_rubripes
ENSMMOP00000020757	ENSMMOG00000015786	mola_mola
ENSAOCP00000009970	ENSAOCG00000014175	amphiprion_ocellaris
ENSAPEP00000009312	ENSAPEG00000006663	amphiprion_percula
ENSAPOP00000014049	ENSAPOG00000016946	acanthochromis_polyacanthus
ENSSPAP00000022615	ENSSPAG00000017071	stegastes_partitus
ENSPRNP00000049544	ENSPRNG00000023638	parambassis_ranga
ENSOABP00000058680	ENSOABG00000025701	oreochromis_aureus
ENSONIP00000072080	ENSONIG00000003007	oreochromis_niloticus
ENSNBRP00000008473	ENSNBRG00000006614	neolamprologus_brichardi
ENSHBUP00000033127	ENSHBUG00000019944	haplochromis_burtoni
ENSPNYP00000011164	ENSPNYG00000008457	pundamilia_nyererei
ENSACLP00000029171	ENSACLG00000019754	astatotilapia_calliptera
ENSMZEP00005006745	ENSMZEG00005005176	maylandia_zebra
ENSACIP00000009699	ENSACIG00000007582	amphilophus_citrinellus
ENSMALP00000001870	ENSMALG00000001373	monopterus_albus
ENSLBEP00000029942	ENSLBEG00000022628	labrus_bergylta
ENSGACP00000019520	ENSGACG00000014782	gasterosteus_aculeatus
ENSBSLP00000046887	ENSBSLG00000021924	betta_splendens
ENSCSEP00000016535	ENSCSEG00000010626	cynoglossus_semilaevis
ENSNFUP00015032691	ENSNFUG00015014736	nothobranchius_furzeri
ENSKMAP00000000991	ENSKMAG00000000716	kryptolebias_marmoratus
ENSXMAP00000035980	ENSXMAG00000018069	xiphophorus_maculatus
ENSXCOP00000024244	ENSXCOG00000018102	xiphophorus_couchianus
ENSPREP00000007182	ENSPREG00000004904	poecilia_reticulata
ENSPLAP00000007065	ENSPLAG00000009345	poecilia_latipinna
ENSPMEP00000012847	ENSPMEG00000015176	poecilia_mexicana
ENSPFOP00000017513	ENSPFOG00000017407	poecilia_formosa
ENSGAFP00000002825	ENSGAFG00000001857	gambusia_affinis
ENSCVAP00000030211	ENSCVAG00000018634	cyprinodon_variegatus
ENSFHEP00000001787	ENSFHEG00000002558	fundulus_heteroclitus
ENSORLP00020033178	ENSORLG00020019063	oryzias_latipes_hni
ENSORLP00015016067	ENSORLG00015017073	oryzias_latipes_hsok
ENSORLP00000027399	ENSORLG00000014606	oryzias_latipes
ENSOSIP00000047783	ENSOSIG00000022542	oryzias_sinensis
ENSOMEP00000016410	ENSOMEG00000018088	oryzias_melastigma
ENSOJAP00000023195	ENSOJAG00000011726	oryzias_javanicus
ENSSFAP00005002613	ENSSFAG00005001845	salarias_fasciatus
ENSGWIP00000002088	ENSGWIG00000001139	gouania_willdenowi
ENSTNIP00000014870	ENSTNIG00000011911	tetraodon_nigroviridis
ENSSPAP00000009012	ENSSPAG00000006865	stegastes_partitus
ENSPMEP00000006032	ENSPMEG00000007466	poecilia_mexicana
ENSOKIP00005091730	ENSOKIG00005039957	oncorhynchus_kisutch
ENSNMLP00000021457	ENSNMLG00000013930	neogobius_melanostomus
ENSPMGP00000028740	ENSPMGG00000023135	periophthalmus_magnuspinnatus
ENSHCOP00000017499	ENSHCOG00000000048	hippocampus_comes
ENSGMOP00000002139	ENSGMOG00000002005	gadus_morhua
ENSGMOP00000002126	ENSGMOG00000001983	gadus_morhua
ENSSFOP00015037110	ENSSFOG00015019029	scleropages_formosus
ENSPKIP00000035154	ENSPKIG00000014190	paramormyrops_kingsleyae
ENSPKIP00000001893	ENSPKIG00000019993	paramormyrops_kingsleyae
ENSSFOP00015077726	ENSSFOG00015023611	scleropages_formosus
ENSDARP00000140182	ENSDARG00000077228	danio_rerio
ENSSGRP00000017630	ENSSGRG00000010694	sinocyclocheilus_grahami
ENSSANP00000014582	ENSSANG00000007703	sinocyclocheilus_anshuiensis
ENSSRHP00000057722	ENSSRHG00000028586	sinocyclocheilus_rhinocerous
ENSCCRP00010040293	ENSCCRG00010017034	cyprinus_carpio_germanmirror
ENSCCRP00020008799	ENSCCRG00020004630	cyprinus_carpio_hebaored
ENSCCRP00015120059	ENSCCRG00015047220	cyprinus_carpio_huanghe
ENSCARP00000116032	ENSCARG00000060326	carassius_auratus
ENSCARP00000095159	ENSCARG00000047635	carassius_auratus
ENSSGRP00000073310	ENSSGRG00000037329	sinocyclocheilus_grahami
ENSSRHP00000072845	ENSSRHG00000036218	sinocyclocheilus_rhinocerous
ENSSANP00000098967	ENSSANG00000048684	sinocyclocheilus_anshuiensis
ENSCCRP00020110521	ENSCCRG00020050287	cyprinus_carpio_hebaored
ENSCCRP00000016649	ENSCCRG00000009333	cyprinus_carpio
ENSCCRP00000065081	ENSCCRG00000035049	cyprinus_carpio
ENSCCRP00015045195	ENSCCRG00015018689	cyprinus_carpio_huanghe
ENSCCRP00010026887	ENSCCRG00010010791	cyprinus_carpio_germanmirror
ENSCARP00000116203	ENSCARG00000060399	carassius_auratus
ENSPNAP00000011433	ENSPNAG00000017136	pygocentrus_nattereri
ENSAMXP00000041770	ENSAMXG00000039006	astyanax_mexicanus
ENSAMXP00000012515	ENSAMXG00000012174	astyanax_mexicanus
ENSIPUP00000013117	ENSIPUG00000008905	ictalurus_punctatus
ENSEEEP00000038962	ENSEEEG00000018484	electrophorus_electricus
ENSCHAP00000034531	ENSCHAG00000016223	clupea_harengus
