ENSPMAP00000007340	ENSPMAG00000006652	petromyzon_marinus
ENSEBUP00000001558	ENSEBUG00000001331	eptatretus_burgeri
ENSCMIP00000028326	ENSCMIG00000012302	callorhinchus_milii
ENSCMIP00000028319	ENSCMIG00000012295	callorhinchus_milii
ENSCMIP00000028325	ENSCMIG00000012301	callorhinchus_milii
ENSCMIP00000028321	ENSCMIG00000012300	callorhinchus_milii
ENSLLEP00000000139	ENSLLEG00000000107	leptobrachium_leishanense
ENSXETP00000001783	ENSXETG00000000802	xenopus_tropicalis
ENSCJAP00000054059	ENSCJAG00000044535	callithrix_jacchus
ENSSBOP00000020682	ENSSBOG00000026880	saimiri_boliviensis_boliviensis
ENSCCAP00000020867	ENSCCAG00000028259	cebus_capucinus
ENSCJAP00000003182	ENSCJAG00000017532	callithrix_jacchus
ENSANAP00000013594	ENSANAG00000024710	aotus_nancymaae
ENSCATP00000020716	ENSCATG00000034079	cercocebus_atys
ENSMLEP00000035361	ENSMLEG00000041822	mandrillus_leucophaeus
ENSPANP00000019400	ENSPANG00000024806	papio_anubis
ENSTGEP00000002309	ENSTGEG00000002030	theropithecus_gelada
ENSMMUP00000038825	ENSMMUG00000020009	macaca_mulatta
ENSMFAP00000015602	ENSMFAG00000031014	macaca_fascicularis
ENSMNEP00000037604	ENSMNEG00000041877	macaca_nemestrina
ENSCSAP00000003528	ENSCSAG00000007262	chlorocebus_sabaeus
ENSCANP00000014404	ENSCANG00000030642	colobus_angolensis_palliatus
ENSPTEP00000023083	ENSPTEG00000023884	piliocolobus_tephrosceles
ENSRBIP00000027212	ENSRBIG00000037471	rhinopithecus_bieti
ENSRROP00000004957	ENSRROG00000020577	rhinopithecus_roxellana
ENSNLEP00000000540	ENSNLEG00000000461	nomascus_leucogenys
ENSPPYP00000021705	ENSPPYG00000019370	pongo_abelii
ENSPTRP00000036064	ENSPTRG00000021101	pan_troglodytes
ENSPPAP00000022840	ENSPPAG00000034590	pan_paniscus
ENSGGOP00000011288	ENSGGOG00000011571	gorilla_gorilla
ENSP00000364860	ENSG00000169071	homo_sapiens
ENSPSMP00000036869	ENSPSMG00000025362	prolemur_simus
ENSPCOP00000012277	ENSPCOG00000017693	propithecus_coquereli
ENSMICP00000034926	ENSMICG00000013912	microcebus_murinus
ENSOGAP00000021277	ENSOGAG00000026382	otolemur_garnettii
ENSOPRP00000008997	ENSOPRG00000009841	ochotona_princeps
ENSOCUP00000014226	ENSOCUG00000016548	oryctolagus_cuniculus
ENSCCNP00000001921	ENSCCNG00000002111	castor_canadensis
ENSDORP00000021818	ENSDORG00000024960	dipodomys_ordii
ENSFDAP00000004223	ENSFDAG00000013494	fukomys_damarensis
ENSHGLP00000004716	ENSHGLG00000003458	heterocephalus_glaber_female
ENSHGLP00100001220	ENSHGLG00100000969	heterocephalus_glaber_male
ENSCAPP00000001315	ENSCAPG00000002427	cavia_aperea
ENSCPOP00000031695	ENSCPOG00000021707	cavia_porcellus
ENSODEP00000001626	ENSODEG00000001285	octodon_degus
ENSCLAP00000002609	ENSCLAG00000001886	chinchilla_lanigera
ENSJJAP00000019769	ENSJJAG00000020635	jaculus_jaculus
ENSNGAP00000008097	ENSNGAG00000011169	nannospalax_galili
ENSCGRP00015025398	ENSCGRG00015019263	cricetulus_griseus_picr
ENSCGRP00000022752	ENSCGRG00000016480	cricetulus_griseus_crigri
ENSCGRP00001014156	ENSCGRG00001015097	cricetulus_griseus_chok1gshd
ENSMAUP00000002646	ENSMAUG00000002294	mesocricetus_auratus
ENSPEMP00000009988	ENSPEMG00000011104	peromyscus_maniculatus_bairdii
ENSMOCP00000026287	ENSMOCG00000022154	microtus_ochrogaster
ENSMUGP00000017892	ENSMUGG00000015173	meriones_unguiculatus
MGP_PahariEiJ_P0040990	MGP_PahariEiJ_G0019592	mus_pahari
MGP_SPRETEiJ_P0036015	MGP_SPRETEiJ_G0019406	mus_spretus
ENSMUSP00000021918	ENSMUSG00000021464	mus_musculus
MGP_CAROLIEiJ_P0034381	MGP_CAROLIEiJ_G0018526	mus_caroli
