FBpp0081021	FBgn0011829	drosophila_melanogaster
ENSPMAP00000008724	ENSPMAG00000007909	petromyzon_marinus
ENSEBUP00000019554	ENSEBUG00000012143	eptatretus_burgeri
ENSBTAP00000015986	ENSBTAG00000012047	bos_taurus
ENSCHYP00000021920	ENSCHYG00000014309	cervus_hanglu_yarkandensis
ENSCMIP00000004348	ENSCMIG00000002556	callorhinchus_milii
ENSPSIP00000006215	ENSPSIG00000005757	pelodiscus_sinensis
ENSCABP00000000153	ENSCABG00000000132	chelonoidis_abingdonii
ENSGEVP00005026910	ENSGEVG00005019066	gopherus_evgoodei
ENSGAGP00000004142	ENSGAGG00000003414	gopherus_agassizii
ENSCPBP00000036861	ENSCPBG00000025575	chrysemys_picta_bellii
ENSTMTP00000007873	ENSTMTG00000005669	terrapene_carolina_triunguis
ENSTMTP00000013393	ENSTMTG00000009672	terrapene_carolina_triunguis
ENSCSRP00000022509	ENSCSRG00000016913	chelydra_serpentina
ENSPCEP00000009886	ENSPCEG00000007755	pelusios_castaneus
ENSNMEP00000015620	ENSNMEG00000013880	numida_meleagris
ENSPSTP00000011237	ENSPSTG00000007891	pavo_cristatus
ENSGALP00000060008	ENSGALG00000002555	gallus_gallus
ENSMGAP00000000565	ENSMGAG00000001124	meleagris_gallopavo
ENSCPIP00010011006	ENSCPIG00010008500	chrysolophus_pictus
ENSPCLP00000015729	ENSPCLG00000012812	phasianus_colchicus
ENSCJPP00005015255	ENSCJPG00005012668	coturnix_japonica
ENSCMMP00000024093	ENSCMMG00000014976	cairina_moschata_domestica
ENSAZOP00000010322	ENSAZOG00000006595	anas_zonorhyncha
ENSAPLP00000004162	ENSAPLG00000004594	anas_platyrhynchos_platyrhynchos
ENSAPLP00020020389	ENSAPLG00020014352	anas_platyrhynchos
ENSABRP00000001950	ENSABRG00000001927	anser_brachyrhynchus
ENSACDP00005022309	ENSACDG00005016179	anser_cygnoides
ENSACUP00000001110	ENSACUG00000000843	athene_cunicularia
ENSOSUP00000009213	ENSOSUG00000006773	otus_sunia
ENSBOBP00000014489	ENSBOBG00000009109	bubo_bubo
ENSSOCP00000013074	ENSSOCG00000009907	strix_occidentalis_caurina
ENSACOP00000009834	ENSACOG00000006836	amazona_collaria
ENSSHBP00005009399	ENSSHBG00005008213	strigops_habroptila
ENSMUNP00000021502	ENSMUNG00000016224	melopsittacus_undulatus
ENSMVIP00005021920	ENSMVIG00005015398	manacus_vitellinus
ENSLCOP00000002507	ENSLCOG00000001950	lepidothrix_coronata
ENSCMUP00000004000	ENSCMUG00000002713	corvus_moneduloides
ENSSCAP00000003521	ENSSCAG00000002946	serinus_canaria
ENSLSDP00000016456	ENSLSDG00000011854	lonchura_striata_domestica
ENSEGOP00005018421	ENSEGOG00005014730	erythrura_gouldiae
ENSTGUP00000006463	ENSTGUG00000006250	taeniopygia_guttata
ENSZALP00000016385	ENSZALG00000013305	zonotrichia_albicollis
ENSJHYP00000010656	ENSJHYG00000008365	junco_hyemalis
ENSGFOP00000022134	ENSGFOG00000014633	geospiza_fortis
ENSCPVP00000002125	ENSCPVG00000001584	camarhynchus_parvulus
ENSMCSP00000006948	ENSMCSG00000004961	malurus_cyaneus_samueli
ENSCRFP00000001486	ENSCRFG00000001237	stachyris_ruficeps
ENSZLMP00000017718	ENSZLMG00000012277	zosterops_lateralis_melanops
ENSCUSP00005001594	ENSCUSG00005001113	catharus_ustulatus
ENSFALP00000007177	ENSFALG00000006880	ficedula_albicollis
ENSCCEP00000009513	ENSCCEG00000009635	cyanistes_caeruleus
ENSPMJP00000004306	ENSPMJG00000003715	parus_major
ENSCPGP00000017437	ENSCPGG00000012247	calidris_pygmaea
ENSCPUP00000013803	ENSCPUG00000009775	calidris_pugnax
ENSFTIP00000013003	ENSFTIG00000008692	falco_tinnunculus
ENSACCP00020018175	ENSACCG00020012503	aquila_chrysaetos_chrysaetos
ENSANIP00000011092	ENSANIG00000007516	accipiter_nisus
ENSBJAP00000018260	ENSBJAG00000012040	buteo_japonicus
ENSANIP00000020035	ENSANIG00000013645	accipiter_nisus
ENSDNVP00000003372	ENSDNVG00000002382	dromaius_novaehollandiae
ENSARWP00000008125	ENSARWG00000005664	apteryx_rowi
ENSAHAP00000026461	ENSAHAG00000018401	apteryx_haastii
ENSAOWP00000003744	ENSAOWG00000002646	apteryx_owenii
ENSNPEP00000019967	ENSNPEG00000014805	nothoprocta_perdicaria
ENSSCUP00000020040	ENSSCUG00000014716	struthio_camelus_australis
ENSCPRP00005014337	ENSCPRG00005010106	crocodylus_porosus
ENSSPUP00000018784	ENSSPUG00000014475	sphenodon_punctatus
ENSSMRP00000010977	ENSSMRG00000008661	salvator_merianae
ENSPMRP00000004289	ENSPMRG00000002936	podarcis_muralis
ENSVKKP00000011984	ENSVKKG00000008277	varanus_komodoensis
ENSLLTP00000017129	ENSLLTG00000013026	laticauda_laticaudata
